,open,high,low,close,adjclose,volume,ticker
2018-09-30,2618.0,2618.0,2618.0,2618.0,2618.0,0,NISA.TA
2018-10-01,2618.0,2618.0,2618.0,2618.0,2618.0,0,NISA.TA
2018-10-02,2618.0,2644.0,2644.0,2633.0,2633.0,43,NISA.TA
2018-10-03,2633.0,2738.0,2634.0,2698.0,2698.0,1021,NISA.TA
2018-10-04,2698.0,2704.0,2698.0,2698.0,2698.0,4092,NISA.TA
2018-10-07,2698.0,2751.0,2700.0,2719.0,2719.0,6182,NISA.TA
2018-10-08,2719.0,2751.0,2700.0,2721.0,2721.0,27905,NISA.TA
2018-10-09,2721.0,2760.0,2746.0,2753.0,2753.0,5566,NISA.TA
2018-10-10,2753.0,2791.0,2753.0,2789.0,2789.0,10346,NISA.TA
2018-10-11,2789.0,2839.0,2727.0,2803.0,2803.0,111252,NISA.TA
2018-10-14,2803.0,2828.0,2828.0,2810.0,2810.0,21,NISA.TA
2018-10-15,2810.0,2864.0,2835.0,2864.0,2864.0,405,NISA.TA
2018-10-16,2864.0,2943.0,2864.0,2911.0,2911.0,2968,NISA.TA
2018-10-17,2854.0,2915.0,2854.0,2907.0,2907.0,360,NISA.TA
2018-10-18,2907.0,2905.0,2904.0,2904.0,2904.0,623,NISA.TA
2018-10-21,2904.0,2933.0,2933.0,2904.0,2904.0,1,NISA.TA
2018-10-22,2904.0,2965.0,2846.0,2869.0,2869.0,3384,NISA.TA
2018-10-23,2869.0,2857.0,2815.0,2848.0,2848.0,1857,NISA.TA
2018-10-24,2848.0,2796.0,2796.0,2838.0,2838.0,15,NISA.TA
2018-10-25,2838.0,2838.0,2773.0,2806.0,2806.0,2734,NISA.TA
2018-10-28,2806.0,2806.0,2806.0,2806.0,2806.0,0,NISA.TA
2018-10-29,2806.0,2806.0,2701.0,2750.0,2750.0,722,NISA.TA
2018-10-30,2750.0,2750.0,2750.0,2750.0,2750.0,0,NISA.TA
2018-10-31,2750.0,2750.0,2715.0,2747.0,2747.0,553,NISA.TA
2018-11-01,2747.0,2807.0,2747.0,2777.0,2777.0,613,NISA.TA
2018-11-04,2777.0,2779.0,2723.0,2738.0,2738.0,233,NISA.TA
2018-11-05,2738.0,2759.0,2759.0,2740.0,2740.0,7,NISA.TA
2018-11-06,2740.0,2740.0,2740.0,2740.0,2740.0,130,NISA.TA
2018-11-07,2740.0,2740.0,2700.0,2718.0,2718.0,1481,NISA.TA
2018-11-08,2718.0,2710.0,2710.0,2710.0,2710.0,103,NISA.TA
2018-11-11,2718.0,2741.0,2718.0,2719.0,2719.0,3363,NISA.TA
2018-11-12,2719.0,2710.0,2710.0,2715.0,2715.0,35,NISA.TA
2018-11-13,2715.0,2717.0,2715.0,2715.0,2715.0,2233,NISA.TA
2018-11-14,2715.0,2700.0,2700.0,2709.0,2709.0,28,NISA.TA
2018-11-15,2709.0,2738.0,2738.0,2738.0,2738.0,449,NISA.TA
2018-11-18,2738.0,2816.0,2816.0,2815.0,2815.0,72,NISA.TA
2018-11-19,2815.0,2865.0,2815.0,2815.0,2815.0,8402,NISA.TA
2018-11-20,2813.0,2815.0,2766.0,2804.0,2804.0,8785,NISA.TA
2018-11-21,2804.0,2829.0,2802.0,2806.0,2806.0,826,NISA.TA
2018-11-22,2806.0,2807.0,2807.0,2807.0,2807.0,63,NISA.TA
2018-11-25,2807.0,2850.0,2756.0,2832.0,2832.0,19134,NISA.TA
2018-11-26,2832.0,2934.0,2850.0,2904.0,2904.0,11159,NISA.TA
2018-11-27,2904.0,2935.0,2935.0,2935.0,2935.0,156,NISA.TA
2018-11-28,2935.0,3029.0,2899.0,3027.0,3027.0,5966,NISA.TA
2018-11-29,3027.0,3095.0,2982.0,3022.0,3022.0,1798,NISA.TA
2018-12-02,3022.0,3060.0,3022.0,3058.0,3058.0,744,NISA.TA
2018-12-03,3058.0,3070.0,3036.0,3062.0,3062.0,185,NISA.TA
2018-12-04,3062.0,3086.0,3086.0,3072.0,3072.0,27,NISA.TA
2018-12-05,3072.0,3072.0,3050.0,3063.0,3063.0,71,NISA.TA
2018-12-06,3063.0,3063.0,3063.0,3063.0,3063.0,959,NISA.TA
2018-12-09,3063.0,3029.0,2985.0,3002.0,3002.0,1757,NISA.TA
2018-12-10,3002.0,3002.0,3002.0,3002.0,3002.0,1,NISA.TA
2018-12-11,3002.0,3002.0,3002.0,3002.0,3002.0,17,NISA.TA
2018-12-12,3002.0,2959.0,2923.0,2937.0,2937.0,3350,NISA.TA
2018-12-13,2937.0,2944.0,2891.0,2900.0,2900.0,1518,NISA.TA
2018-12-16,2900.0,2905.0,2905.0,2900.0,2900.0,5,NISA.TA
2018-12-17,2900.0,2797.0,2797.0,2797.0,2797.0,83,NISA.TA
2018-12-18,2797.0,2810.0,2726.0,2790.0,2790.0,17,NISA.TA
2018-12-19,2790.0,2790.0,2790.0,2790.0,2790.0,226,NISA.TA
2018-12-20,2790.0,2762.0,2762.0,2786.0,2786.0,9,NISA.TA
2018-12-23,2786.0,2737.0,2614.0,2680.0,2680.0,6599,NISA.TA
2018-12-24,2680.0,2680.0,2560.0,2650.0,2650.0,4271,NISA.TA
2018-12-25,2571.0,2665.0,2535.0,2639.0,2639.0,10918,NISA.TA
2018-12-26,2639.0,2730.0,2700.0,2715.0,2715.0,573,NISA.TA
2018-12-27,2715.0,2720.0,2701.0,2707.0,2707.0,463,NISA.TA
2018-12-30,2707.0,2707.0,2707.0,2707.0,2707.0,95,NISA.TA
2018-12-31,2707.0,2771.0,2749.0,2756.0,2756.0,1536,NISA.TA
2019-01-01,2756.0,2860.0,2860.0,2860.0,2860.0,105,NISA.TA
2019-01-02,2860.0,2830.0,2800.0,2822.0,2822.0,308,NISA.TA
2019-01-03,2822.0,2780.0,2780.0,2780.0,2780.0,455,NISA.TA
2019-01-06,2780.0,2860.0,2760.0,2812.0,2812.0,1285,NISA.TA
2019-01-07,2812.0,2815.0,2812.0,2814.0,2814.0,282,NISA.TA
2019-01-08,2814.0,2825.0,2822.0,2824.0,2824.0,2604,NISA.TA
2019-01-09,2824.0,2889.0,2835.0,2836.0,2836.0,1019,NISA.TA
2019-01-10,2836.0,2838.0,2804.0,2835.0,2835.0,1179,NISA.TA
2019-01-13,2835.0,2836.0,2800.0,2814.0,2814.0,2935,NISA.TA
2019-01-14,2814.0,2885.0,2799.0,2836.0,2836.0,2442,NISA.TA
2019-01-15,2836.0,2915.0,2798.0,2802.0,2802.0,1665,NISA.TA
2019-01-16,2802.0,2848.0,2802.0,2803.0,2803.0,965,NISA.TA
2019-01-17,2803.0,2803.0,2803.0,2803.0,2803.0,586,NISA.TA
2019-01-20,2803.0,2804.0,2775.0,2789.0,2789.0,1585,NISA.TA
2019-01-21,2789.0,2842.0,2840.0,2842.0,2842.0,1400,NISA.TA
2019-01-22,2842.0,2958.0,2929.0,2944.0,2944.0,159,NISA.TA
2019-01-23,2944.0,2944.0,2944.0,2944.0,2944.0,1601,NISA.TA
2019-01-24,2944.0,3005.0,2999.0,3000.0,3000.0,513,NISA.TA
2019-01-27,3000.0,3021.0,3000.0,3008.0,3008.0,1727,NISA.TA
2019-01-28,3008.0,2985.0,2977.0,2982.0,2982.0,604,NISA.TA
2019-01-29,2982.0,2975.0,2975.0,2975.0,2975.0,176,NISA.TA
2019-01-30,2975.0,3071.0,2975.0,3058.0,3058.0,2029,NISA.TA
2019-01-31,3058.0,3067.0,3058.0,3061.0,3061.0,2783,NISA.TA
2019-02-03,3061.0,3028.0,3007.0,3012.0,3012.0,428,NISA.TA
2019-02-04,3012.0,3036.0,3036.0,3035.0,3035.0,62,NISA.TA
2019-02-05,3035.0,3090.0,3028.0,3082.0,3082.0,543,NISA.TA
2019-02-06,3082.0,3130.0,3127.0,3129.0,3129.0,529,NISA.TA
2019-02-07,3129.0,3254.0,3254.0,3254.0,3254.0,7409,NISA.TA
2019-02-10,3254.0,3254.0,3122.0,3181.0,3181.0,1257,NISA.TA
2019-02-11,3181.0,3149.0,3149.0,3149.0,3149.0,220,NISA.TA
2019-02-12,3149.0,3234.0,3199.0,3223.0,3223.0,258,NISA.TA
2019-02-13,3223.0,3246.0,3246.0,3235.0,3235.0,35,NISA.TA
2019-02-14,3235.0,3250.0,3250.0,3250.0,3250.0,130,NISA.TA
2019-02-17,3250.0,3250.0,3133.0,3192.0,3192.0,325,NISA.TA
2019-02-18,3192.0,3226.0,3159.0,3195.0,3195.0,1393,NISA.TA
2019-02-19,3195.0,3201.0,3026.0,3186.0,3186.0,2889,NISA.TA
2019-02-20,3186.0,3250.0,3120.0,3141.0,3141.0,74,NISA.TA
2019-02-21,3141.0,3140.0,3092.0,3118.0,3118.0,3109,NISA.TA
2019-02-24,3118.0,3118.0,3012.0,3116.0,3116.0,5107,NISA.TA
2019-02-25,3116.0,3245.0,3085.0,3190.0,3190.0,2840,NISA.TA
2019-02-26,3190.0,3200.0,3104.0,3186.0,3186.0,5007,NISA.TA
2019-02-27,3110.0,3186.0,3110.0,3144.0,3144.0,174,NISA.TA
2019-02-28,3144.0,3155.0,3072.0,3127.0,3127.0,2065,NISA.TA
2019-03-03,3127.0,3127.0,3102.0,3106.0,3106.0,803,NISA.TA
2019-03-04,3106.0,3145.0,3128.0,3140.0,3140.0,441,NISA.TA
2019-03-05,3140.0,3155.0,3155.0,3155.0,3155.0,218,NISA.TA
2019-03-06,3155.0,3156.0,3131.0,3154.0,3154.0,297,NISA.TA
2019-03-07,3154.0,3121.0,3121.0,3121.0,3121.0,1534,NISA.TA
2019-03-10,3121.0,3072.0,3072.0,3107.0,3107.0,18,NISA.TA
2019-03-11,3107.0,3135.0,3106.0,3130.0,3130.0,1694,NISA.TA
2019-03-12,3130.0,3130.0,3130.0,3130.0,3130.0,67,NISA.TA
2019-03-13,3130.0,3230.0,3129.0,3157.0,3157.0,1803,NISA.TA
2019-03-14,3157.0,3198.0,3198.0,3165.0,3165.0,13,NISA.TA
2019-03-17,3165.0,3250.0,3165.0,3188.0,3188.0,1669,NISA.TA
2019-03-18,3188.0,3188.0,3188.0,3188.0,3188.0,19,NISA.TA
2019-03-19,3188.0,3285.0,3284.0,3285.0,3285.0,218,NISA.TA
2019-03-20,3285.0,3285.0,3120.0,3189.0,3189.0,328484,NISA.TA
2019-03-21,3189.0,3189.0,3189.0,3189.0,3189.0,0,NISA.TA
2019-03-24,3189.0,3091.0,3020.0,3061.0,3061.0,1346,NISA.TA
2019-03-25,3061.0,3011.0,2937.0,2954.0,2954.0,880,NISA.TA
2019-03-26,2954.0,2954.0,2954.0,2954.0,2954.0,242,NISA.TA
2019-03-27,2954.0,2851.0,2850.0,2850.0,2850.0,763,NISA.TA
2019-03-28,2850.0,2866.0,2779.0,2798.0,2798.0,2098,NISA.TA
2019-03-31,2798.0,2762.0,2700.0,2751.0,2751.0,1435,NISA.TA
2019-04-01,2751.0,2657.0,2585.0,2617.0,2617.0,1577,NISA.TA
2019-04-02,2617.0,2690.0,2548.0,2560.0,2560.0,10616,NISA.TA
2019-04-03,2560.0,2660.0,2590.0,2638.0,2638.0,657,NISA.TA
2019-04-04,2728.0,2795.0,2713.0,2786.0,2786.0,1194,NISA.TA
2019-04-07,2786.0,2796.0,2730.0,2787.0,2787.0,4323,NISA.TA
2019-04-08,2787.0,2850.0,2787.0,2809.0,2809.0,3329,NISA.TA
2019-04-09,2809.0,2809.0,2809.0,2809.0,2809.0,0,NISA.TA
