,open,high,low,close,adjclose,volume,ticker
2019-02-05,20590.0,20650.0,20380.0,20480.0,20403.71875,65920,ORA.TA
2019-02-06,20550.0,20740.0,20420.0,20600.0,20523.2734375,30360,ORA.TA
2019-02-07,20560.0,20580.0,20420.0,20580.0,20503.349609375,135918,ORA.TA
2019-02-10,20590.0,20730.0,20590.0,20600.0,20523.2734375,9726,ORA.TA
2019-02-11,20680.0,20780.0,20610.0,20740.0,20662.75,14887,ORA.TA
2019-02-12,20790.0,20980.0,20600.0,20660.0,20583.05078125,29307,ORA.TA
2019-02-13,20660.0,20980.0,20570.0,20650.0,20573.087890625,32658,ORA.TA
2019-02-14,20900.0,20900.0,20700.0,20800.0,20722.529296875,40578,ORA.TA
2019-02-17,20800.0,20880.0,20630.0,20750.0,20672.716796875,15162,ORA.TA
2019-02-18,20610.0,20720.0,20560.0,20650.0,20573.087890625,9911,ORA.TA
2019-02-19,20570.0,20750.0,20570.0,20720.0,20642.826171875,20270,ORA.TA
2019-02-20,20720.0,20840.0,20720.0,20790.0,20712.56640625,42074,ORA.TA
2019-02-21,20790.0,20790.0,20420.0,20700.0,20622.900390625,128436,ORA.TA
2019-02-24,20900.0,21000.0,20840.0,21000.0,20921.78125,40118,ORA.TA
2019-02-25,21000.0,21180.0,20860.0,20940.0,20862.009765625,29400,ORA.TA
2019-02-26,20940.0,20940.0,20510.0,20710.0,20632.865234375,41277,ORA.TA
2019-02-27,20250.0,20260.0,19850.0,20050.0,19975.3203125,50352,ORA.TA
2019-02-28,19800.0,19950.0,19710.0,19830.0,19756.142578125,55882,ORA.TA
2019-03-03,20200.0,20250.0,20120.0,20240.0,20164.615234375,13606,ORA.TA
2019-03-04,20240.0,20300.0,19940.0,20300.0,20224.388671875,35954,ORA.TA
2019-03-05,20300.0,20300.0,20090.0,20220.0,20144.6875,23544,ORA.TA
2019-03-06,20220.0,20140.0,19770.0,19860.0,19786.02734375,49609,ORA.TA
2019-03-07,19860.0,20170.0,19800.0,20120.0,20045.05859375,104343,ORA.TA
2019-03-10,20110.0,20110.0,19920.0,19930.0,19855.767578125,8743,ORA.TA
2019-03-11,20000.0,20130.0,19800.0,20110.0,20035.09765625,30382,ORA.TA
2019-03-12,20250.0,20330.0,20000.0,20280.0,20204.466796875,39240,ORA.TA
2019-03-13,19870.0,20200.0,19810.0,20170.0,20105.77734375,41726,ORA.TA
2019-03-14,19770.0,20040.0,19690.0,20040.0,19976.1953125,45164,ORA.TA
2019-03-17,20040.0,20040.0,19810.0,19860.0,19796.76953125,8071,ORA.TA
2019-03-18,19850.0,20040.0,19710.0,19900.0,19836.640625,21765,ORA.TA
2019-03-19,19820.0,20000.0,19770.0,19870.0,19806.736328125,20578,ORA.TA
2019-03-20,19810.0,19960.0,19720.0,19900.0,19836.640625,37069,ORA.TA
2019-03-21,19900.0,19900.0,19900.0,19900.0,19836.640625,0,ORA.TA
2019-03-24,19630.0,19900.0,19600.0,19690.0,19627.306640625,7299,ORA.TA
2019-03-25,19100.0,19710.0,19100.0,19650.0,19587.4375,54120,ORA.TA
2019-03-26,19880.0,20180.0,19740.0,20180.0,20115.74609375,30836,ORA.TA
2019-03-27,20080.0,20140.0,19920.0,20000.0,19936.322265625,78326,ORA.TA
2019-03-28,20000.0,20190.0,19960.0,20000.0,19936.322265625,137692,ORA.TA
2019-03-31,20010.0,20010.0,19810.0,19820.0,19756.896484375,16090,ORA.TA
2019-04-01,20050.0,20060.0,19900.0,20000.0,19936.322265625,50860,ORA.TA
2019-04-02,19800.0,20020.0,19800.0,19940.0,19876.513671875,25156,ORA.TA
2019-04-03,20140.0,20230.0,19870.0,20080.0,20016.068359375,28847,ORA.TA
2019-04-04,19950.0,20050.0,19900.0,20050.0,19986.166015625,76549,ORA.TA
2019-04-07,20230.0,20310.0,20010.0,20070.0,20006.09765625,15167,ORA.TA
2019-04-08,20080.0,20400.0,20000.0,20250.0,20185.52734375,20703,ORA.TA
2019-04-09,20250.0,20250.0,20250.0,20250.0,20185.52734375,0,ORA.TA
2019-04-10,19900.0,20120.0,19850.0,20050.0,19986.166015625,36942,ORA.TA
2019-04-11,20180.0,20180.0,19920.0,20090.0,20026.033203125,32894,ORA.TA
2019-04-14,20340.0,20450.0,20250.0,20370.0,20305.142578125,17078,ORA.TA
2019-04-15,20480.0,20480.0,20150.0,20350.0,20285.208984375,49339,ORA.TA
2019-04-16,20490.0,20590.0,20360.0,20440.0,20374.921875,40609,ORA.TA
2019-04-17,20300.0,20550.0,20300.0,20360.0,20295.173828125,27593,ORA.TA
2019-04-18,20550.0,20560.0,20240.0,20410.0,20345.017578125,41307,ORA.TA
2019-04-21,20670.0,20730.0,20520.0,20710.0,20644.05859375,8267,ORA.TA
2019-04-22,20720.0,20720.0,20520.0,20610.0,20544.376953125,10829,ORA.TA
2019-04-23,20540.0,20570.0,20420.0,20540.0,20474.6015625,9924,ORA.TA
2019-04-24,20870.0,20900.0,20760.0,20900.0,20833.455078125,71837,ORA.TA
2019-04-25,20900.0,20900.0,20900.0,20900.0,20833.455078125,0,ORA.TA
2019-04-28,21020.0,21330.0,21020.0,21230.0,21162.404296875,15927,ORA.TA
2019-04-29,21190.0,21270.0,21110.0,21130.0,21062.724609375,16494,ORA.TA
2019-04-30,21150.0,21220.0,20830.0,21020.0,20953.076171875,33204,ORA.TA
2019-05-01,21020.0,21130.0,20750.0,20900.0,20833.455078125,40755,ORA.TA
2019-05-02,20640.0,20770.0,20520.0,20690.0,20624.125,50344,ORA.TA
2019-05-05,21090.0,21140.0,20960.0,21010.0,20943.10546875,17791,ORA.TA
2019-05-06,20790.0,21050.0,20640.0,21050.0,20982.978515625,21870,ORA.TA
2019-05-07,21010.0,21790.0,20700.0,21560.0,21491.353515625,111689,ORA.TA
2019-05-08,21560.0,21560.0,21560.0,21560.0,21491.353515625,0,ORA.TA
2019-05-09,21560.0,21560.0,21560.0,21560.0,21491.353515625,0,ORA.TA
