,open,high,low,close,adjclose,volume,ticker
2018-09-30,2883.0,2883.0,2883.0,2883.0,2490.6181640625,0,PRSK.TA
2018-10-01,2883.0,2883.0,2883.0,2883.0,2490.6181640625,0,PRSK.TA
2018-10-02,2883.0,2923.0,2897.0,2903.0,2507.89599609375,3916,PRSK.TA
2018-10-03,2903.0,2910.0,2879.0,2897.0,2502.712158203125,14826,PRSK.TA
2018-10-04,2897.0,2897.0,2799.0,2854.0,2465.564453125,1783,PRSK.TA
2018-10-07,2854.0,2899.0,2798.0,2887.0,2494.0732421875,542,PRSK.TA
2018-10-08,2887.0,2900.0,2887.0,2888.0,2494.937255859375,155,PRSK.TA
2018-10-09,2888.0,2900.0,2870.0,2891.0,2497.529052734375,634,PRSK.TA
2018-10-10,2891.0,2900.0,2850.0,2893.0,2499.256591796875,928,PRSK.TA
2018-10-11,2893.0,2900.0,2850.0,2890.0,2496.665283203125,3224,PRSK.TA
2018-10-14,2890.0,2920.0,2890.0,2901.0,2506.16796875,1319,PRSK.TA
2018-10-15,2901.0,2881.0,2787.0,2792.0,2412.0029296875,5054,PRSK.TA
2018-10-16,2834.0,2834.0,2755.0,2765.0,2388.677978515625,1576,PRSK.TA
2018-10-17,2763.0,2818.0,2763.0,2778.0,2399.90869140625,370,PRSK.TA
2018-10-18,2778.0,2820.0,2778.0,2817.0,2433.6005859375,529,PRSK.TA
2018-10-21,2817.0,2817.0,2773.0,2792.0,2412.0029296875,764,PRSK.TA
2018-10-22,2845.0,2845.0,2775.0,2798.0,2417.1865234375,462,PRSK.TA
2018-10-23,2798.0,2832.0,2774.0,2786.0,2406.81982421875,4250,PRSK.TA
2018-10-24,2786.0,2786.0,2786.0,2786.0,2406.81982421875,172,PRSK.TA
2018-10-25,2786.0,2827.0,2752.0,2802.0,2420.641845703125,4509,PRSK.TA
2018-10-28,2802.0,2800.0,2749.0,2788.0,2408.5478515625,1256,PRSK.TA
2018-10-29,2788.0,2788.0,2788.0,2788.0,2408.5478515625,174,PRSK.TA
2018-10-30,2788.0,2788.0,2788.0,2788.0,2408.5478515625,0,PRSK.TA
2018-10-31,2788.0,2788.0,2788.0,2788.0,2408.5478515625,190,PRSK.TA
2018-11-01,2788.0,2816.0,2789.0,2800.0,2418.914306640625,2153,PRSK.TA
2018-11-04,2730.0,2800.0,2730.0,2771.0,2393.861083984375,1585,PRSK.TA
2018-11-05,2771.0,2800.0,2755.0,2770.0,2392.99755859375,2426,PRSK.TA
2018-11-06,2811.0,2846.0,2757.0,2813.0,2430.14501953125,1204,PRSK.TA
2018-11-07,2813.0,2889.0,2813.0,2847.0,2459.517333984375,4303,PRSK.TA
