,open,high,low,close,adjclose,volume,ticker
2018-09-30,27087.099609375,27087.099609375,27087.099609375,27087.099609375,23789.0859375,0,PTBL.TA
2018-10-01,27087.099609375,27087.099609375,27087.099609375,27087.099609375,23789.0859375,0,PTBL.TA
2018-10-02,26755.30078125,27004.19921875,26552.599609375,26718.5,23465.365234375,1959,PTBL.TA
2018-10-03,26718.5,26939.599609375,26248.400390625,26478.80078125,23254.8515625,7563,PTBL.TA
2018-10-04,26478.80078125,26478.80078125,25713.900390625,25713.900390625,22583.08203125,8349,PTBL.TA
2018-10-07,25529.5,25621.69921875,25345.19921875,25400.5,22307.83984375,2524,PTBL.TA
2018-10-08,25465.0,25465.0,25031.80078125,25077.900390625,22024.51953125,3835,PTBL.TA
2018-10-09,25207.0,25437.400390625,25087.099609375,25253.0,22178.298828125,2037,PTBL.TA
2018-10-10,25253.0,25428.19921875,24654.0,24746.099609375,21733.1171875,5097,PTBL.TA
2018-10-11,24303.69921875,25031.80078125,24220.80078125,24985.80078125,21943.6328125,9451,PTBL.TA
2018-10-14,25234.599609375,25234.599609375,24921.19921875,24958.099609375,21919.3046875,1086,PTBL.TA
2018-10-15,24958.099609375,24865.900390625,24635.5,24792.19921875,21773.603515625,5040,PTBL.TA
2018-10-16,24792.19921875,25114.80078125,24746.099609375,25096.400390625,22040.767578125,3647,PTBL.TA
2018-10-17,24709.30078125,25188.5,24709.30078125,25179.30078125,22113.572265625,3786,PTBL.TA
2018-10-18,25179.30078125,25280.69921875,25004.19921875,25142.400390625,22081.166015625,1981,PTBL.TA
2018-10-21,25151.69921875,25151.69921875,24681.599609375,24783.0,21765.525390625,3288,PTBL.TA
2018-10-22,24783.0,25114.80078125,24746.099609375,24792.19921875,21773.603515625,5071,PTBL.TA
2018-10-23,24543.400390625,24663.19921875,24193.099609375,24230.0,21279.85546875,5234,PTBL.TA
2018-10-24,24257.69921875,24690.80078125,24147.099609375,24423.599609375,21449.884765625,3393,PTBL.TA
2018-10-25,23594.099609375,24156.30078125,23594.099609375,24091.80078125,21158.482421875,5063,PTBL.TA
2018-10-28,24091.80078125,24377.5,23962.69921875,24239.19921875,21287.935546875,3489,PTBL.TA
2018-10-29,24239.19921875,24515.69921875,24128.599609375,24174.69921875,21231.287109375,4532,PTBL.TA
2018-10-30,24174.69921875,24174.69921875,24174.69921875,24174.69921875,21231.287109375,0,PTBL.TA
2018-10-31,24174.69921875,24607.900390625,24414.30078125,24598.69921875,21603.6640625,2422,PTBL.TA
2018-11-01,24598.69921875,24884.400390625,24598.69921875,24626.30078125,21627.904296875,2521,PTBL.TA
2018-11-04,24626.30078125,24810.599609375,24626.30078125,24654.0,21652.232421875,1310,PTBL.TA
