,open,high,low,close,adjclose,volume,ticker
2018-09-30,164.5,164.5,164.5,164.5,164.5,0,RSEL.TA
2018-10-01,164.5,164.5,164.5,164.5,164.5,0,RSEL.TA
2018-10-02,164.5,173.89999389648438,164.3000030517578,165.89999389648438,165.89999389648438,18971,RSEL.TA
2018-10-03,165.89999389648438,174.5,169.60000610351562,170.89999389648438,170.89999389648438,18300,RSEL.TA
2018-10-04,170.89999389648438,171.0,170.89999389648438,171.0,171.0,2500,RSEL.TA
2018-10-07,171.0,180.0,174.6999969482422,177.10000610351562,177.10000610351562,61667,RSEL.TA
2018-10-08,177.10000610351562,181.0,171.8000030517578,176.39999389648438,176.39999389648438,16207,RSEL.TA
2018-10-09,176.39999389648438,174.60000610351562,169.0,171.39999389648438,171.39999389648438,10761,RSEL.TA
2018-10-10,171.39999389648438,171.39999389648438,171.39999389648438,171.39999389648438,171.39999389648438,0,RSEL.TA
2018-10-11,171.39999389648438,165.60000610351562,164.39999389648438,164.39999389648438,164.39999389648438,33829,RSEL.TA
2018-10-14,164.39999389648438,164.39999389648438,164.39999389648438,164.39999389648438,164.39999389648438,0,RSEL.TA
2018-10-15,164.39999389648438,164.39999389648438,164.39999389648438,164.39999389648438,164.39999389648438,0,RSEL.TA
2018-10-16,164.39999389648438,164.39999389648438,164.39999389648438,164.39999389648438,164.39999389648438,0,RSEL.TA
2018-10-17,164.39999389648438,164.39999389648438,164.39999389648438,164.39999389648438,164.39999389648438,5,RSEL.TA
2018-10-18,164.39999389648438,164.39999389648438,164.39999389648438,164.39999389648438,164.39999389648438,1960,RSEL.TA
2018-10-21,164.39999389648438,164.39999389648438,164.39999389648438,164.39999389648438,164.39999389648438,0,RSEL.TA
2018-10-22,164.39999389648438,164.39999389648438,164.39999389648438,164.39999389648438,164.39999389648438,1250,RSEL.TA
2018-10-23,164.39999389648438,164.3000030517578,159.5,161.0,161.0,2456,RSEL.TA
2018-10-24,161.0,161.0,161.0,161.0,161.0,0,RSEL.TA
2018-10-25,161.0,160.0,160.0,160.0,160.0,9375,RSEL.TA
2018-10-28,160.0,160.0,160.0,160.0,160.0,0,RSEL.TA
2018-10-29,160.0,161.5,157.3000030517578,157.5,157.5,1256,RSEL.TA
2018-10-30,157.5,157.5,157.5,157.5,157.5,0,RSEL.TA
2018-10-31,157.5,157.5,157.5,157.5,157.5,0,RSEL.TA
2018-11-01,157.5,161.0,159.0,157.8000030517578,157.8000030517578,101,RSEL.TA
2018-11-04,157.8000030517578,157.8000030517578,157.8000030517578,157.8000030517578,157.8000030517578,0,RSEL.TA
2018-11-05,157.8000030517578,157.8000030517578,157.8000030517578,157.8000030517578,157.8000030517578,0,RSEL.TA
2018-11-06,157.8000030517578,159.3000030517578,153.10000610351562,155.89999389648438,155.89999389648438,2656,RSEL.TA
2018-11-07,155.89999389648438,155.89999389648438,155.89999389648438,155.89999389648438,155.89999389648438,0,RSEL.TA
2018-11-08,155.89999389648438,155.89999389648438,155.89999389648438,155.89999389648438,155.89999389648438,0,RSEL.TA
2018-11-11,159.3000030517578,159.3000030517578,159.3000030517578,156.0,156.0,50,RSEL.TA
2018-11-12,156.0,155.60000610351562,149.8000030517578,152.1999969482422,152.1999969482422,5960,RSEL.TA
2018-11-13,152.1999969482422,152.1999969482422,152.1999969482422,152.1999969482422,152.1999969482422,0,RSEL.TA
2018-11-14,152.1999969482422,149.6999969482422,147.60000610351562,148.10000610351562,148.10000610351562,6005,RSEL.TA
2018-11-15,148.10000610351562,148.10000610351562,148.10000610351562,148.10000610351562,148.10000610351562,0,RSEL.TA
2018-11-18,148.10000610351562,148.10000610351562,148.10000610351562,148.10000610351562,148.10000610351562,0,RSEL.TA
2018-11-19,148.10000610351562,148.10000610351562,148.10000610351562,148.10000610351562,148.10000610351562,0,RSEL.TA
2018-11-20,148.10000610351562,148.0,145.0,145.1999969482422,145.1999969482422,4801,RSEL.TA
2018-11-21,145.1999969482422,145.1999969482422,145.1999969482422,145.1999969482422,145.1999969482422,0,RSEL.TA
2018-11-22,148.10000610351562,148.0,145.0,145.1999969482422,145.1999969482422,4801,RSEL.TA
2018-11-25,145.1999969482422,145.1999969482422,145.1999969482422,145.1999969482422,145.1999969482422,0,RSEL.TA
2018-11-26,145.1999969482422,145.1999969482422,145.1999969482422,145.1999969482422,145.1999969482422,4,RSEL.TA
2018-11-27,145.1999969482422,145.3000030517578,144.89999389648438,145.10000610351562,145.10000610351562,22400,RSEL.TA
2018-11-28,145.10000610351562,153.8000030517578,145.1999969482422,148.10000610351562,148.10000610351562,8000,RSEL.TA
2018-11-29,148.10000610351562,152.3000030517578,151.39999389648438,151.5,151.5,1500,RSEL.TA
2018-12-02,151.5,151.5,151.5,151.5,151.5,0,RSEL.TA
2018-12-03,151.5,151.5,151.5,151.5,151.5,0,RSEL.TA
2018-12-04,151.5,150.0,149.0,149.3000030517578,149.3000030517578,13048,RSEL.TA
2018-12-05,149.3000030517578,149.3000030517578,149.3000030517578,149.3000030517578,149.3000030517578,0,RSEL.TA
2018-12-06,149.3000030517578,149.3000030517578,149.3000030517578,149.3000030517578,149.3000030517578,0,RSEL.TA
2018-12-09,149.3000030517578,149.3000030517578,149.3000030517578,149.3000030517578,149.3000030517578,0,RSEL.TA
2018-12-10,149.3000030517578,148.1999969482422,146.8000030517578,147.8000030517578,147.8000030517578,4856,RSEL.TA
2018-12-11,147.8000030517578,146.1999969482422,143.0,144.89999389648438,144.89999389648438,5913,RSEL.TA
2018-12-12,144.89999389648438,146.1999969482422,141.3000030517578,142.10000610351562,142.10000610351562,9736,RSEL.TA
2018-12-13,142.10000610351562,142.10000610351562,142.10000610351562,142.10000610351562,142.10000610351562,0,RSEL.TA
2018-12-16,142.10000610351562,140.0,140.0,140.0,140.0,10000,RSEL.TA
2018-12-17,140.0,140.0,140.0,140.0,140.0,11100,RSEL.TA
2018-12-18,140.0,140.0,140.0,140.0,140.0,2990,RSEL.TA
2018-12-19,140.0,140.0,140.0,140.0,140.0,573,RSEL.TA
2018-12-20,140.0,140.0,140.0,140.0,140.0,0,RSEL.TA
2018-12-23,140.0,140.0,137.6999969482422,137.8000030517578,137.8000030517578,1356,RSEL.TA
2018-12-24,137.8000030517578,140.0,135.5,138.0,138.0,4700,RSEL.TA
2018-12-25,138.0,138.0,138.0,138.0,138.0,0,RSEL.TA
2018-12-26,138.0,149.0,138.0,148.6999969482422,148.6999969482422,34906,RSEL.TA
2018-12-27,151.0,151.0,151.0,151.0,151.0,1935,RSEL.TA
2018-12-30,151.0,157.0,151.0,153.39999389648438,153.39999389648438,30809,RSEL.TA
2018-12-31,158.0,159.5,151.89999389648438,155.5,155.5,4100,RSEL.TA
2019-01-01,155.5,155.5,155.5,155.5,155.5,0,RSEL.TA
2019-01-02,158.89999389648438,170.0,158.89999389648438,164.0,164.0,14128,RSEL.TA
2019-01-03,167.60000610351562,174.89999389648438,160.0,165.8000030517578,165.8000030517578,19884,RSEL.TA
2019-01-06,169.5,170.0,159.1999969482422,163.3000030517578,163.3000030517578,6556,RSEL.TA
2019-01-07,163.3000030517578,168.1999969482422,158.5,162.60000610351562,162.60000610351562,14956,RSEL.TA
2019-01-08,162.60000610351562,162.60000610351562,162.60000610351562,162.60000610351562,162.60000610351562,3690,RSEL.TA
2019-01-09,162.60000610351562,162.60000610351562,162.60000610351562,162.60000610351562,162.60000610351562,0,RSEL.TA
2019-01-10,162.60000610351562,159.89999389648438,159.89999389648438,159.89999389648438,159.89999389648438,3956,RSEL.TA
2019-01-13,159.89999389648438,159.89999389648438,159.89999389648438,159.89999389648438,159.89999389648438,13758,RSEL.TA
2019-01-14,159.89999389648438,159.89999389648438,159.89999389648438,159.89999389648438,159.89999389648438,0,RSEL.TA
2019-01-15,159.89999389648438,159.89999389648438,159.89999389648438,159.89999389648438,159.89999389648438,0,RSEL.TA
2019-01-16,159.89999389648438,163.3000030517578,163.3000030517578,163.3000030517578,163.3000030517578,1300,RSEL.TA
2019-01-17,163.3000030517578,161.0,161.0,163.1999969482422,163.1999969482422,49,RSEL.TA
2019-01-20,163.1999969482422,163.1999969482422,163.1999969482422,163.1999969482422,163.1999969482422,49,RSEL.TA
2019-01-21,163.1999969482422,163.1999969482422,163.1999969482422,163.1999969482422,163.1999969482422,0,RSEL.TA
2019-01-22,163.1999969482422,164.8000030517578,164.8000030517578,164.6999969482422,164.6999969482422,1190,RSEL.TA
2019-01-23,164.6999969482422,164.6999969482422,164.6999969482422,164.6999969482422,164.6999969482422,6685,RSEL.TA
2019-01-24,164.6999969482422,172.0,164.6999969482422,167.39999389648438,167.39999389648438,37305,RSEL.TA
2019-01-27,167.39999389648438,167.39999389648438,167.39999389648438,167.39999389648438,167.39999389648438,0,RSEL.TA
2019-01-28,167.39999389648438,170.8000030517578,159.89999389648438,164.6999969482422,164.6999969482422,17750,RSEL.TA
2019-01-29,164.6999969482422,164.6999969482422,164.6999969482422,164.6999969482422,164.6999969482422,0,RSEL.TA
2019-01-30,164.6999969482422,172.0,168.3000030517578,170.3000030517578,170.3000030517578,7297,RSEL.TA
2019-01-31,170.3000030517578,179.89999389648438,175.0,177.6999969482422,177.6999969482422,46848,RSEL.TA
