,open,high,low,close,adjclose,volume,ticker
2018-09-30,3127.0,3127.0,3127.0,3127.0,3127.0,0,SKLN.TA
2018-10-01,3127.0,3127.0,3127.0,3127.0,3127.0,0,SKLN.TA
2018-10-02,3127.0,3160.0,3100.0,3143.0,3143.0,136,SKLN.TA
2018-10-03,3159.0,3159.0,3159.0,3159.0,3159.0,290,SKLN.TA
2018-10-04,3159.0,3155.0,3123.0,3147.0,3147.0,959,SKLN.TA
2018-10-07,3147.0,3122.0,3058.0,3078.0,3078.0,201,SKLN.TA
2018-10-08,3078.0,3114.0,3105.0,3112.0,3112.0,404,SKLN.TA
2018-10-09,3149.0,3149.0,3111.0,3132.0,3132.0,92,SKLN.TA
2018-10-10,3132.0,3131.0,3011.0,3057.0,3057.0,2819,SKLN.TA
2018-10-11,3057.0,2999.0,2861.0,2986.0,2986.0,3467,SKLN.TA
2018-10-14,2999.0,2999.0,2999.0,2999.0,2999.0,100,SKLN.TA
2018-10-15,2999.0,2998.0,2925.0,2974.0,2974.0,723,SKLN.TA
2018-10-16,2999.0,2999.0,2919.0,2968.0,2968.0,1469,SKLN.TA
2018-10-17,2998.0,2998.0,2930.0,2945.0,2945.0,2786,SKLN.TA
2018-10-18,2980.0,2990.0,2977.0,2981.0,2981.0,584,SKLN.TA
2018-10-21,2981.0,2981.0,2910.0,2933.0,2933.0,2045,SKLN.TA
2018-10-22,2959.0,2959.0,2958.0,2958.0,2958.0,563,SKLN.TA
2018-10-23,2978.0,2978.0,2845.0,2952.0,2952.0,4390,SKLN.TA
2018-10-24,2952.0,2981.0,2860.0,2904.0,2904.0,1996,SKLN.TA
2018-10-25,2904.0,2860.0,2831.0,2852.0,2852.0,582,SKLN.TA
2018-10-28,2885.0,2885.0,2885.0,2885.0,2885.0,389,SKLN.TA
2018-10-29,2898.0,2898.0,2850.0,2870.0,2870.0,939,SKLN.TA
2018-10-30,2870.0,2870.0,2870.0,2870.0,2870.0,0,SKLN.TA
2018-10-31,2899.0,2900.0,2800.0,2882.0,2882.0,12846,SKLN.TA
2018-11-01,2917.0,2917.0,2735.0,2797.0,2797.0,11972,SKLN.TA
2018-11-04,2841.0,2841.0,2769.0,2775.0,2775.0,4147,SKLN.TA
2018-11-05,2829.0,2834.0,2744.0,2776.0,2776.0,14425,SKLN.TA
