,open,high,low,close,adjclose,volume,ticker
2018-09-30,1488.0,1488.0,1488.0,1488.0,1488.0,0,TALD.TA
2018-10-01,1488.0,1488.0,1488.0,1488.0,1488.0,0,TALD.TA
2018-10-02,1488.0,1488.0,1488.0,1488.0,1488.0,150,TALD.TA
2018-10-03,1488.0,1480.0,1480.0,1480.0,1480.0,437,TALD.TA
2018-10-04,1480.0,1480.0,1445.0,1455.0,1455.0,6736,TALD.TA
2018-10-07,1455.0,1430.0,1430.0,1446.0,1446.0,48,TALD.TA
2018-10-08,1445.0,1446.0,1438.0,1441.0,1441.0,921,TALD.TA
2018-10-09,1441.0,1438.0,1437.0,1437.0,1437.0,642,TALD.TA
2018-10-10,1437.0,1487.0,1434.0,1462.0,1462.0,6697,TALD.TA
2018-10-11,1462.0,1433.0,1414.0,1420.0,1420.0,1887,TALD.TA
2018-10-14,1420.0,1438.0,1421.0,1425.0,1425.0,548,TALD.TA
2018-10-15,1425.0,1433.0,1421.0,1426.0,1426.0,831,TALD.TA
2018-10-16,1426.0,1438.0,1427.0,1430.0,1430.0,604,TALD.TA
2018-10-17,1395.0,1429.0,1395.0,1411.0,1411.0,1296,TALD.TA
2018-10-18,1411.0,1432.0,1350.0,1419.0,1419.0,27406,TALD.TA
2018-10-21,1419.0,1424.0,1419.0,1420.0,1420.0,3958,TALD.TA
2018-10-22,1420.0,1463.0,1426.0,1460.0,1460.0,2987,TALD.TA
2018-10-23,1460.0,1441.0,1420.0,1422.0,1422.0,7164,TALD.TA
2018-10-24,1422.0,1450.0,1440.0,1442.0,1442.0,1477,TALD.TA
2018-10-25,1442.0,1408.0,1386.0,1404.0,1404.0,2907,TALD.TA
2018-10-28,1404.0,1450.0,1404.0,1441.0,1441.0,1145,TALD.TA
2018-10-29,1441.0,1450.0,1450.0,1450.0,1450.0,256,TALD.TA
2018-10-30,1450.0,1450.0,1450.0,1450.0,1450.0,0,TALD.TA
2018-10-31,1450.0,1469.0,1450.0,1451.0,1451.0,2963,TALD.TA
2018-11-01,1451.0,1451.0,1423.0,1433.0,1433.0,2462,TALD.TA
2018-11-04,1410.0,1432.0,1410.0,1419.0,1419.0,795,TALD.TA
2018-11-05,1419.0,1419.0,1410.0,1415.0,1415.0,1756,TALD.TA
2018-11-06,1415.0,1427.0,1415.0,1417.0,1417.0,1717,TALD.TA
2018-11-07,1417.0,1410.0,1401.0,1409.0,1409.0,3793,TALD.TA
2018-11-08,1409.0,1415.0,1410.0,1412.0,1412.0,381,TALD.TA
2018-11-11,1418.0,1418.0,1418.0,1418.0,1418.0,153,TALD.TA
2018-11-12,1418.0,1448.0,1418.0,1435.0,1435.0,1017,TALD.TA
