,open,high,low,close,adjclose,volume,ticker
2019-08-01,916.0,940.0,896.0,915.0,908.3129272460938,7663765,TASE.TA
2019-08-04,910.0,910.0,903.0,909.2999877929688,902.654541015625,544415,TASE.TA
2019-08-05,902.0,908.0,900.0,900.0,893.4225463867188,191534,TASE.TA
2019-08-06,905.0,908.0,899.0,899.5,892.9262084960938,156183,TASE.TA
2019-08-07,900.0,959.0,900.0,925.2999877929688,918.53759765625,273635,TASE.TA
2019-08-08,940.0,956.0,935.0,935.0,928.166748046875,269817,TASE.TA
2019-08-11,935.0,935.0,935.0,935.0,928.166748046875,0,TASE.TA
2019-08-12,949.0,957.0,940.0999755859375,953.4000244140625,946.4323120117188,314575,TASE.TA
2019-08-13,960.0,1040.0,957.0,1000.0,992.6917114257812,485203,TASE.TA
2019-08-14,1025.0,1087.0,962.0,1001.0,993.6843872070312,913495,TASE.TA
2019-08-15,1001.0,1037.0,980.0,998.5,991.20263671875,449908,TASE.TA
2019-08-18,1030.0,1088.0,1025.0,1085.0,1077.0704345703125,434712,TASE.TA
2019-08-19,1100.0,1148.0,1092.0,1110.0,1101.8878173828125,673378,TASE.TA
2019-08-20,1137.0,1147.0,1110.0,1131.0,1122.7342529296875,423847,TASE.TA
2019-08-21,1153.0,1159.0,1080.0,1097.0,1088.9827880859375,446667,TASE.TA
2019-08-22,1100.0,1118.0,1081.0,1084.0,1076.0777587890625,258791,TASE.TA
2019-08-25,1050.0,1052.0,1020.0,1036.0,1028.4285888671875,133235,TASE.TA
2019-08-26,1060.0,1121.0,1060.0,1086.0,1078.063232421875,243608,TASE.TA
2019-08-27,1100.0,1102.0,1053.0,1082.0,1074.0924072265625,247111,TASE.TA
2019-08-28,1060.0,1060.0,1023.0,1038.0,1030.4139404296875,156393,TASE.TA
2019-08-29,1040.0,1048.0,1023.0,1040.0,1032.3994140625,148011,TASE.TA
2019-09-01,1030.0,1030.0,999.0,999.7000122070312,992.3939208984375,101027,TASE.TA
2019-09-02,999.7000122070312,1025.0,962.0,962.7999877929688,955.7635498046875,218056,TASE.TA
2019-09-03,962.7999877929688,965.0,925.0,925.0,918.2398071289062,329243,TASE.TA
2019-09-04,935.0,955.0,935.0,941.7999877929688,934.9170532226562,291358,TASE.TA
2019-09-05,952.0,1019.0,951.0,980.0,972.837890625,245179,TASE.TA
2019-09-08,1000.0,1013.0,951.0,951.0,944.0498046875,208161,TASE.TA
2019-09-09,965.0,990.0,952.2000122070312,986.0,978.7940063476562,231243,TASE.TA
2019-09-10,986.0,986.0,966.0,969.7000122070312,962.6131591796875,112366,TASE.TA
2019-09-11,965.0,1030.0,965.0,1005.0,997.6551513671875,295685,TASE.TA
2019-09-12,1030.0,1060.0,1008.0,1036.0,1028.4285888671875,193101,TASE.TA
2019-09-15,1048.0,1060.0,1042.0,1050.0,1042.3262939453125,54621,TASE.TA
2019-09-16,1050.0,1062.0,1017.0,1026.0,1018.501708984375,146297,TASE.TA
2019-09-18,1026.0,1057.0,1023.0,1035.0,1027.4359130859375,88149,TASE.TA
2019-09-19,1036.0,1053.0,1031.0,1041.0,1033.39208984375,99309,TASE.TA
2019-09-22,1040.0,1094.0,1025.0,1090.0,1082.033935546875,193049,TASE.TA
2019-09-23,1090.0,1095.0,1070.0,1088.0,1080.048583984375,228324,TASE.TA
2019-09-24,1088.0,1096.0,1070.0,1080.0,1072.1070556640625,101269,TASE.TA
2019-09-25,1070.0,1080.0,1050.0,1079.0,1071.1143798828125,76035,TASE.TA
2019-09-26,1070.0,1080.0,1070.0,1077.0,1069.12890625,211235,TASE.TA
2019-10-02,1077.0,1110.0,1077.0,1095.0,1086.9974365234375,658734,TASE.TA
2019-10-03,1090.0,1214.0,1082.0,1214.0,1205.127685546875,5499971,TASE.TA
2019-10-06,1222.0,1237.0,1200.0,1214.0,1205.127685546875,1811818,TASE.TA
2019-10-07,1214.0,1220.0,1185.0,1213.0,1204.135009765625,862921,TASE.TA
2019-10-10,1209.0,1225.0,1201.0,1225.0,1216.04736328125,488374,TASE.TA
2019-10-15,1225.0,1258.0,1220.0,1244.0,1234.908447265625,391764,TASE.TA
2019-10-16,1255.0,1264.0,1236.0,1255.0,1245.828125,206818,TASE.TA
2019-10-17,1250.0,1369.0,1250.0,1300.0,1290.4991455078125,463236,TASE.TA
2019-10-22,1290.0,1300.0,1275.0,1278.0,1268.6600341796875,510536,TASE.TA
2019-10-23,1275.0,1275.0,1265.0,1267.0,1257.7403564453125,320930,TASE.TA
2019-10-24,1275.0,1280.0,1229.0,1237.0,1227.9595947265625,421354,TASE.TA
2019-10-27,1235.0,1248.0,1212.0,1219.0,1210.0911865234375,139513,TASE.TA
2019-10-28,1220.0,1222.0,1188.0,1219.0,1210.0911865234375,623746,TASE.TA
2019-10-29,1211.0,1254.0,1211.0,1248.0,1238.8792724609375,239906,TASE.TA
2019-10-30,1248.0,1294.0,1239.0,1275.0,1265.681884765625,143424,TASE.TA
2019-10-31,1300.0,1333.0,1300.0,1305.0,1295.462646484375,417231,TASE.TA
2019-11-03,1333.0,1333.0,1285.0,1293.0,1283.5504150390625,141573,TASE.TA
2019-11-04,1290.0,1311.0,1274.0,1310.0,1300.4261474609375,153498,TASE.TA
2019-11-05,1310.0,1310.0,1291.0,1310.0,1300.4261474609375,148376,TASE.TA
2019-11-06,1310.0,1310.0,1292.0,1309.0,1299.4334716796875,146570,TASE.TA
2019-11-07,1309.0,1314.0,1296.0,1307.0,1297.447998046875,376812,TASE.TA
2019-11-10,1298.0,1318.0,1285.0,1285.0,1275.60888671875,89441,TASE.TA
2019-11-11,1280.0,1299.0,1255.0,1270.0,1260.718505859375,181818,TASE.TA
2019-11-12,1254.0,1283.0,1250.0,1280.0,1270.6453857421875,171112,TASE.TA
2019-11-13,1291.0,1291.0,1256.0,1285.0,1275.60888671875,188674,TASE.TA
2019-11-14,1290.0,1300.0,1286.0,1300.0,1290.4991455078125,82077,TASE.TA
2019-11-17,1303.0,1303.0,1286.0,1287.0,1277.59423828125,82941,TASE.TA
2019-11-18,1283.0,1285.0,1265.0,1268.0,1258.7330322265625,156494,TASE.TA
2019-11-19,1285.0,1285.0,1264.0,1270.0,1260.718505859375,111271,TASE.TA
2019-11-20,1265.0,1276.0,1250.0,1257.0,1247.8134765625,130202,TASE.TA
2019-11-21,1270.0,1271.0,1253.0,1267.0,1257.7403564453125,83139,TASE.TA
2019-11-24,1267.0,1274.0,1258.0,1262.0,1252.7769775390625,51445,TASE.TA
2019-11-25,1254.0,1280.0,1250.0,1254.0,1244.8353271484375,150578,TASE.TA
2019-11-26,1254.0,1270.0,1200.0,1200.0,1191.22998046875,366649,TASE.TA
2019-11-27,1203.0,1230.0,1201.0,1201.0,1192.2227783203125,150387,TASE.TA
2019-11-28,1197.0,1197.0,1150.0,1159.0,1150.5296630859375,494080,TASE.TA
2019-12-01,1160.0,1163.0,1101.0,1101.0,1092.95361328125,230972,TASE.TA
2019-12-02,1112.0,1124.0,1099.0,1110.0,1101.8878173828125,283344,TASE.TA
2019-12-03,1120.0,1128.0,1071.0,1128.0,1119.7562255859375,560262,TASE.TA
2019-12-04,1128.0,1147.0,1113.0,1121.0,1112.807373046875,293064,TASE.TA
2019-12-05,1132.0,1132.0,1109.0,1125.0,1116.7781982421875,156038,TASE.TA
2019-12-08,1125.0,1130.0,1095.0,1095.0,1086.9974365234375,208671,TASE.TA
