,open,high,low,close,adjclose,volume,ticker
2018-09-30,1913.0,1913.0,1913.0,1913.0,1913.0,0,WLFD.TA
2018-10-01,1913.0,1913.0,1913.0,1913.0,1913.0,0,WLFD.TA
2018-10-02,1913.0,1928.0,1912.0,1918.0,1918.0,3552,WLFD.TA
2018-10-03,1918.0,1920.0,1871.0,1900.0,1900.0,2341,WLFD.TA
2018-10-04,1900.0,1882.0,1860.0,1870.0,1870.0,2441,WLFD.TA
2018-10-07,1870.0,1900.0,1885.0,1899.0,1899.0,1098,WLFD.TA
2018-10-08,1899.0,1900.0,1900.0,1900.0,1900.0,252,WLFD.TA
2018-10-09,1900.0,1922.0,1875.0,1913.0,1913.0,1705,WLFD.TA
2018-10-10,1913.0,1902.0,1900.0,1901.0,1901.0,1060,WLFD.TA
2018-10-11,1901.0,1930.0,1833.0,1911.0,1911.0,2381,WLFD.TA
2018-10-14,1911.0,1930.0,1930.0,1919.0,1919.0,41,WLFD.TA
2018-10-15,1919.0,1920.0,1901.0,1915.0,1915.0,1150,WLFD.TA
2018-10-16,1915.0,1915.0,1850.0,1886.0,1886.0,4342,WLFD.TA
2018-10-17,1875.0,1900.0,1875.0,1899.0,1899.0,1064,WLFD.TA
2018-10-18,1899.0,1899.0,1896.0,1898.0,1898.0,810,WLFD.TA
2018-10-21,1898.0,1898.0,1898.0,1898.0,1898.0,7,WLFD.TA
2018-10-22,1898.0,1908.0,1906.0,1907.0,1907.0,285,WLFD.TA
2018-10-23,1907.0,1899.0,1865.0,1880.0,1880.0,2753,WLFD.TA
2018-10-24,1880.0,1936.0,1885.0,1904.0,1904.0,482,WLFD.TA
2018-10-25,1904.0,1913.0,1865.0,1913.0,1913.0,14868,WLFD.TA
2018-10-28,1913.0,1900.0,1889.0,1897.0,1897.0,1349,WLFD.TA
2018-10-29,1897.0,1919.0,1918.0,1918.0,1918.0,367,WLFD.TA
2018-10-30,1918.0,1918.0,1918.0,1918.0,1918.0,0,WLFD.TA
2018-10-31,1918.0,1901.0,1900.0,1901.0,1901.0,579,WLFD.TA
2018-11-01,1901.0,1862.0,1861.0,1861.0,1861.0,734,WLFD.TA
2018-11-04,1859.0,1900.0,1859.0,1877.0,1877.0,587,WLFD.TA
2018-11-05,1877.0,1904.0,1880.0,1880.0,1880.0,482,WLFD.TA
2018-11-06,1880.0,1874.0,1874.0,1874.0,1874.0,1124,WLFD.TA
2018-11-07,1874.0,1874.0,1857.0,1857.0,1857.0,12180,WLFD.TA
2018-11-08,1857.0,1890.0,1861.0,1870.0,1870.0,643,WLFD.TA
2018-11-11,1870.0,1900.0,1886.0,1886.0,1886.0,235,WLFD.TA
2018-11-12,1886.0,1890.0,1881.0,1887.0,1887.0,163,WLFD.TA
2018-11-13,1887.0,1922.0,1880.0,1907.0,1907.0,269,WLFD.TA
2018-11-14,1907.0,1910.0,1901.0,1901.0,1901.0,2841,WLFD.TA
2018-11-15,1919.0,1947.0,1919.0,1932.0,1932.0,21038,WLFD.TA
2018-11-18,1932.0,1970.0,1944.0,1957.0,1957.0,3475,WLFD.TA
2018-11-19,1957.0,2000.0,1972.0,1995.0,1995.0,9031,WLFD.TA
2018-11-20,1995.0,1989.0,1930.0,1962.0,1962.0,2861,WLFD.TA
2018-11-21,1962.0,1986.0,1952.0,1972.0,1972.0,408,WLFD.TA
2018-11-22,1972.0,1989.0,1960.0,1967.0,1967.0,469,WLFD.TA
2018-11-25,1985.0,1985.0,1967.0,1981.0,1981.0,2088,WLFD.TA
2018-11-26,1981.0,1960.0,1929.0,1951.0,1951.0,1116,WLFD.TA
2018-11-27,1951.0,1934.0,1926.0,1931.0,1931.0,371,WLFD.TA
2018-11-28,1925.0,1925.0,1868.0,1869.0,1869.0,17937,WLFD.TA
