first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,0.6399993896484432,5
2019-09-15,2019-09-21,-1.125,4
2019-09-22,2019-09-28,-2.3600006103515625,5
2019-09-29,2019-10-05,0.1999969482422017,2
2019-10-06,2019-10-12,-10.166666666666677,3
2019-10-13,2019-10-19,11.066670735677073,3
2019-10-20,2019-10-26,-11.566670735677073,3
2019-10-27,2019-11-02,-2.879998779296875,5
2019-11-03,2019-11-09,2.5,5
2019-11-10,2019-11-16,-6.2,5
2019-11-17,2019-11-23,-2.9399993896484404,5
2019-11-24,2019-11-30,0.3199996948242216,5
2019-12-01,2019-12-07,14.599998474121099,5
2019-12-08,2019-12-14,-0.17999877929688068,5
2019-12-15,2019-12-21,-2.2,5
2019-12-22,2019-12-28,-9.0,5
2019-12-29,2020-01-04,-2.36000061035156,5
2020-01-05,2020-01-11,-1.3399993896484403,5
2020-01-12,2020-01-18,-1.3800003051757812,5
2020-01-19,2020-01-25,-0.5399993896484375,5
2020-01-26,2020-02-01,0.1399993896484375,5
2020-02-02,2020-02-08,-1.7199996948242187,5
2020-02-09,2020-02-15,4.719999694824219,5
2020-02-16,2020-02-22,-3.759999084472659,5
2020-02-23,2020-02-29,-1.2800003051757785,5
2020-03-01,2020-03-07,-0.399999618530277,4
2020-03-08,2020-03-14,-7.725000381469727,4
2020-03-15,2020-03-21,0.3199996948242216,5
2020-03-22,2020-03-28,3.4,5
2020-03-29,2020-04-04,-2.7399993896484376,5
2020-04-05,2020-04-11,2.633331298828125,3
2020-04-12,2020-04-18,3.600001017252604,3
2020-04-19,2020-04-25,-2.3600006103515625,5
2020-04-26,2020-05-02,0.866668701171875,3
2020-05-03,2020-05-09,-0.1600006103515625,5
2020-05-10,2020-05-16,-1.1199996948242188,5
2020-05-17,2020-05-23,-0.9800003051757813,5
2020-05-24,2020-05-30,4.475000381469727,4
2020-05-31,2020-06-06,-0.7600006103515625,5
2020-06-07,2020-06-13,1.3500003814697266,4
2020-06-14,2020-06-20,-1.0800003051757812,5
2020-06-21,2020-06-27,-0.8,5
2020-06-28,2020-07-04,-0.1,5
2020-07-05,2020-07-11,0.0,5
2020-07-12,2020-07-18,-1.2800003051757813,5
2020-07-19,2020-07-25,0.320001220703125,5
2020-07-26,2020-08-01,-1.5500011444091797,4
2020-08-02,2020-08-08,1.2800003051757813,5
2020-08-09,2020-08-15,0.9399993896484375,5
2020-08-16,2020-08-22,-1.2599990844726563,5
2020-08-23,2020-08-29,0.7199996948242188,5
2020-08-30,2020-09-05,-0.1399993896484375,5
