first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,35.819921875,5
2019-09-15,2019-09-21,-4.974853515625,4
2019-09-22,2019-09-28,115.4798828125,5
2019-09-29,2019-10-05,-149.35009765625,2
2019-10-06,2019-10-12,33.2001953125,3
2019-10-13,2019-10-19,159.2666015625,3
2019-10-20,2019-10-26,43.133463541666664,3
2019-10-27,2019-11-02,3.9798828125,5
2019-11-03,2019-11-09,-41.819921875,5
2019-11-10,2019-11-16,-91.5599609375,5
2019-11-17,2019-11-23,113.4599609375,5
2019-11-24,2019-11-30,-17.9201171875,5
2019-12-01,2019-12-07,21.9,5
2019-12-08,2019-12-14,250.8400390625,5
2019-12-15,2019-12-21,-81.619921875,5
2019-12-22,2019-12-28,167.219921875,5
2019-12-29,2020-01-04,71.6599609375,5
2020-01-05,2020-01-11,53.76015625,5
2020-01-12,2020-01-18,-27.880078125,5
2020-01-19,2020-01-25,2.0,5
2020-01-26,2020-02-01,-127.4,5
2020-02-02,2020-02-08,89.580078125,5
2020-02-09,2020-02-15,41.8,5
2020-02-16,2020-02-22,17.919921875,5
2020-02-23,2020-02-29,-51.7599609375,5
2020-03-01,2020-03-07,-107.0,4
2020-03-08,2020-03-14,-940.625,4
2020-03-15,2020-03-21,-359.73203125,5
2020-03-22,2020-03-28,170.6080078125,5
2020-03-29,2020-04-04,-8.9599609375,5
2020-04-05,2020-04-11,270.4065755208333,3
2020-04-12,2020-04-18,29.866536458333332,3
2020-04-19,2020-04-25,-107.301953125,5
2020-04-26,2020-05-02,298.2701822916667,3
2020-05-03,2020-05-09,-29.86015625,5
2020-05-10,2020-05-16,-263.569921875,5
2020-05-17,2020-05-23,-5.5740234375,5
2020-05-24,2020-05-30,171.949951171875,4
2020-05-31,2020-06-06,-53.351953125,5
2020-06-07,2020-06-13,-12.1923828125,4
2020-06-14,2020-06-20,-74.2541015625,5
2020-06-21,2020-06-27,-194.8939453125,5
2020-06-28,2020-07-04,92.76796875,5
2020-07-05,2020-07-11,-139.75,5
2020-07-12,2020-07-18,123.8240234375,5
2020-07-19,2020-07-25,-100.73203125,5
2020-07-26,2020-08-01,-81.867431640625,4
2020-08-02,2020-08-08,-4.18203125,5
2020-08-09,2020-08-15,157.083984375,5
2020-08-16,2020-08-22,-33.6,5
2020-08-23,2020-08-29,159.0,5
2020-08-30,2020-09-05,-97.4,5
