first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,28.6,5
2019-09-15,2019-09-21,-14.25,4
2019-09-22,2019-09-28,-11.4,5
2019-09-29,2019-10-05,2.0,2
2019-10-06,2019-10-12,-3.0,3
2019-10-13,2019-10-19,78.33333333333333,3
2019-10-20,2019-10-26,83.0,3
2019-10-27,2019-11-02,-12.8,5
2019-11-03,2019-11-09,-36.0,5
2019-11-10,2019-11-16,5.0,5
2019-11-17,2019-11-23,-8.0,5
2019-11-24,2019-11-30,-11.8,5
2019-12-01,2019-12-07,-26.6,5
2019-12-08,2019-12-14,2.2,5
2019-12-15,2019-12-21,-8.8,5
2019-12-22,2019-12-28,-14.8,5
2019-12-29,2020-01-04,27.8,5
2020-01-05,2020-01-11,36.6,5
2020-01-12,2020-01-18,-9.2,5
2020-01-19,2020-01-25,-50.4,5
2020-01-26,2020-02-01,-20.4,5
2020-02-02,2020-02-08,-35.6,5
2020-02-09,2020-02-15,31.6,5
2020-02-16,2020-02-22,0.6,5
2020-02-23,2020-02-29,-21.6,5
2020-03-01,2020-03-07,5.75,4
2020-03-08,2020-03-14,-47.25,4
2020-03-15,2020-03-21,50.2,5
2020-03-22,2020-03-28,-6.8,5
2020-03-29,2020-04-04,278.2,5
2020-04-05,2020-04-11,-131.33333333333334,3
2020-04-12,2020-04-18,-5.666666666666667,3
2020-04-19,2020-04-25,11.4,5
2020-04-26,2020-05-02,22.333333333333332,3
2020-05-03,2020-05-09,-9.6,5
2020-05-10,2020-05-16,18.0,5
2020-05-17,2020-05-23,16.0,5
2020-05-24,2020-05-30,235.25,4
2020-05-31,2020-06-06,88.6,5
2020-06-07,2020-06-13,-57.0,4
2020-06-14,2020-06-20,237.4,5
2020-06-21,2020-06-27,-40.4,5
2020-06-28,2020-07-04,-7.0,5
2020-07-05,2020-07-11,228.2,5
2020-07-12,2020-07-18,-47.0,5
2020-07-19,2020-07-25,-33.0,5
2020-07-26,2020-08-01,10.0,4
2020-08-02,2020-08-08,154.6,5
2020-08-09,2020-08-15,73.2,5
2020-08-16,2020-08-22,-53.4,5
2020-08-23,2020-08-29,43.4,5
2020-08-30,2020-09-05,-81.0,5
