first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,-2.9,5
2019-09-15,2019-09-21,-0.375,4
2019-09-22,2019-09-28,0.8799987792968806,5
2019-09-29,2019-10-05,-1.1500015258789062,2
2019-10-06,2019-10-12,2.100001017252604,3
2019-10-13,2019-10-19,-1.8333333333333333,3
2019-10-20,2019-10-26,0.6000010172526041,3
2019-10-27,2019-11-02,-0.6399993896484432,5
2019-11-03,2019-11-09,0.15999755859376136,5
2019-11-10,2019-11-16,-4.5,5
2019-11-17,2019-11-23,0.8600006103515568,5
2019-11-24,2019-11-30,0.2600006103515625,5
2019-12-01,2019-12-07,-1.8600006103515625,5
2019-12-08,2019-12-14,-0.9199981689453182,5
2019-12-15,2019-12-21,1.219998168945318,5
2019-12-22,2019-12-28,-1.1600006103515568,5
2019-12-29,2020-01-04,-2.1399993896484433,5
2020-01-05,2020-01-11,-0.6199981689453125,5
2020-01-12,2020-01-18,-1.34000244140625,5
2020-01-19,2020-01-25,-1.15999755859375,5
2020-01-26,2020-02-01,3.9199981689453125,5
2020-02-02,2020-02-08,-0.3199981689453182,5
2020-02-09,2020-02-15,14.599999999999994,5
2020-02-16,2020-02-22,-6.160000610351551,5
2020-02-23,2020-02-29,-4.2800018310546815,5
2020-03-01,2020-03-07,0.07500076293944602,4
2020-03-08,2020-03-14,-11.299999237060547,4
2020-03-15,2020-03-21,-5.339999389648443,5
2020-03-22,2020-03-28,1.6199981689453182,5
2020-03-29,2020-04-04,1.34000244140625,5
2020-04-05,2020-04-11,1.4333292643229167,3
2020-04-12,2020-04-18,2.5333353678385415,3
2020-04-19,2020-04-25,-3.8,5
2020-04-26,2020-05-02,-0.8333333333333334,3
2020-05-03,2020-05-09,0.3600006103515625,5
2020-05-10,2020-05-16,0.7399993896484375,5
2020-05-17,2020-05-23,-0.7,5
2020-05-24,2020-05-30,-0.575000762939446,4
2020-05-31,2020-06-06,1.5800018310546817,5
2020-06-07,2020-06-13,-0.7250022888183594,4
2020-06-14,2020-06-20,6.980001831054688,5
2020-06-21,2020-06-27,-4.0800018310546875,5
2020-06-28,2020-07-04,2.5600006103515627,5
2020-07-05,2020-07-11,1.020001220703125,5
2020-07-12,2020-07-18,0.8599975585937557,5
2020-07-19,2020-07-25,0.4800018310546818,5
2020-07-26,2020-08-01,1.200000762939446,4
2020-08-02,2020-08-08,-1.6600006103515568,5
2020-08-09,2020-08-15,1.4,5
2020-08-16,2020-08-22,-2.5600006103515627,5
2020-08-23,2020-08-29,7.8,5
2020-08-30,2020-09-05,-1.9,5
