first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,0.0,5
2019-09-15,2019-09-21,95.0,4
2019-09-22,2019-09-28,-10.0,5
2019-09-29,2019-10-05,-20.0,2
2019-10-06,2019-10-12,250.0,3
2019-10-13,2019-10-19,-6.666666666666667,3
2019-10-20,2019-10-26,-90.0,3
2019-10-27,2019-11-02,20.0,5
2019-11-03,2019-11-09,-102.0,5
2019-11-10,2019-11-16,-54.0,5
2019-11-17,2019-11-23,52.0,5
2019-11-24,2019-11-30,132.0,5
2019-12-01,2019-12-07,10.0,5
2019-12-08,2019-12-14,20.0,5
2019-12-15,2019-12-21,68.0,5
2019-12-22,2019-12-28,-42.0,5
2019-12-29,2020-01-04,60.0,5
2020-01-05,2020-01-11,44.0,5
2020-01-12,2020-01-18,418.0,5
2020-01-19,2020-01-25,-84.0,5
2020-01-26,2020-02-01,-220.0,5
2020-02-02,2020-02-08,-62.0,5
2020-02-09,2020-02-15,-30.0,5
2020-02-16,2020-02-22,166.0,5
2020-02-23,2020-02-29,-438.0,5
2020-03-01,2020-03-07,-890.0,4
2020-03-08,2020-03-14,-1003.0,4
2020-03-15,2020-03-21,-32.6,5
2020-03-22,2020-03-28,376.8,5
2020-03-29,2020-04-04,184.2,5
2020-04-05,2020-04-11,-122.66666666666667,3
2020-04-12,2020-04-18,-285.0,3
2020-04-19,2020-04-25,36.2,5
2020-04-26,2020-05-02,324.0,3
2020-05-03,2020-05-09,-190.2,5
2020-05-10,2020-05-16,-251.2,5
2020-05-17,2020-05-23,81.4,5
2020-05-24,2020-05-30,0.0,4
2020-05-31,2020-06-06,-16.0,5
2020-06-07,2020-06-13,181.25,4
2020-06-14,2020-06-20,110.4,5
2020-06-21,2020-06-27,-109.4,5
2020-06-28,2020-07-04,-70.4,5
2020-07-05,2020-07-11,-21.8,5
2020-07-12,2020-07-18,3.2,5
2020-07-19,2020-07-25,-2.6,5
2020-07-26,2020-08-01,-123.0,4
2020-08-02,2020-08-08,-3.6,5
2020-08-09,2020-08-15,204.4,5
2020-08-16,2020-08-22,17.4,5
2020-08-23,2020-08-29,215.8,5
2020-08-30,2020-09-05,-94.0,5
