first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,5.2,5
2019-09-15,2019-09-21,-1.0,4
2019-09-22,2019-09-28,0.2,5
2019-09-29,2019-10-05,-18.5,2
2019-10-06,2019-10-12,5.0,3
2019-10-13,2019-10-19,9.333333333333334,3
2019-10-20,2019-10-26,3.3333333333333335,3
2019-10-27,2019-11-02,-2.6,5
2019-11-03,2019-11-09,1.0,5
2019-11-10,2019-11-16,-1.6,5
2019-11-17,2019-11-23,3.4,5
2019-11-24,2019-11-30,-0.6,5
2019-12-01,2019-12-07,-11.2,5
2019-12-08,2019-12-14,2.2,5
2019-12-15,2019-12-21,-5.2,5
2019-12-22,2019-12-28,-8.0,5
2019-12-29,2020-01-04,4.2,5
2020-01-05,2020-01-11,-4.2,5
2020-01-12,2020-01-18,5.8,5
2020-01-19,2020-01-25,-0.4,5
2020-01-26,2020-02-01,-0.2,5
2020-02-02,2020-02-08,-13.4,5
2020-02-09,2020-02-15,2.2,5
2020-02-16,2020-02-22,1.2,5
2020-02-23,2020-02-29,3.4,5
2020-03-01,2020-03-07,-15.75,4
2020-03-08,2020-03-14,-33.0,4
2020-03-15,2020-03-21,-4.4,5
2020-03-22,2020-03-28,-23.980004882812477,5
2020-03-29,2020-04-04,-30.219995117187523,5
2020-04-05,2020-04-11,-9.76666259765625,3
2020-04-12,2020-04-18,6.433329264322917,3
2020-04-19,2020-04-25,12.0,5
2020-04-26,2020-05-02,23.13334147135413,3
2020-05-03,2020-05-09,14.319995117187522,5
2020-05-10,2020-05-16,-4.85999755859375,5
2020-05-17,2020-05-23,2.25999755859375,5
2020-05-24,2020-05-30,1.5,4
2020-05-31,2020-06-06,1.2,5
2020-06-07,2020-06-13,0.0,4
2020-06-14,2020-06-20,0.4,5
2020-06-21,2020-06-27,2.8,5
2020-06-28,2020-07-04,-11.0,5
2020-07-05,2020-07-11,-2.7199951171875227,5
2020-07-12,2020-07-18,0.6399902343750454,5
2020-07-19,2020-07-25,10.280004882812477,5
2020-07-26,2020-08-01,6.0,4
2020-08-02,2020-08-08,35.0,5
2020-08-09,2020-08-15,14.6,5
2020-08-16,2020-08-22,-3.8,5
2020-08-23,2020-08-29,21.0,5
2020-08-30,2020-09-05,-5.8,5
