first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-10,2019-03-16,6.0,5
2019-03-17,2019-03-23,19.75,5
2019-03-24,2019-03-30,106.5,5
2019-03-31,2019-04-06,-42.5,5
2019-04-07,2019-04-13,12.25,5
2019-04-14,2019-04-20,7.0,5
2019-04-21,2019-04-27,0.75,5
2019-04-28,2019-05-04,-54.25,5
2019-05-05,2019-05-11,22.25,5
2019-05-12,2019-05-18,5.5,5
2019-05-19,2019-05-25,19.5,5
2019-05-26,2019-06-01,-62.75,5
2019-06-02,2019-06-08,-34.25,5
2019-06-09,2019-06-15,112.75,5
2019-06-16,2019-06-22,39.25,5
2019-06-23,2019-06-29,8.25,5
2019-06-30,2019-07-06,16.0,5
2019-07-07,2019-07-13,-2.0,5
2019-07-14,2019-07-20,-32.0,5
2019-07-21,2019-07-27,32.75,5
2019-07-28,2019-08-03,-47.5,5
2019-08-04,2019-08-10,47.75,5
2019-08-11,2019-08-17,-46.5,5
2019-08-18,2019-08-24,-17.5,5
2019-08-25,2019-08-31,87.0,5
2019-09-01,2019-09-07,-17.25,5
2019-09-08,2019-09-14,35.75,5
2019-09-15,2019-09-21,-1.6666666666666667,4
2019-09-22,2019-09-28,-9.25,5
2019-09-29,2019-10-05,3.0,2
2019-10-06,2019-10-12,60.0,3
2019-10-13,2019-10-19,0.6666666666666666,3
2019-10-20,2019-10-26,-37.0,3
2019-10-27,2019-11-02,-15.5,5
2019-11-03,2019-11-09,-2.25,5
2019-11-10,2019-11-16,-33.5,5
2019-11-17,2019-11-23,43.5,5
2019-11-24,2019-11-30,41.25,5
2019-12-01,2019-12-07,4.5,5
2019-12-08,2019-12-14,-81.0,5
2019-12-15,2019-12-21,8.75,5
2019-12-22,2019-12-28,35.75,5
2019-12-29,2020-01-04,32.25,5
2020-01-05,2020-01-11,-4.25,5
2020-01-12,2020-01-18,73.5,5
2020-01-19,2020-01-25,5.25,5
2020-01-26,2020-02-01,-73.25,5
2020-02-02,2020-02-08,-39.0,5
2020-02-09,2020-02-15,30.25,5
2020-02-16,2020-02-22,-37.25,5
2020-02-23,2020-02-29,-68.25,5
2020-03-01,2020-03-07,32.333333333333336,4
2020-03-08,2020-03-14,-260.0,4
2020-03-15,2020-03-21,-8.0,5
2020-03-22,2020-03-28,142.25,5
2020-03-29,2020-04-04,125.0,5
2020-04-05,2020-04-11,262.3333333333333,3
2020-04-12,2020-04-18,-228.0,3
2020-04-19,2020-04-25,25.75,5
2020-04-26,2020-05-02,-34.0,3
2020-05-03,2020-05-09,-43.25,5
2020-05-10,2020-05-16,-117.25,5
2020-05-17,2020-05-23,124.0,5
2020-05-24,2020-05-30,-16.25,4
2020-05-31,2020-06-06,-73.5,5
2020-06-07,2020-06-13,-90.75,4
2020-06-14,2020-06-20,135.0,5
2020-06-21,2020-06-27,-0.75,5
2020-06-28,2020-07-04,-31.249977111816406,5
2020-07-05,2020-07-11,-170.75,5
2020-07-12,2020-07-18,107.25,5
2020-07-19,2020-07-25,29.25,5
2020-07-26,2020-08-01,-69.5,4
