first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-10,2019-03-16,8.25,5
2019-03-17,2019-03-23,-14.0,5
2019-03-24,2019-03-30,48.75,5
2019-03-31,2019-04-06,38.75,5
2019-04-07,2019-04-13,46.25,5
2019-04-14,2019-04-20,11.25,5
2019-04-21,2019-04-27,10.5,5
2019-04-28,2019-05-04,-64.5,5
2019-05-05,2019-05-11,-32.25,5
2019-05-12,2019-05-18,69.25,5
2019-05-19,2019-05-25,-1.0,5
2019-05-26,2019-06-01,57.5,5
2019-06-02,2019-06-08,2.75,5
2019-06-09,2019-06-15,16.75,5
2019-06-16,2019-06-22,30.5,5
2019-06-23,2019-06-29,39.5,5
2019-06-30,2019-07-06,-92.0,5
2019-07-07,2019-07-13,57.25,5
2019-07-14,2019-07-20,21.0,5
2019-07-21,2019-07-27,-5.5,5
2019-07-28,2019-08-03,-22.5,5
2019-08-04,2019-08-10,103.5,5
2019-08-11,2019-08-17,-26.75,5
2019-08-18,2019-08-24,62.25,5
2019-08-25,2019-08-31,9.75,5
2019-09-01,2019-09-07,-75.75,5
2019-09-08,2019-09-14,-117.75,5
2019-09-15,2019-09-21,-9.666666666666666,4
2019-09-22,2019-09-28,55.25,5
2019-09-29,2019-10-05,17.5,2
2019-10-06,2019-10-12,-1.5,3
2019-10-13,2019-10-19,25.0,3
2019-10-20,2019-10-26,-39.0,3
2019-10-27,2019-11-02,-18.5,5
2019-11-03,2019-11-09,-80.75,5
2019-11-10,2019-11-16,-43.25,5
2019-11-17,2019-11-23,9.25,5
2019-11-24,2019-11-30,22.25,5
2019-12-01,2019-12-07,-23.0,5
2019-12-08,2019-12-14,-14.25,5
2019-12-15,2019-12-21,-33.0,5
2019-12-22,2019-12-28,40.25,5
2019-12-29,2020-01-04,-5.0,5
2020-01-05,2020-01-11,-89.25,5
2020-01-12,2020-01-18,60.0,5
2020-01-19,2020-01-25,-1.5,5
2020-01-26,2020-02-01,-63.0,5
2020-02-02,2020-02-08,113.25,5
2020-02-09,2020-02-15,53.5,5
2020-02-16,2020-02-22,51.25,5
2020-02-23,2020-02-29,-20.25,5
2020-03-01,2020-03-07,-79.0,4
2020-03-08,2020-03-14,-208.33333333333334,4
2020-03-15,2020-03-21,-34.5,5
2020-03-22,2020-03-28,-38.25,5
2020-03-29,2020-04-04,16.5,5
2020-04-05,2020-04-11,21.333333333333332,3
2020-04-12,2020-04-18,11.0,3
2020-04-19,2020-04-25,-72.75,5
2020-04-26,2020-05-02,39.5,3
2020-05-03,2020-05-09,-16.5,5
2020-05-10,2020-05-16,-28.5,5
2020-05-17,2020-05-23,-99.5,5
2020-05-24,2020-05-30,-26.5,4
2020-05-31,2020-06-06,-33.0,5
2020-06-07,2020-06-13,110.25,4
2020-06-14,2020-06-20,-69.75,5
2020-06-21,2020-06-27,-85.0,5
2020-06-28,2020-07-04,94.99996185302723,5
2020-07-05,2020-07-11,-27.75,5
2020-07-12,2020-07-18,27.0,5
2020-07-19,2020-07-25,7.75,5
2020-07-26,2020-08-01,-37.25,4
