first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,-16.0,5
2019-09-15,2019-09-21,32.75,4
2019-09-22,2019-09-28,12.0,5
2019-09-29,2019-10-05,6.5,2
2019-10-06,2019-10-12,52.333333333333336,3
2019-10-13,2019-10-19,60.0,3
2019-10-20,2019-10-26,33.333333333333336,3
2019-10-27,2019-11-02,-5.2,5
2019-11-03,2019-11-09,26.0,5
2019-11-10,2019-11-16,-7.8,5
2019-11-17,2019-11-23,7.8,5
2019-11-24,2019-11-30,70.2,5
2019-12-01,2019-12-07,-3.8,5
2019-12-08,2019-12-14,110.4,5
2019-12-15,2019-12-21,45.2,5
2019-12-22,2019-12-28,-6.8,5
2019-12-29,2020-01-04,1.2,5
2020-01-05,2020-01-11,60.8,5
2020-01-12,2020-01-18,36.0,5
2020-01-19,2020-01-25,-7.0,5
2020-01-26,2020-02-01,-94.8,5
2020-02-02,2020-02-08,-54.2,5
2020-02-09,2020-02-15,60.6,5
2020-02-16,2020-02-22,112.4,5
2020-02-23,2020-02-29,-128.0,5
2020-03-01,2020-03-07,-80.0,4
2020-03-08,2020-03-14,-447.5,4
2020-03-15,2020-03-21,-30.0,5
2020-03-22,2020-03-28,170.0,5
2020-03-29,2020-04-04,64.6,5
2020-04-05,2020-04-11,125.33333333333333,3
2020-04-12,2020-04-18,2.3333333333333335,3
2020-04-19,2020-04-25,91.8,5
2020-04-26,2020-05-02,107.66666666666667,3
2020-05-03,2020-05-09,-53.6,5
2020-05-10,2020-05-16,-60.8,5
2020-05-17,2020-05-23,56.8,5
2020-05-24,2020-05-30,-61.0,4
2020-05-31,2020-06-06,-127.0,5
2020-06-07,2020-06-13,92.25,4
2020-06-14,2020-06-20,9.8,5
2020-06-21,2020-06-27,-134.6,5
2020-06-28,2020-07-04,37.4,5
2020-07-05,2020-07-11,-60.6,5
2020-07-12,2020-07-18,59.6,5
2020-07-19,2020-07-25,29.6,5
2020-07-26,2020-08-01,-19.0,4
2020-08-02,2020-08-08,29.4,5
2020-08-09,2020-08-15,0.6,5
2020-08-16,2020-08-22,-18.0,5
2020-08-23,2020-08-29,47.0,5
2020-08-30,2020-09-05,16.0,5
