first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,-34.0,5
2019-09-15,2019-09-21,-51.0,4
2019-09-22,2019-09-28,24.8,5
2019-09-29,2019-10-05,-90.0,2
2019-10-06,2019-10-12,39.0,3
2019-10-13,2019-10-19,112.33333333333333,3
2019-10-20,2019-10-26,115.33333333333333,3
2019-10-27,2019-11-02,-59.4,5
2019-11-03,2019-11-09,42.4,5
2019-11-10,2019-11-16,27.4,5
2019-11-17,2019-11-23,74.0,5
2019-11-24,2019-11-30,7.4,5
2019-12-01,2019-12-07,48.6,5
2019-12-08,2019-12-14,45.4,5
2019-12-15,2019-12-21,-54.2,5
2019-12-22,2019-12-28,36.0,5
2019-12-29,2020-01-04,104.4,5
2020-01-05,2020-01-11,37.2,5
2020-01-12,2020-01-18,22.8,5
2020-01-19,2020-01-25,13.8,5
2020-01-26,2020-02-01,-94.0,5
2020-02-02,2020-02-08,20.0,5
2020-02-09,2020-02-15,-37.6,5
2020-02-16,2020-02-22,19.8,5
2020-02-23,2020-02-29,-171.4,5
2020-03-01,2020-03-07,-143.25,4
2020-03-08,2020-03-14,-482.5,4
2020-03-15,2020-03-21,-44.8,5
2020-03-22,2020-03-28,108.8,5
2020-03-29,2020-04-04,129.0,5
2020-04-05,2020-04-11,151.66666666666666,3
2020-04-12,2020-04-18,-46.0,3
2020-04-19,2020-04-25,48.2,5
2020-04-26,2020-05-02,154.33333333333334,3
2020-05-03,2020-05-09,-23.6,5
2020-05-10,2020-05-16,-187.6,5
2020-05-17,2020-05-23,44.6,5
2020-05-24,2020-05-30,11.25,4
2020-05-31,2020-06-06,168.2,5
2020-06-07,2020-06-13,-16.75,4
2020-06-14,2020-06-20,-5.2,5
2020-06-21,2020-06-27,-9.8,5
2020-06-28,2020-07-04,50.6,5
2020-07-05,2020-07-11,-148.6,5
2020-07-12,2020-07-18,135.2,5
2020-07-19,2020-07-25,-1.6,5
2020-07-26,2020-08-01,-81.25,4
2020-08-02,2020-08-08,-67.6,5
2020-08-09,2020-08-15,62.4,5
2020-08-16,2020-08-22,23.2,5
2020-08-23,2020-08-29,30.8,5
2020-08-30,2020-09-05,-76.2,5
