first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,41.2,5
2019-09-15,2019-09-21,251.75,4
2019-09-22,2019-09-28,-43.2,5
2019-09-29,2019-10-05,-411.0,2
2019-10-06,2019-10-12,13.666666666666666,3
2019-10-13,2019-10-19,67.66666666666667,3
2019-10-20,2019-10-26,-4.666666666666667,3
2019-10-27,2019-11-02,182.4,5
2019-11-03,2019-11-09,22.0,5
2019-11-10,2019-11-16,-2.0,5
2019-11-17,2019-11-23,68.8,5
2019-11-24,2019-11-30,82.6,5
2019-12-01,2019-12-07,32.8,5
2019-12-08,2019-12-14,30.0,5
2019-12-15,2019-12-21,11.8,5
2019-12-22,2019-12-28,21.8,5
2019-12-29,2020-01-04,50.2,5
2020-01-05,2020-01-11,-29.6,5
2020-01-12,2020-01-18,113.6,5
2020-01-19,2020-01-25,66.8,5
2020-01-26,2020-02-01,-412.2,5
2020-02-02,2020-02-08,34.6,5
2020-02-09,2020-02-15,56.8,5
2020-02-16,2020-02-22,30.2,5
2020-02-23,2020-02-29,-117.0,5
2020-03-01,2020-03-07,13.5,4
2020-03-08,2020-03-14,-367.25,4
2020-03-15,2020-03-21,63.8,5
2020-03-22,2020-03-28,295.4,5
2020-03-29,2020-04-04,141.0,5
2020-04-05,2020-04-11,363.3333333333333,3
2020-04-12,2020-04-18,-558.0,3
2020-04-19,2020-04-25,-66.8,5
2020-04-26,2020-05-02,795.3333333333334,3
2020-05-03,2020-05-09,248.0,5
2020-05-10,2020-05-16,-68.0,5
2020-05-17,2020-05-23,244.0,5
2020-05-24,2020-05-30,35.0,4
2020-05-31,2020-06-06,108.0,5
2020-06-07,2020-06-13,-490.0,4
2020-06-14,2020-06-20,24.0,5
2020-06-21,2020-06-27,-188.0,5
2020-06-28,2020-07-04,92.0,5
2020-07-05,2020-07-11,14.0,5
2020-07-12,2020-07-18,216.0,5
2020-07-19,2020-07-25,600.0,5
2020-07-26,2020-08-01,-627.5,4
2020-08-02,2020-08-08,-12.0,5
2020-08-09,2020-08-15,-100.0,5
2020-08-16,2020-08-22,28.0,5
2020-08-23,2020-08-29,-252.0,5
2020-08-30,2020-09-05,-98.0,5
