first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,-2.540798950195301,5
2019-09-15,2019-09-21,-1.5385017395019602,4
2019-09-22,2019-09-28,1.50880126953125,5
2019-09-29,2019-10-05,0.7939987182617188,2
2019-10-06,2019-10-12,-1.9190012613932292,3
2019-10-13,2019-10-19,-0.03299967447917614,3
2019-10-20,2019-10-26,1.9520009358724053,3
2019-10-27,2019-11-02,-0.714599609375,5
2019-11-03,2019-11-09,0.5954010009765682,5
2019-11-10,2019-11-16,-1.0520019531250113,5
2019-11-17,2019-11-23,0.4566009521484432,5
2019-11-24,2019-11-30,0.9527984619140681,5
2019-12-01,2019-12-07,-1.826199340820318,5
2019-12-08,2019-12-14,0.8335998535156193,5
2019-12-15,2019-12-21,-0.8335998535156193,5
2019-12-22,2019-12-28,3.374401855468733,5
2019-12-29,2020-01-04,3.7518005371093808,5
2020-01-05,2020-01-11,-0.9528015136718636,5
2020-01-12,2020-01-18,0.55579833984375,5
2020-01-19,2020-01-25,0.6747985839843864,5
2020-01-26,2020-02-01,-2.461398315429699,5
2020-02-02,2020-02-08,-0.57559814453125,5
2020-02-09,2020-02-15,-1.389599609375,5
2020-02-16,2020-02-22,2.719601440429676,5
2020-02-23,2020-02-29,-5.1016021728515515,5
2020-03-01,2020-03-07,-3.4490013122558594,4
2020-03-08,2020-03-14,-17.195247650146484,4
2020-03-15,2020-03-21,-6.649801635742188,5
2020-03-22,2020-03-28,1.2704010009765625,5
2020-03-29,2020-04-04,-0.4764007568359375,5
2020-04-05,2020-04-11,5.524998982747387,3
2020-04-12,2020-04-18,-1.5219980875650947,3
2020-04-19,2020-04-25,-2.282800292968747,5
2020-04-26,2020-05-02,1.0256678263346306,3
2020-05-03,2020-05-09,-0.992401123046875,5
2020-05-10,2020-05-16,-1.6873992919921874,5
2020-05-17,2020-05-23,-0.3175994873046875,5
2020-05-24,2020-05-30,0.2977485656738281,4
2020-05-31,2020-06-06,0.9132003784179688,5
2020-06-07,2020-06-13,0.4664993286132848,4
2020-06-14,2020-06-20,-0.5599990844726591,5
2020-06-21,2020-06-27,-1.5400009155273409,5
2020-06-28,2020-07-04,1.1,5
2020-07-05,2020-07-11,-1.4,5
2020-07-12,2020-07-18,2.0600006103515596,5
2020-07-19,2020-07-25,-1.2,5
2020-07-26,2020-08-01,0.3250007629394496,4
2020-08-02,2020-08-08,3.259999084472659,5
2020-08-09,2020-08-15,1.1199996948242243,5
2020-08-16,2020-08-22,0.8,5
2020-08-23,2020-08-29,0.36000061035155684,5
2020-08-30,2020-09-05,2.320001220703125,5
