first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,0.0,5
2019-09-15,2019-09-21,12.399993896484375,4
2019-09-22,2019-09-28,-0.64000244140625,5
2019-09-29,2019-10-05,46.850006103515625,2
2019-10-06,2019-10-12,0.0,3
2019-10-13,2019-10-19,2.3333333333333335,3
2019-10-20,2019-10-26,0.0,3
2019-10-27,2019-11-02,-6.119995117187523,5
2019-11-03,2019-11-09,9.719995117187523,5
2019-11-10,2019-11-16,11.0,5
2019-11-17,2019-11-23,0.0,5
2019-11-24,2019-11-30,1.0,5
2019-12-01,2019-12-07,3.8,5
2019-12-08,2019-12-14,-3.0,5
2019-12-15,2019-12-21,-4.4,5
2019-12-22,2019-12-28,-0.2,5
2019-12-29,2020-01-04,5.0,5
2020-01-05,2020-01-11,6.8,5
2020-01-12,2020-01-18,0.0,5
2020-01-19,2020-01-25,0.0,5
2020-01-26,2020-02-01,0.0,5
2020-02-02,2020-02-08,3.0,5
2020-02-09,2020-02-15,-1.2,5
2020-02-16,2020-02-22,-0.4,5
2020-02-23,2020-02-29,-30.0,5
2020-03-01,2020-03-07,-22.375,4
2020-03-08,2020-03-14,-32.375,4
2020-03-15,2020-03-21,-6.0,5
2020-03-22,2020-03-28,-8.6,5
2020-03-29,2020-04-04,-2.0,5
2020-04-05,2020-04-11,-21.26666259765625,3
2020-04-12,2020-04-18,-28.70001220703125,3
2020-04-19,2020-04-25,0.22000732421872726,5
2020-04-26,2020-05-02,25.50000000000004,3
2020-05-03,2020-05-09,-2.52000732421875,5
2020-05-10,2020-05-16,-1.0199951171875,5
2020-05-17,2020-05-23,3.9,5
2020-05-24,2020-05-30,8.300003051757812,4
2020-05-31,2020-06-06,-21.94000244140625,5
2020-06-07,2020-06-13,1.949996948242216,4
2020-06-14,2020-06-20,-3.759997558593773,5
2020-06-21,2020-06-27,-15.479998779296874,5
2020-06-28,2020-07-04,-13.679998779296875,5
2020-07-05,2020-07-11,-1.2800048828124886,5
2020-07-12,2020-07-18,7.780004882812489,5
2020-07-19,2020-07-25,-2.84000244140625,5
2020-07-26,2020-08-01,15.75,4
2020-08-02,2020-08-08,20.3,5
2020-08-09,2020-08-15,8.74000244140625,5
2020-08-16,2020-08-22,-14.25999755859375,5
2020-08-23,2020-08-29,9.7199951171875,5
2020-08-30,2020-09-05,-9.540002441406227,5
