first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,-154.0,5
2019-09-15,2019-09-21,67.5,4
2019-09-22,2019-09-28,412.0,5
2019-09-29,2019-10-05,-255.0,2
2019-10-06,2019-10-12,110.0,3
2019-10-13,2019-10-19,193.33333333333334,3
2019-10-20,2019-10-26,-130.0,3
2019-10-27,2019-11-02,-32.0,5
2019-11-03,2019-11-09,-158.0,5
2019-11-10,2019-11-16,88.0,5
2019-11-17,2019-11-23,-200.0,5
2019-11-24,2019-11-30,262.0,5
2019-12-01,2019-12-07,-82.0,5
2019-12-08,2019-12-14,60.0,5
2019-12-15,2019-12-21,-274.0,5
2019-12-22,2019-12-28,4.0,5
2019-12-29,2020-01-04,-44.0,5
2020-01-05,2020-01-11,42.0,5
2020-01-12,2020-01-18,2.0,5
2020-01-19,2020-01-25,56.0,5
2020-01-26,2020-02-01,-86.0,5
2020-02-02,2020-02-08,320.0,5
2020-02-09,2020-02-15,80.0,5
2020-02-16,2020-02-22,68.0,5
2020-02-23,2020-02-29,-488.0,5
2020-03-01,2020-03-07,-285.0,4
2020-03-08,2020-03-14,-717.5,4
2020-03-15,2020-03-21,-158.0,5
2020-03-22,2020-03-28,-206.0,5
2020-03-29,2020-04-04,-102.0,5
2020-04-05,2020-04-11,-263.3333333333333,3
2020-04-12,2020-04-18,-200.0,3
2020-04-19,2020-04-25,234.0,5
2020-04-26,2020-05-02,623.3333333333334,3
2020-05-03,2020-05-09,-186.0,5
2020-05-10,2020-05-16,-368.0,5
2020-05-17,2020-05-23,74.0,5
2020-05-24,2020-05-30,20.0,4
2020-05-31,2020-06-06,-148.0,5
2020-06-07,2020-06-13,15.0,4
2020-06-14,2020-06-20,-36.0,5
2020-06-21,2020-06-27,-366.0,5
2020-06-28,2020-07-04,278.0,5
2020-07-05,2020-07-11,-292.0,5
2020-07-12,2020-07-18,164.0,5
2020-07-19,2020-07-25,-192.0,5
2020-07-26,2020-08-01,202.5,4
2020-08-02,2020-08-08,260.0,5
2020-08-09,2020-08-15,60.0,5
2020-08-16,2020-08-22,26.0,5
2020-08-23,2020-08-29,38.0,5
2020-08-30,2020-09-05,-158.0,5
