first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,1.8599975585937614,5
2019-09-15,2019-09-21,-0.674999237060554,4
2019-09-22,2019-09-28,3.0,5
2019-09-29,2019-10-05,-0.650001525878892,2
2019-10-06,2019-10-12,2.3666687011718657,3
2019-10-13,2019-10-19,-1.0666656494140625,3
2019-10-20,2019-10-26,-0.20000203450520834,3
2019-10-27,2019-11-02,0.08000183105468181,5
2019-11-03,2019-11-09,7.4799987792968805,5
2019-11-10,2019-11-16,2.5,5
2019-11-17,2019-11-23,1.85999755859375,5
2019-11-24,2019-11-30,-0.4199951171875,5
2019-12-01,2019-12-07,-1.14000244140625,5
2019-12-08,2019-12-14,0.2,5
2019-12-15,2019-12-21,-2.379998779296886,5
2019-12-22,2019-12-28,0.17999877929688637,5
2019-12-29,2020-01-04,-0.24000244140625,5
2020-01-05,2020-01-11,-3.0399963378906363,5
2020-01-12,2020-01-18,-0.07999877929686364,5
2020-01-19,2020-01-25,2.35999755859375,5
2020-01-26,2020-02-01,-0.24000244140625,5
2020-02-02,2020-02-08,-2.75999755859375,5
2020-02-09,2020-02-15,1.7799987792968863,5
2020-02-16,2020-02-22,1.6200012207031136,5
2020-02-23,2020-02-29,-2.95999755859375,5
2020-03-01,2020-03-07,-6.500003814697266,4
2020-03-08,2020-03-14,-7.649997711181648,4
2020-03-15,2020-03-21,3.0799987792968806,5
2020-03-22,2020-03-28,5.4799987792968805,5
2020-03-29,2020-04-04,1.2200012207031192,5
2020-04-05,2020-04-11,1.4666646321614678,3
2020-04-12,2020-04-18,-2.8333333333333335,3
2020-04-19,2020-04-25,0.34000244140623864,5
2020-04-26,2020-05-02,1.0,3
2020-05-03,2020-05-09,0.17999877929688068,5
2020-05-10,2020-05-16,4.820001220703114,5
2020-05-17,2020-05-23,4.179998779296886,5
2020-05-24,2020-05-30,1.0,4
2020-05-31,2020-06-06,6.94000244140625,5
2020-06-07,2020-06-13,-5.275001525878906,4
2020-06-14,2020-06-20,9.979998779296874,5
2020-06-21,2020-06-27,-4.420001220703125,5
2020-06-28,2020-07-04,1.920001220703125,5
2020-07-05,2020-07-11,-1.8,5
2020-07-12,2020-07-18,3.0,5
2020-07-19,2020-07-25,-1.8,5
2020-07-26,2020-08-01,-1.5999984741210938,4
2020-08-02,2020-08-08,3.679998779296875,5
2020-08-09,2020-08-15,1.54000244140625,5
2020-08-16,2020-08-22,-1.94000244140625,5
2020-08-23,2020-08-29,4.6,5
2020-08-30,2020-09-05,-3.979998779296875,5
