first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,0.879998779296875,5
2019-09-15,2019-09-21,0.02500152587890625,4
2019-09-22,2019-09-28,-0.8,5
2019-09-29,2019-10-05,-0.6000022888183594,2
2019-10-06,2019-10-12,0.9000015258789062,3
2019-10-13,2019-10-19,0.3333333333333333,3
2019-10-20,2019-10-26,-0.5666681925455682,3
2019-10-27,2019-11-02,-0.5000000000000029,5
2019-11-03,2019-11-09,-0.539999389648439,5
2019-11-10,2019-11-16,0.17999954223632955,5
2019-11-17,2019-11-23,0.28000030517578123,5
2019-11-24,2019-11-30,-0.1,5
2019-12-01,2019-12-07,-1.1599998474121107,5
2019-12-08,2019-12-14,0.7799995422363295,5
2019-12-15,2019-12-21,-2.3,5
2019-12-22,2019-12-28,-0.25999984741210935,5
2019-12-29,2020-01-04,1.2,5
2020-01-05,2020-01-11,0.5400001525878906,5
2020-01-12,2020-01-18,-0.08000030517578124,5
2020-01-19,2020-01-25,0.3200004577636705,5
2020-01-26,2020-02-01,-0.3800003051757798,5
2020-02-02,2020-02-08,-1.1599998474121094,5
2020-02-09,2020-02-15,-0.6,5
2020-02-16,2020-02-22,-0.020000457763671875,5
2020-02-23,2020-02-29,-0.9399993896484375,5
2020-03-01,2020-03-07,0.09999942779541016,4
2020-03-08,2020-03-14,-1.5,4
2020-03-15,2020-03-21,-1.3199996948242194,5
2020-03-22,2020-03-28,0.1799999237060561,5
2020-03-29,2020-04-04,0.15999984741210865,5
2020-04-05,2020-04-11,1.2999998728434246,3
2020-04-12,2020-04-18,3.6333338419596353,3
2020-04-19,2020-04-25,-1.1599998474121094,5
2020-04-26,2020-05-02,0.3333333333333333,3
2020-05-03,2020-05-09,-0.3600006103515625,5
2020-05-10,2020-05-16,0.04000015258789062,5
2020-05-17,2020-05-23,1.5400001525878906,5
2020-05-24,2020-05-30,-2.2749996185302734,4
2020-05-31,2020-06-06,0.45999984741210936,5
2020-06-07,2020-06-13,-0.35000038146972656,4
2020-06-14,2020-06-20,0.15999984741210938,5
2020-06-21,2020-06-27,-0.07999954223632813,5
2020-06-28,2020-07-04,0.14000015258789061,5
2020-07-05,2020-07-11,0.01999969482421875,5
2020-07-12,2020-07-18,0.04000015258789062,5
2020-07-19,2020-07-25,1.1400001525878891,5
2020-07-26,2020-08-01,0.024999618530275214,4
2020-08-02,2020-08-08,0.24000015258789062,5
2020-08-09,2020-08-15,-0.5599998474121094,5
2020-08-16,2020-08-22,0.6199996948242188,5
2020-08-23,2020-08-29,-0.8400001525878906,5
2020-08-30,2020-09-05,-0.6599998474121094,5
