first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,-10.0,5
2019-09-15,2019-09-21,-5.0,4
2019-09-22,2019-09-28,30.0,5
2019-09-29,2019-10-05,5.0,2
2019-10-06,2019-10-12,143.33333333333334,3
2019-10-13,2019-10-19,203.33333333333334,3
2019-10-20,2019-10-26,93.33333333333333,3
2019-10-27,2019-11-02,18.0,5
2019-11-03,2019-11-09,10.0,5
2019-11-10,2019-11-16,-106.0,5
2019-11-17,2019-11-23,140.0,5
2019-11-24,2019-11-30,92.0,5
2019-12-01,2019-12-07,244.0,5
2019-12-08,2019-12-14,186.0,5
2019-12-15,2019-12-21,56.0,5
2019-12-22,2019-12-28,718.0,5
2019-12-29,2020-01-04,90.0,5
2020-01-05,2020-01-11,218.0,5
2020-01-12,2020-01-18,-166.0,5
2020-01-19,2020-01-25,22.0,5
2020-01-26,2020-02-01,-178.0,5
2020-02-02,2020-02-08,-160.0,5
2020-02-09,2020-02-15,248.0,5
2020-02-16,2020-02-22,194.0,5
2020-02-23,2020-02-29,-422.0,5
2020-03-01,2020-03-07,-552.5,4
2020-03-08,2020-03-14,-2045.0,4
2020-03-15,2020-03-21,-652.0,5
2020-03-22,2020-03-28,526.0,5
2020-03-29,2020-04-04,524.0,5
2020-04-05,2020-04-11,766.6666666666666,3
2020-04-12,2020-04-18,-660.0,3
2020-04-19,2020-04-25,-344.0,5
2020-04-26,2020-05-02,650.0,3
2020-05-03,2020-05-09,412.0,5
2020-05-10,2020-05-16,-350.0,5
2020-05-17,2020-05-23,104.0,5
2020-05-24,2020-05-30,137.5,4
2020-05-31,2020-06-06,-448.0,5
2020-06-07,2020-06-13,-212.5,4
2020-06-14,2020-06-20,-214.0,5
2020-06-21,2020-06-27,-332.0,5
2020-06-28,2020-07-04,642.0,5
2020-07-05,2020-07-11,-150.0,5
2020-07-12,2020-07-18,154.0,5
2020-07-19,2020-07-25,-238.0,5
2020-07-26,2020-08-01,-262.5,4
2020-08-02,2020-08-08,172.0,5
2020-08-09,2020-08-15,232.0,5
2020-08-16,2020-08-22,120.0,5
2020-08-23,2020-08-29,-10.0,5
2020-08-30,2020-09-05,-314.0,5
