first_day_in_week,last_day_in_week,mean,days_in_week
2019-08-11,2019-08-17,46.79999947547915,2
2019-08-18,2019-08-24,3.50000262260437,5
2019-08-25,2019-08-31,-0.40000081062317605,5
2019-09-01,2019-09-07,1.9999980926513174,5
2019-09-08,2019-09-14,-3.8749992847442627,5
2019-09-15,2019-09-21,-0.9000023206075127,4
2019-09-22,2019-09-28,0.17499923706054688,5
2019-09-29,2019-10-05,-11.799997091293335,2
2019-10-06,2019-10-12,1.2000024318695353,3
2019-10-13,2019-10-19,5.366667111714672,3
2019-10-20,2019-10-26,3.233333428700765,3
2019-10-27,2019-11-02,3.2499998807907104,5
2019-11-03,2019-11-09,-0.649997591972344,5
2019-11-10,2019-11-16,-1.750001311302185,5
2019-11-17,2019-11-23,-0.824999809265158,5
2019-11-24,2019-11-30,-1.1500000953674316,5
2019-12-01,2019-12-07,0.6000012159347463,5
2019-12-08,2019-12-14,0.3500014543533254,5
2019-12-15,2019-12-21,-1.9250005483627532,5
2019-12-22,2019-12-28,-3.850001096725471,5
2019-12-29,2020-01-04,3.0999988317489624,5
2020-01-05,2020-01-11,3.6499977111816406,5
2020-01-12,2020-01-18,0.5249977111816335,5
2020-01-19,2020-01-25,3.049999475479126,5
2020-01-26,2020-02-01,-1.474994421005249,5
2020-02-02,2020-02-08,-6.400001049041727,5
2020-02-09,2020-02-15,-0.5750000476837087,5
2020-02-16,2020-02-22,-2.225002646446228,5
2020-02-23,2020-02-29,4.449998915195465,5
2020-03-01,2020-03-07,-1.8999989827473958,4
2020-03-08,2020-03-14,3.5666624704996743,4
2020-03-15,2020-03-21,0.8249998092651438,5
2020-03-22,2020-03-28,3.9750009775161743,5
2020-03-29,2020-04-04,3.525001049041741,5
2020-04-05,2020-04-11,0.5666653315226237,3
2020-04-12,2020-04-18,-10.399997234344525,3
2020-04-19,2020-04-25,6.725001335144093,5
2020-04-26,2020-05-02,-1.0499954223632812,3
2020-05-03,2020-05-09,26.82499885559082,5
2020-05-10,2020-05-16,10.250002145767212,5
2020-05-17,2020-05-23,-5.249994993209839,5
2020-05-24,2020-05-30,-9.125000238418579,4
2020-05-31,2020-06-06,8.249998092651367,2
