first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,0.7400001525878892,5
2019-09-15,2019-09-21,-0.6249999999999991,4
2019-09-22,2019-09-28,-0.42000007629394387,5
2019-09-29,2019-10-05,-1.4000005722045898,2
2019-10-06,2019-10-12,0.7333335876464832,3
2019-10-13,2019-10-19,-0.03333346048990885,3
2019-10-20,2019-10-26,-0.20000012715657434,3
2019-10-27,2019-11-02,0.6,5
2019-11-03,2019-11-09,-0.1799999237060554,5
2019-11-10,2019-11-16,-0.1200000762939446,5
2019-11-17,2019-11-23,0.18000030517577983,5
2019-11-24,2019-11-30,0.13999977111816478,5
2019-12-01,2019-12-07,3.720000076293945,5
2019-12-08,2019-12-14,-1.8400001525878906,5
2019-12-15,2019-12-21,-0.7199996948242188,5
2019-12-22,2019-12-28,1.5,5
2019-12-29,2020-01-04,-0.9599998474121094,5
2020-01-05,2020-01-11,-1.1,5
2020-01-12,2020-01-18,0.1,5
2020-01-19,2020-01-25,-0.22000045776367116,5
2020-01-26,2020-02-01,-0.939999771118164,5
2020-02-02,2020-02-08,-0.4799999237060561,5
2020-02-09,2020-02-15,-2.180000114440917,5
2020-02-16,2020-02-22,0.6600000381469723,5
2020-02-23,2020-02-29,-0.4200000762939453,5
2020-03-01,2020-03-07,2.0250000953674325,4
2020-03-08,2020-03-14,-1.7000002861022958,4
2020-03-15,2020-03-21,0.16000022888183593,5
2020-03-22,2020-03-28,0.02000007629394531,5
2020-03-29,2020-04-04,-0.08000030517578124,5
2020-04-05,2020-04-11,0.5333334604899088,3
2020-04-12,2020-04-18,1.4666665395100924,3
2020-04-19,2020-04-25,-0.41999969482421945,5
2020-04-26,2020-05-02,0.39999961853027344,3
2020-05-03,2020-05-09,-0.25999984741210935,5
2020-05-10,2020-05-16,-0.06000022888183594,5
2020-05-17,2020-05-23,0.9600002288818367,5
2020-05-24,2020-05-30,-0.20000028610229492,4
2020-05-31,2020-06-06,-0.01999969482422017,5
2020-06-07,2020-06-13,-0.9999999999999991,4
2020-06-14,2020-06-20,0.0,5
2020-06-21,2020-06-27,0.1,5
2020-06-28,2020-07-04,0.45999984741210936,5
2020-07-05,2020-07-11,-0.3799999237060547,5
2020-07-12,2020-07-18,0.23999977111816406,5
2020-07-19,2020-07-25,1.1400001525878907,5
2020-07-26,2020-08-01,-0.05000019073486239,4
2020-08-02,2020-08-08,-0.4799999237060554,5
2020-08-09,2020-08-15,-0.2,5
2020-08-16,2020-08-22,0.4,5
2020-08-23,2020-08-29,-0.3200000762939446,5
2020-08-30,2020-09-05,-0.65999984741211,5
