first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,0.9600006103515625,5
2019-09-15,2019-09-21,0.7249984741210938,4
2019-09-22,2019-09-28,0.1800018310546875,5
2019-09-29,2019-10-05,0.6999969482421875,2
2019-10-06,2019-10-12,-1.366668701171875,3
2019-10-13,2019-10-19,-0.8333333333333334,3
2019-10-20,2019-10-26,-1.4666646321614583,3
2019-10-27,2019-11-02,-0.5399993896484375,5
2019-11-03,2019-11-09,-1.5399993896484374,5
2019-11-10,2019-11-16,-0.2600006103515625,5
2019-11-17,2019-11-23,-1.520001220703125,5
2019-11-24,2019-11-30,-2.0399993896484374,5
2019-12-01,2019-12-07,-1.2399993896484431,5
2019-12-08,2019-12-14,-1.8200012207031164,5
2019-12-15,2019-12-21,-0.7599990844726591,5
2019-12-22,2019-12-28,1.559999084472659,5
2019-12-29,2020-01-04,2.4800018310546847,5
2020-01-05,2020-01-11,-0.84000244140625,5
2020-01-12,2020-01-18,-1.0399993896484347,5
2020-01-19,2020-01-25,-1.4799987792968807,5
2020-01-26,2020-02-01,-2.8800003051757783,5
2020-02-02,2020-02-08,-0.6800003051757812,5
2020-02-09,2020-02-15,-0.28000030517578123,5
2020-02-16,2020-02-22,0.1600006103515625,5
2020-02-23,2020-02-29,-1.940000915527341,5
2020-03-01,2020-03-07,-0.899999618530277,4
2020-03-08,2020-03-14,-5.69999885559082,4
2020-03-15,2020-03-21,0.7199996948242159,5
2020-03-22,2020-03-28,1.559999084472659,5
2020-03-29,2020-04-04,1.9400009155273437,5
2020-04-05,2020-04-11,1.4666671752929688,3
2020-04-12,2020-04-18,2.7999979654947964,3
2020-04-19,2020-04-25,0.6200012207031194,5
2020-04-26,2020-05-02,2.033332824707036,3
2020-05-03,2020-05-09,1.0,5
2020-05-10,2020-05-16,1.5199996948242187,5
2020-05-17,2020-05-23,1.2,5
2020-05-24,2020-05-30,-1.5499992370605504,4
2020-05-31,2020-06-06,-2.3,5
2020-06-07,2020-06-13,-3.0750007629394496,4
2020-06-14,2020-06-20,-0.7800003051757812,5
2020-06-21,2020-06-27,-0.9599990844726562,5
2020-06-28,2020-07-04,0.8599990844726563,5
2020-07-05,2020-07-11,-1.9199996948242188,5
2020-07-12,2020-07-18,1.0600006103515625,5
2020-07-19,2020-07-25,2.7799987792968777,5
2020-07-26,2020-08-01,0.5,4
2020-08-02,2020-08-08,-1.7599990844726592,5
2020-08-09,2020-08-15,0.8,5
2020-08-16,2020-08-22,5.580000305175778,5
2020-08-23,2020-08-29,7.660000610351565,5
2020-08-30,2020-09-05,1.079998779296875,5
