first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,0.0,5
2019-09-15,2019-09-21,0.0,4
2019-09-22,2019-09-28,-2.220001220703125,5
2019-09-29,2019-10-05,0.0,2
2019-10-06,2019-10-12,0.0,3
2019-10-13,2019-10-19,0.0,3
2019-10-20,2019-10-26,-2.0999959309895835,3
2019-10-27,2019-11-02,-1.94000244140625,5
2019-11-03,2019-11-09,1.9,5
2019-11-10,2019-11-16,0.0,5
2019-11-17,2019-11-23,0.0,5
2019-11-24,2019-11-30,0.0,5
2019-12-01,2019-12-07,-0.6399993896484375,5
2019-12-08,2019-12-14,0.0,5
2019-12-15,2019-12-21,1.720001220703125,5
2019-12-22,2019-12-28,-0.7600006103515625,5
2019-12-29,2020-01-04,1.1600006103515625,5
2020-01-05,2020-01-11,-1.2800018310546875,5
2020-01-12,2020-01-18,0.0,5
2020-01-19,2020-01-25,1.3,5
2020-01-26,2020-02-01,0.0,5
2020-02-02,2020-02-08,-1.6199981689453125,5
2020-02-09,2020-02-15,0.0,5
2020-02-16,2020-02-22,0.0,5
2020-02-23,2020-02-29,0.0,5
2020-03-01,2020-03-07,-1.0750007629394531,4
2020-03-08,2020-03-14,-0.9749984741210938,4
2020-03-15,2020-03-21,0.0,5
2020-03-22,2020-03-28,-1.220001220703125,5
2020-03-29,2020-04-04,8.739999389648437,5
2020-04-05,2020-04-11,-1.433334350585928,3
2020-04-12,2020-04-18,-4.03333028157553,3
2020-04-19,2020-04-25,0.0,5
2020-04-26,2020-05-02,-1.5333353678385417,3
2020-05-03,2020-05-09,-1.0199981689453126,5
2020-05-10,2020-05-16,-3.5600006103515627,5
2020-05-17,2020-05-23,-0.1,5
2020-05-24,2020-05-30,0.0,4
2020-05-31,2020-06-06,1.679998779296875,5
2020-06-07,2020-06-13,0.0,4
2020-06-14,2020-06-20,0.8,5
2020-06-21,2020-06-27,0.0,5
2020-06-28,2020-07-04,0.0,5
2020-07-05,2020-07-11,-0.6399993896484375,5
2020-07-12,2020-07-18,-0.320001220703125,5
2020-07-19,2020-07-25,-0.779998779296875,5
2020-07-26,2020-08-01,-0.15000152587890625,4
2020-08-02,2020-08-08,0.6,5
2020-08-09,2020-08-15,0.220001220703125,5
2020-08-16,2020-08-22,3.4399993896484373,5
2020-08-23,2020-08-29,1.2600006103515624,5
2020-08-30,2020-09-05,-0.220001220703125,5
