first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,1.6800048828125,5
2019-09-15,2019-09-21,15.399993896484375,4
2019-09-22,2019-09-28,2.3800048828125,5
2019-09-29,2019-10-05,11.54998779296875,2
2019-10-06,2019-10-12,22.633341471354168,3
2019-10-13,2019-10-19,-60.199991861979164,3
2019-10-20,2019-10-26,-1.8666585286458333,3
2019-10-27,2019-11-02,28.5599853515625,5
2019-11-03,2019-11-09,-27.57998046875,5
2019-11-10,2019-11-16,4.339990234375,5
2019-11-17,2019-11-23,9.3800048828125,5
2019-11-24,2019-11-30,17.2199951171875,5
2019-12-01,2019-12-07,-24.7800048828125,5
2019-12-08,2019-12-14,83.860009765625,5
2019-12-15,2019-12-21,-45.9199951171875,5
2019-12-22,2019-12-28,18.0599853515625,5
2019-12-29,2020-01-04,-13.7199951171875,5
2020-01-05,2020-01-11,-10.0800048828125,5
2020-01-12,2020-01-18,-9.1,5
2020-01-19,2020-01-25,-22.9599853515625,5
2020-01-26,2020-02-01,-11.2,5
2020-02-02,2020-02-08,-24.91981201171875,5
2020-02-09,2020-02-15,2.7998046875,5
2020-02-16,2020-02-22,-6.159802246093773,5
2020-02-23,2020-02-29,20.719799804687522,5
2020-03-01,2020-03-07,-51.274749755859375,4
2020-03-08,2020-03-14,-19.425003051757812,4
2020-03-15,2020-03-21,-41.7199951171875,5
2020-03-22,2020-03-28,15.67999267578125,5
2020-03-29,2020-04-04,24.360009765625,5
2020-04-05,2020-04-11,16.566650390625,3
2020-04-12,2020-04-18,2.8000081380208335,3
2020-04-19,2020-04-25,-13.85999755859375,5
2020-04-26,2020-05-02,28.699991861979168,3
2020-05-03,2020-05-09,2.94000244140625,5
2020-05-10,2020-05-16,-6.7199951171875,5
2020-05-17,2020-05-23,-6.44000244140625,5
2020-05-24,2020-05-30,17.324996948242188,4
2020-05-31,2020-06-06,17.0800048828125,5
2020-06-07,2020-06-13,-14.525009155273438,4
2020-06-14,2020-06-20,3.35999755859375,5
2020-06-21,2020-06-27,8.4,5
2020-06-28,2020-07-04,37.239794921875,5
2020-07-05,2020-07-11,25.4800048828125,5
2020-07-12,2020-07-18,-4.0599853515625,5
2020-07-19,2020-07-25,14.839990234375,5
2020-07-26,2020-08-01,191.0999755859375,4
2020-08-02,2020-08-08,-22.539990234375,5
2020-08-09,2020-08-15,-59.5,5
2020-08-16,2020-08-22,-8.8199951171875,5
2020-08-23,2020-08-29,-59.7800048828125,5
2020-08-30,2020-09-05,-13.439990234375,5
