first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,0.0,5
2019-09-15,2019-09-21,0.0,4
2019-09-22,2019-09-28,3.6800048828124887,5
2019-09-29,2019-10-05,1.9499969482421875,2
2019-10-06,2019-10-12,0.0,3
2019-10-13,2019-10-19,0.899993896484394,3
2019-10-20,2019-10-26,-7.466664632161478,3
2019-10-27,2019-11-02,0.0,5
2019-11-03,2019-11-09,0.0,5
2019-11-10,2019-11-16,-0.679998779296875,5
2019-11-17,2019-11-23,-0.679998779296875,5
2019-11-24,2019-11-30,-2.8,5
2019-12-01,2019-12-07,1.6399963378906364,5
2019-12-08,2019-12-14,5.840002441406239,5
2019-12-15,2019-12-21,0.0,5
2019-12-22,2019-12-28,0.0,5
2019-12-29,2020-01-04,0.0,5
2020-01-05,2020-01-11,-0.379998779296875,5
2020-01-12,2020-01-18,0.3,5
2020-01-19,2020-01-25,0.0,5
2020-01-26,2020-02-01,0.0,5
2020-02-02,2020-02-08,0.0,5
2020-02-09,2020-02-15,-2.14000244140625,5
2020-02-16,2020-02-22,1.820001220703125,5
2020-02-23,2020-02-29,-1.6,5
2020-03-01,2020-03-07,0.0,4
2020-03-08,2020-03-14,-22.574996948242188,4
2020-03-15,2020-03-21,-0.220001220703125,5
2020-03-22,2020-03-28,18.05999755859375,5
2020-03-29,2020-04-04,1.460003662109375,5
2020-04-05,2020-04-11,2.9333292643229165,3
2020-04-12,2020-04-18,0.0,3
2020-04-19,2020-04-25,0.0,5
2020-04-26,2020-05-02,0.0,3
2020-05-03,2020-05-09,0.0,5
2020-05-10,2020-05-16,-5.279998779296875,5
2020-05-17,2020-05-23,4.679998779296875,5
2020-05-24,2020-05-30,4.600006103515625,4
2020-05-31,2020-06-06,1.1199951171875,5
2020-06-07,2020-06-13,0.0,4
2020-06-14,2020-06-20,0.0,5
2020-06-21,2020-06-27,0.0,5
2020-06-28,2020-07-04,0.04000244140622726,5
2020-07-05,2020-07-11,0.0,5
2020-07-12,2020-07-18,9.479992675781272,5
2020-07-19,2020-07-25,0.0800048828125,5
2020-07-26,2020-08-01,2.8249969482421875,4
2020-08-02,2020-08-08,0.94000244140625,5
2020-08-09,2020-08-15,0.0,5
2020-08-16,2020-08-22,0.0,5
2020-08-23,2020-08-29,-6.0,5
2020-08-30,2020-09-05,0.0,5
