first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,14.8,5
2019-09-15,2019-09-21,-38.5,4
2019-09-22,2019-09-28,10.8,5
2019-09-29,2019-10-05,-88.5,2
2019-10-06,2019-10-12,26.0,3
2019-10-13,2019-10-19,66.33333333333333,3
2019-10-20,2019-10-26,148.66666666666666,3
2019-10-27,2019-11-02,-29.2,5
2019-11-03,2019-11-09,20.0,5
2019-11-10,2019-11-16,5.0,5
2019-11-17,2019-11-23,7.6,5
2019-11-24,2019-11-30,-52.6,5
2019-12-01,2019-12-07,-13.6,5
2019-12-08,2019-12-14,0.0,5
2019-12-15,2019-12-21,0.0,5
2019-12-22,2019-12-28,13.6,5
2019-12-29,2020-01-04,-104.0,5
2020-01-05,2020-01-11,48.6,5
2020-01-12,2020-01-18,0.2,5
2020-01-19,2020-01-25,15.2,5
2020-01-26,2020-02-01,-23.0,5
2020-02-02,2020-02-08,7.2,5
2020-02-09,2020-02-15,15.8,5
2020-02-16,2020-02-22,-29.8,5
2020-02-23,2020-02-29,-20.2,5
2020-03-01,2020-03-07,-37.5,4
2020-03-08,2020-03-14,-374.0,4
2020-03-15,2020-03-21,-64.0,5
2020-03-22,2020-03-28,0.0,5
2020-03-29,2020-04-04,0.0,5
2020-04-05,2020-04-11,105.33333333333333,3
2020-04-12,2020-04-18,0.0,3
2020-04-19,2020-04-25,16.0,5
2020-04-26,2020-05-02,106.66666666666667,3
2020-05-03,2020-05-09,0.0,5
2020-05-10,2020-05-16,30.0,5
2020-05-17,2020-05-23,21.0,5
2020-05-24,2020-05-30,-17.0,4
2020-05-31,2020-06-06,0.4,5
2020-06-07,2020-06-13,0.0,4
2020-06-14,2020-06-20,-45.2,5
2020-06-21,2020-06-27,-25.8,5
2020-06-28,2020-07-04,-16.8,5
2020-07-05,2020-07-11,5.0,5
2020-07-12,2020-07-18,-0.2,5
2020-07-19,2020-07-25,-0.4,5
2020-07-26,2020-08-01,9.5,4
2020-08-02,2020-08-08,-22.0,5
2020-08-09,2020-08-15,24.0,5
2020-08-16,2020-08-22,0.2,5
2020-08-23,2020-08-29,35.8,5
2020-08-30,2020-09-05,0.0,5
