first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-03,2019-03-09,86.9999885559082,5
2019-03-10,2019-03-16,137.5,5
2019-03-17,2019-03-23,-112.5,5
2019-03-24,2019-03-30,107.49998092651379,5
2019-03-31,2019-04-06,-82.49998092651379,5
2019-04-07,2019-04-13,20.2499866485594,5
2019-04-14,2019-04-20,-5.499982833862134,5
2019-04-21,2019-04-27,0.0,5
2019-04-28,2019-05-04,-51.74999237060547,5
2019-05-05,2019-05-11,21.99997901916504,5
2019-05-12,2019-05-18,-113.49999904632568,5
2019-05-19,2019-05-25,-45.499992370605526,5
2019-05-26,2019-06-01,-88.49999904632571,5
2019-06-02,2019-06-08,28.499996662139893,5
2019-06-09,2019-06-15,-1.3750076293945312,5
2019-06-16,2019-06-22,24.499988555908203,5
2019-06-23,2019-06-29,14.750003814697266,5
2019-06-30,2019-07-06,43.000006675720215,5
2019-07-07,2019-07-13,-32.249999046325684,5
2019-07-14,2019-07-20,-33.7499856948852,5
2019-07-21,2019-07-27,2.999997138977051,5
2019-07-28,2019-08-03,-27.474999427795296,5
2019-08-04,2019-08-10,-31.275010108947725,5
2019-08-11,2019-08-17,-18.375003337860107,5
2019-08-18,2019-08-24,12.299990653991728,5
2019-08-25,2019-08-31,40.27498960494995,5
2019-09-01,2019-09-07,40.30001163482666,5
2019-09-08,2019-09-14,0.6750106811523438,5
2019-09-15,2019-09-21,28.733348846435508,4
2019-09-22,2019-09-28,-10.875010490417452,5
2019-09-29,2019-10-05,-28.550004959106445,2
2019-10-06,2019-10-12,-23.099994659423828,3
2019-10-13,2019-10-19,-6.166648864746094,3
2019-10-20,2019-10-26,-20.433330535888672,3
2019-10-27,2019-11-02,13.399982452392578,5
2019-11-03,2019-11-09,-4.849982261657715,5
2019-11-10,2019-11-16,-4.399991035461454,5
2019-11-17,2019-11-23,10.800004005432129,5
2019-11-24,2019-11-30,9.20000076293951,5
2019-12-01,2019-12-07,-35.800004005432186,5
2019-12-08,2019-12-14,-7.774996757507324,5
2019-12-15,2019-12-21,0.0749826431274414,5
2019-12-22,2019-12-28,-7.224988937378043,5
2019-12-29,2020-01-04,-17.575001716613798,5
2020-01-05,2020-01-11,-4.575014114379883,5
2020-01-12,2020-01-18,0.9250164031982422,5
2020-01-19,2020-01-25,-6.25,5
2020-01-26,2020-02-01,-9.125006198883028,5
2020-02-02,2020-02-08,3.600001335143986,5
2020-02-09,2020-02-15,-2.5000095367431925,5
2020-02-16,2020-02-22,-0.875008106231661,5
2020-02-23,2020-02-29,-20.699998021125793,5
2020-03-01,2020-03-07,-4.5,4
2020-03-08,2020-03-14,-55.833323796590186,4
2020-03-15,2020-03-21,21.749997138977065,5
2020-03-22,2020-03-28,30.900001525878906,5
2020-03-29,2020-04-04,-13.47500467300415,5
2020-04-05,2020-04-11,0.033346811930300646,3
2020-04-12,2020-04-18,8.20000171661377,3
2020-04-19,2020-04-25,17.824995517730713,5
2020-04-26,2020-05-02,-7.999992370605526,3
2020-05-03,2020-05-09,3.3500075340270996,5
2020-05-10,2020-05-16,0.5249977111816122,5
2020-05-17,2020-05-23,-9.949994087219238,5
2020-05-24,2020-05-30,8.550000190734863,4
2020-05-31,2020-06-06,-4.200005531311035,2
