first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-03,2019-03-09,0.0,5
2019-03-10,2019-03-16,-2.7000007629394496,5
2019-03-17,2019-03-23,9.225000381469727,5
2019-03-24,2019-03-30,-2.0,5
2019-03-31,2019-04-06,3.424999237060547,5
2019-04-07,2019-04-13,1.4249992370605469,5
2019-05-05,2019-05-11,3.5666656494140696,5
2019-05-12,2019-05-18,-13.4749984741211,5
2019-05-19,2019-05-25,1.174999237060554,5
2019-05-26,2019-06-01,-5.674999237060554,5
2019-06-02,2019-06-08,0.7999992370605469,5
2019-06-09,2019-06-15,-1.3124990463256907,5
2019-06-16,2019-06-22,-3.75,5
2019-06-23,2019-06-29,15.75,5
2019-06-30,2019-07-06,-6.70000076293946,5
2019-07-07,2019-07-13,3.6499977111816406,5
2019-07-14,2019-07-20,-4.924999237060554,5
2019-07-21,2019-07-27,3.25,5
2019-07-28,2019-08-03,1.75,5
2019-08-04,2019-08-10,0.25,5
2019-08-11,2019-08-17,-4.400001525878906,5
2019-08-18,2019-08-24,7.45000076293945,5
2019-08-25,2019-08-31,2.75,5
2019-09-01,2019-09-07,3.25,5
2019-09-08,2019-09-14,1.024999618530277,5
2019-09-15,2019-09-21,-1.2333323160807292,4
2019-09-22,2019-09-28,-1.2750015258788991,5
2019-09-29,2019-10-05,2.650001525878899,2
2019-10-06,2019-10-12,-2.549999237060547,3
2019-10-13,2019-10-19,0.03333282470703125,3
2019-10-20,2019-10-26,-1.5666656494140672,3
2019-10-27,2019-11-02,-0.25,5
2019-11-03,2019-11-09,-1.375,5
2019-11-10,2019-11-16,-0.22500038146972656,5
2019-11-17,2019-11-23,0.10000038146972656,5
2019-11-24,2019-11-30,0.125,5
2019-12-01,2019-12-07,-1.25,5
2019-12-08,2019-12-14,-2.3999996185302734,5
2019-12-15,2019-12-21,-0.25,5
2019-12-22,2019-12-28,1.6499996185302734,5
2019-12-29,2020-01-04,0.6750011444091797,5
2020-01-05,2020-01-11,-1.7624998092651367,5
2020-01-12,2020-01-18,-0.3000001907348615,5
2020-01-19,2020-01-25,-5.875,5
2020-01-26,2020-02-01,0.75,2
2020-03-08,2020-03-14,-4.433333079020183,4
2020-03-15,2020-03-21,0.8000001907348633,5
2020-03-22,2020-03-28,0.3249998092651376,5
2020-03-29,2020-04-04,0.40000009536743164,5
2020-04-05,2020-04-11,0.09999974568685015,3
2020-04-12,2020-04-18,0.44999980926514027,3
2020-04-19,2020-04-25,0.5750002861022949,5
2020-04-26,2020-05-02,-1.1500005722045863,3
2020-05-03,2020-05-09,0.2250003814697248,5
2020-05-10,2020-05-16,-0.5250000953674316,5
2020-05-17,2020-05-23,-0.1999998092651376,5
2020-05-24,2020-05-30,0.375,4
2020-05-31,2020-06-06,0.05000019073486239,5
2020-06-07,2020-06-13,-0.27500009536742986,4
2020-06-14,2020-06-20,0.0,5
2020-06-21,2020-06-27,-0.15000009536743253,5
2020-06-28,2020-07-04,0.0750002562999752,5
2020-07-05,2020-07-11,-0.0749998092651376,5
2020-07-12,2020-07-18,-0.09999990463256925,5
2020-07-19,2020-07-25,0.125,5
