first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,-2.2,5
2019-09-15,2019-09-21,0.0,4
2019-09-22,2019-09-28,-17.8,5
2019-09-29,2019-10-05,-20.5,2
2019-10-06,2019-10-12,3.0,3
2019-10-13,2019-10-19,-36.0,3
2019-10-20,2019-10-26,13.666666666666666,3
2019-10-27,2019-11-02,27.8,5
2019-11-03,2019-11-09,5.4,5
2019-11-10,2019-11-16,10.0,5
2019-11-17,2019-11-23,-15.0,5
2019-11-24,2019-11-30,1.6,5
2019-12-01,2019-12-07,8.8,5
2019-12-08,2019-12-14,-1.2,5
2019-12-15,2019-12-21,-4.8,5
2019-12-22,2019-12-28,3.4,5
2019-12-29,2020-01-04,9.4,5
2020-01-05,2020-01-11,3.2,5
2020-01-12,2020-01-18,14.8,5
2020-01-19,2020-01-25,10.0,5
2020-01-26,2020-02-01,58.4,5
2020-02-02,2020-02-08,-8.6,5
2020-02-09,2020-02-15,8.0,5
2020-02-16,2020-02-22,-8.6,5
2020-02-23,2020-02-29,-1.8,5
2020-03-01,2020-03-07,-33.0,4
2020-03-08,2020-03-14,-46.5,4
2020-03-15,2020-03-21,-27.0,5
2020-03-22,2020-03-28,-32.2,5
2020-03-29,2020-04-04,32.8,5
2020-04-05,2020-04-11,-6.666666666666667,3
2020-04-12,2020-04-18,34.0,3
2020-04-19,2020-04-25,-0.2,5
2020-04-26,2020-05-02,1.0,3
2020-05-03,2020-05-09,0.4,5
2020-05-10,2020-05-16,-5.4,5
2020-05-17,2020-05-23,0.4,5
2020-05-24,2020-05-30,-0.75,4
2020-05-31,2020-06-06,1.8,5
2020-06-07,2020-06-13,6.75,4
2020-06-14,2020-06-20,-9.6,5
2020-06-21,2020-06-27,-7.4,5
2020-06-28,2020-07-04,15.0,5
2020-07-05,2020-07-11,-0.8,5
2020-07-12,2020-07-18,0.0,5
2020-07-19,2020-07-25,4.6,5
2020-07-26,2020-08-01,-20.75,4
2020-08-02,2020-08-08,10.2,5
2020-08-09,2020-08-15,6.8,5
2020-08-16,2020-08-22,0.0,5
2020-08-23,2020-08-29,3.4,5
2020-08-30,2020-09-05,4.6,5
