first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-03,2019-03-09,-2.848249673843391,5
2019-03-10,2019-03-16,2.3734986782074188,5
2019-03-17,2019-03-23,-1.3242483139038086,5
2019-03-24,2019-03-30,3.597748279571533,5
2019-03-31,2019-04-06,2.7232527732849476,5
2019-04-07,2019-04-13,2.5735020637512065,5
2019-04-14,2019-04-20,-3.797501325607314,5
2019-04-21,2019-04-27,-0.6997525691986084,5
2019-04-28,2019-05-04,-8.919250965118401,5
2019-05-05,2019-05-11,-0.5997538566589355,5
2019-05-12,2019-05-18,-6.770750880241387,5
2019-05-19,2019-05-25,-2.748250961303704,5
2019-05-26,2019-06-01,-5.221751332283027,5
2019-06-02,2019-06-08,0.10000169277191162,5
2019-06-09,2019-06-15,-1.1492520570755076,5
2019-06-16,2019-06-22,2.823251485824585,5
2019-06-23,2019-06-29,-1.7737507820129323,5
2019-06-30,2019-07-06,-2.3485004901885915,5
2019-07-07,2019-07-13,-1.1492490768432688,5
2019-07-14,2019-07-20,-2.473500370979309,5
2019-07-21,2019-07-27,2.4732500314712595,5
2019-07-28,2019-08-03,-5.2715003490448105,5
2019-08-04,2019-08-10,-2.9980003833770645,5
2019-08-11,2019-08-17,-0.4747480154037582,5
2019-08-18,2019-08-24,2.0737498998641932,5
2019-08-25,2019-08-31,3.0482500791549647,5
2019-09-01,2019-09-07,-1.2242496013641357,5
2019-09-08,2019-09-14,-2.373498678207401,5
2019-09-15,2019-09-21,-1.1326670646667527,4
2019-09-22,2019-09-28,-0.8744984865188599,5
2019-09-29,2019-10-05,-3.3479988574981547,2
2019-10-06,2019-10-12,-3.1480014324188517,3
2019-10-13,2019-10-19,-0.4663308461507067,3
2019-10-20,2019-10-26,-1.7989675203959195,3
2019-10-27,2019-11-02,4.172301292419434,5
2019-11-03,2019-11-09,-0.9994983673095703,5
2019-11-10,2019-11-16,-1.1992484331131017,5
2019-11-17,2019-11-23,1.1492520570755005,5
2019-11-24,2019-11-30,-1.2992501258850133,5
2019-12-01,2019-12-07,-0.44974982738494873,5
2019-12-08,2019-12-14,-2.4562507867813075,5
2019-12-15,2019-12-21,-0.9250015020370448,5
2019-12-22,2019-12-28,2.025002241134654,5
2019-12-29,2020-01-04,-1.2999981641769338,5
2020-01-05,2020-01-11,-0.9750008583068848,5
2020-01-12,2020-01-18,-0.99999904632568,5
2020-01-19,2020-01-25,-1.274999976158142,5
2020-01-26,2020-02-01,0.3250002861022878,5
2020-02-02,2020-02-08,0.5999982357025182,5
2020-02-09,2020-02-15,-1.1749982833862305,5
2020-02-16,2020-02-22,2.4000018835067785,5
2020-02-23,2020-02-29,-0.3999991714954376,5
2020-03-01,2020-03-07,2.266665140787765,4
2020-03-08,2020-03-14,-6.300000349680578,4
2020-03-15,2020-03-21,-2.47499942779541,5
2020-03-22,2020-03-28,3.800000250339508,5
2020-03-29,2020-04-04,-0.47499907016754506,5
2020-04-05,2020-04-11,2.133333683013916,3
2020-04-12,2020-04-18,0.34999847412111507,3
2020-04-19,2020-04-25,8.199998736381524,5
2020-04-26,2020-05-02,-7.700002193450928,3
2020-05-03,2020-05-09,8.45000147819519,5
2020-05-10,2020-05-16,-0.725001096725471,5
2020-05-17,2020-05-23,-0.29999911785127154,5
2020-05-24,2020-05-30,-1.0250002145767212,4
2020-05-31,2020-06-06,-2.4999976158141948,2
2020-07-19,2020-07-25,,1
