first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,188.0,5
2019-09-15,2019-09-21,-217.5,4
2019-09-22,2019-09-28,-20.0,5
2019-09-29,2019-10-05,225.0,2
2019-10-06,2019-10-12,776.6666666666666,3
2019-10-13,2019-10-19,-70.0,3
2019-10-20,2019-10-26,-50.0,3
2019-10-27,2019-11-02,-64.0,5
2019-11-03,2019-11-09,80.0,5
2019-11-10,2019-11-16,94.0,5
2019-11-17,2019-11-23,236.0,5
2019-11-24,2019-11-30,780.0,5
2019-12-01,2019-12-07,-164.0,5
2019-12-08,2019-12-14,390.0,5
2019-12-15,2019-12-21,96.0,5
2019-12-22,2019-12-28,176.0,5
2019-12-29,2020-01-04,-314.0,5
2020-01-05,2020-01-11,-28.0,5
2020-01-12,2020-01-18,-92.0,5
2020-01-19,2020-01-25,-34.0,5
2020-01-26,2020-02-01,134.0,5
2020-02-02,2020-02-08,232.0,5
2020-02-09,2020-02-15,-160.0,5
2020-02-16,2020-02-22,58.0,5
2020-02-23,2020-02-29,-460.0,5
2020-03-01,2020-03-07,-502.5,4
2020-03-08,2020-03-14,-1150.0,4
2020-03-15,2020-03-21,-392.0,5
2020-03-22,2020-03-28,396.0,5
2020-03-29,2020-04-04,-100.0,5
2020-04-05,2020-04-11,143.33333333333334,3
2020-04-12,2020-04-18,653.3333333333334,3
2020-04-19,2020-04-25,606.0,5
2020-04-26,2020-05-02,796.6666666666666,3
2020-05-03,2020-05-09,178.0,5
2020-05-10,2020-05-16,-648.0,5
2020-05-17,2020-05-23,846.0,5
2020-05-24,2020-05-30,550.0,4
2020-05-31,2020-06-06,80.0,5
2020-06-07,2020-06-13,185.0,4
2020-06-14,2020-06-20,-126.0,5
2020-06-21,2020-06-27,-620.0,5
2020-06-28,2020-07-04,-220.0,5
2020-07-05,2020-07-11,352.0,5
2020-07-12,2020-07-18,-12.0,5
2020-07-19,2020-07-25,190.0,5
2020-07-26,2020-08-01,115.0,4
2020-08-02,2020-08-08,150.0,5
2020-08-09,2020-08-15,136.0,5
2020-08-16,2020-08-22,854.0,5
2020-08-23,2020-08-29,580.0,5
2020-08-30,2020-09-05,-478.0,5
