first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-03,2019-03-09,10.75,5
2019-03-10,2019-03-16,2.75,5
2019-03-17,2019-03-23,0.0,5
2019-03-24,2019-03-30,-1.5,5
2019-03-31,2019-04-06,-7.25,5
2019-04-07,2019-04-13,0.0,5
2019-04-14,2019-04-20,-3.25,5
2019-04-21,2019-04-27,13.75,5
2019-04-28,2019-05-04,28.75,5
2019-05-05,2019-05-11,5.75,5
2019-05-12,2019-05-18,-36.25,5
2019-05-19,2019-05-25,11.0,5
2019-05-26,2019-06-01,0.5,5
2019-06-02,2019-06-08,7.5,5
2019-06-09,2019-06-15,0.75,5
2019-06-16,2019-06-22,-14.5,5
2019-06-23,2019-06-29,0.25,5
2019-06-30,2019-07-06,2.5,5
2019-07-07,2019-07-13,-4.5,5
2019-07-14,2019-07-20,-1.0,5
2019-07-21,2019-07-27,3.5,5
2019-07-28,2019-08-03,-5.0,5
2019-08-04,2019-08-10,-5.75,5
2019-08-11,2019-08-17,-13.75,5
2019-08-18,2019-08-24,-2.0,5
2019-08-25,2019-08-31,-16.0,5
2019-09-01,2019-09-07,-15.5,5
2019-09-08,2019-09-14,2.25,5
2019-09-15,2019-09-21,-17.666666666666668,4
2019-09-22,2019-09-28,24.75,5
2019-09-29,2019-10-05,2.0,2
2019-10-06,2019-10-12,14.0,3
2019-10-13,2019-10-19,6.0,3
2019-10-20,2019-10-26,21.333333333333332,3
2019-10-27,2019-11-02,18.0,5
2019-11-03,2019-11-09,-8.5,5
2019-11-10,2019-11-16,1.5,5
2019-11-17,2019-11-23,17.0,5
2019-11-24,2019-11-30,55.5,5
2019-12-01,2019-12-07,-68.75,5
2019-12-08,2019-12-14,30.0,5
2019-12-15,2019-12-21,50.25,5
2019-12-22,2019-12-28,-2.25,5
2019-12-29,2020-01-04,33.25,5
2020-01-05,2020-01-11,-12.75,5
2020-01-12,2020-01-18,-12.25,5
2020-01-19,2020-01-25,8.5,5
2020-01-26,2020-02-01,-11.75,5
2020-02-02,2020-02-08,24.75,5
2020-02-09,2020-02-15,7.5,5
2020-02-16,2020-02-22,20.5,5
2020-02-23,2020-02-29,-85.5,5
2020-03-01,2020-03-07,17.0,4
2020-03-08,2020-03-14,-200.66666666666666,4
2020-03-15,2020-03-21,-12.25,5
2020-03-22,2020-03-28,18.5,5
2020-03-29,2020-04-04,66.0,5
2020-04-05,2020-04-11,50.0,3
2020-04-12,2020-04-18,5.0,3
2020-04-19,2020-04-25,-18.5,5
2020-04-26,2020-05-02,37.5,3
2020-05-03,2020-05-09,15.75,5
2020-05-10,2020-05-16,1.0,5
2020-05-17,2020-05-23,-16.25,5
2020-05-24,2020-05-30,13.5,4
2020-05-31,2020-06-06,0.0,5
2020-06-07,2020-06-13,-20.0,4
2020-06-14,2020-06-20,4.75,5
2020-06-21,2020-06-27,-8.0,5
2020-06-28,2020-07-04,-10.250005722045898,5
2020-07-05,2020-07-11,0.0,5
2020-07-12,2020-07-18,-8.5,5
2020-07-19,2020-07-25,-14.5,5
