first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,-0.5600006103515597,5
2019-09-15,2019-09-21,0.9500007629394496,4
2019-09-22,2019-09-28,-0.38000030517578126,5
2019-09-29,2019-10-05,-2.049999237060547,2
2019-10-06,2019-10-12,-0.6000010172525995,3
2019-10-13,2019-10-19,-0.19999949137370265,3
2019-10-20,2019-10-26,-0.5333328247070312,3
2019-10-27,2019-11-02,0.7800003051757812,5
2019-11-03,2019-11-09,0.01999969482421875,5
2019-11-10,2019-11-16,-0.6399993896484404,5
2019-11-17,2019-11-23,0.3199996948242216,5
2019-11-24,2019-11-30,0.31999969482421875,5
2019-12-01,2019-12-07,0.7800003051757812,5
2019-12-08,2019-12-14,0.6199996948242188,5
2019-12-15,2019-12-21,0.21999969482421874,5
2019-12-22,2019-12-28,1.0199996948242216,5
2019-12-29,2020-01-04,1.300000000000003,5
2020-01-05,2020-01-11,0.03999938964843182,5
2020-01-12,2020-01-18,1.84000244140625,5
2020-01-19,2020-01-25,-0.620001220703125,5
2020-01-26,2020-02-01,-1.520001220703125,5
2020-02-02,2020-02-08,-0.779998779296875,5
2020-02-09,2020-02-15,-1.0,2
2020-02-16,2020-02-22,1.9600006103515568,5
2020-02-23,2020-02-29,-4.150001525878892,2
2020-03-01,2020-03-07,-240.0,4
2020-03-08,2020-03-14,-3007.0,4
2020-03-15,2020-03-21,-4.233999633789063,5
2020-03-22,2020-03-28,4.747999572753907,5
2020-03-29,2020-04-04,0.6860000610351562,5
2020-04-05,2020-04-11,2.313334147135412,3
2020-04-12,2020-04-18,0.06999969482422348,3
2020-04-19,2020-04-25,1.3699996948242188,5
2020-04-26,2020-05-02,3.1333338419596353,3
2020-05-03,2020-05-09,-2.240000915527341,5
2020-05-10,2020-05-16,-2.753999328613284,5
2020-05-17,2020-05-23,1.9919998168945312,5
2020-05-24,2020-05-30,0.2700004577636719,4
2020-05-31,2020-06-06,-0.9350013732910156,2
