first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,94.2,5
2019-09-15,2019-09-21,53.0,4
2019-09-22,2019-09-28,-33.4,5
2019-09-29,2019-10-05,84.5,2
2019-10-06,2019-10-12,-167.33333333333334,3
2019-10-13,2019-10-19,99.66666666666667,3
2019-10-20,2019-10-26,13.666666666666666,3
2019-10-27,2019-11-02,-11.4,5
2019-11-03,2019-11-09,-42.4,5
2019-11-10,2019-11-16,6.4,5
2019-11-17,2019-11-23,55.8,5
2019-11-24,2019-11-30,-6.2,5
2019-12-01,2019-12-07,2.8,5
2019-12-08,2019-12-14,1.6,5
2019-12-15,2019-12-21,14.2,5
2019-12-22,2019-12-28,20.6,5
2019-12-29,2020-01-04,-32.8,5
2020-01-05,2020-01-11,24.0,5
2020-01-12,2020-01-18,14.6,5
2020-01-19,2020-01-25,48.4,5
2020-01-26,2020-02-01,12.2,5
2020-02-02,2020-02-08,43.8,5
2020-02-09,2020-02-15,16.4,5
2020-02-16,2020-02-22,-76.6,5
2020-02-23,2020-02-29,113.4,5
2020-03-01,2020-03-07,-27.75,4
2020-03-08,2020-03-14,-331.75,4
2020-03-15,2020-03-21,-114.4,5
2020-03-22,2020-03-28,23.8,5
2020-03-29,2020-04-04,-43.6,5
2020-04-05,2020-04-11,-14.666666666666666,3
2020-04-12,2020-04-18,70.66666666666667,3
2020-04-19,2020-04-25,0.8,5
2020-04-26,2020-05-02,101.66666666666667,3
2020-05-03,2020-05-09,30.4,5
2020-05-10,2020-05-16,-4.6,5
2020-05-17,2020-05-23,-11.2,5
2020-05-24,2020-05-30,-20.0,4
2020-05-31,2020-06-06,-36.2,5
2020-06-07,2020-06-13,5.5,4
2020-06-14,2020-06-20,39.8,5
2020-06-21,2020-06-27,-70.2,5
2020-06-28,2020-07-04,68.6,5
2020-07-05,2020-07-11,-11.8,5
2020-07-12,2020-07-18,171.6,5
2020-07-19,2020-07-25,72.6,5
2020-07-26,2020-08-01,0.75,4
2020-08-02,2020-08-08,25.2,5
2020-08-09,2020-08-15,8.4,5
2020-08-16,2020-08-22,-83.2,5
2020-08-23,2020-08-29,5.2,5
2020-08-30,2020-09-05,14.2,5
