first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-10,2019-03-16,8.0,5
2019-03-17,2019-03-23,0.5,5
2019-03-24,2019-03-30,-2.75,5
2019-03-31,2019-04-06,-1.0,5
2019-04-07,2019-04-13,9.0,5
2019-04-14,2019-04-20,-0.25,5
2019-04-21,2019-04-27,1.0,5
2019-04-28,2019-05-04,1.0,5
2019-05-05,2019-05-11,10.75,5
2019-05-12,2019-05-18,-2.25,5
2019-05-19,2019-05-25,1.25,5
2019-05-26,2019-06-01,4.75,5
2019-06-02,2019-06-08,-3.0,5
2019-06-09,2019-06-15,10.25,5
2019-06-16,2019-06-22,18.0,5
2019-06-23,2019-06-29,-2.0,5
2019-06-30,2019-07-06,25.5,5
2019-07-07,2019-07-13,15.0,5
2019-07-14,2019-07-20,-2.25,5
2019-07-21,2019-07-27,24.0,5
2019-07-28,2019-08-03,1.25,5
2019-08-04,2019-08-10,3.75,5
2019-08-11,2019-08-17,24.25,5
2019-08-18,2019-08-24,41.25,5
2019-08-25,2019-08-31,-3.75,5
2019-09-01,2019-09-07,-1.25,5
2019-09-08,2019-09-14,-15.75,5
2019-09-15,2019-09-21,-8.333333333333334,4
2019-09-22,2019-09-28,11.25,5
2019-09-29,2019-10-05,35.0,2
2019-10-06,2019-10-12,39.0,3
2019-10-13,2019-10-19,17.333333333333332,3
2019-10-20,2019-10-26,5.333333333333333,3
2019-10-27,2019-11-02,27.75,5
2019-11-03,2019-11-09,-23.25,5
2019-11-10,2019-11-16,-30.25,5
2019-11-17,2019-11-23,-33.5,5
2019-11-24,2019-11-30,10.5,5
2019-12-01,2019-12-07,-57.75,5
2019-12-08,2019-12-14,-12.75,5
2019-12-15,2019-12-21,-0.75,5
2019-12-22,2019-12-28,26.25,5
2019-12-29,2020-01-04,-22.25,5
2020-01-05,2020-01-11,3.25,5
2020-01-12,2020-01-18,-12.25,5
2020-01-19,2020-01-25,-19.75,5
2020-01-26,2020-02-01,23.75,5
2020-02-02,2020-02-08,74.75,5
2020-02-09,2020-02-15,28.0,5
2020-02-16,2020-02-22,11.75,5
2020-02-23,2020-02-29,-26.5,5
2020-03-01,2020-03-07,-26.333333333333332,4
2020-03-08,2020-03-14,-121.0,4
2020-03-15,2020-03-21,-49.75,5
2020-03-22,2020-03-28,69.75,5
2020-03-29,2020-04-04,52.75,5
2020-04-05,2020-04-11,68.0,3
2020-04-12,2020-04-18,-81.5,3
2020-04-19,2020-04-25,-9.0,5
2020-04-26,2020-05-02,97.5,3
2020-05-03,2020-05-09,-33.5,5
2020-05-10,2020-05-16,-26.25,5
2020-05-17,2020-05-23,-0.75,5
2020-05-24,2020-05-30,-45.5,4
2020-05-31,2020-06-06,10.0,5
2020-06-07,2020-06-13,6.75,4
2020-06-14,2020-06-20,10.0,5
2020-06-21,2020-06-27,-16.75,5
2020-06-28,2020-07-04,31.499980926513672,5
2020-07-05,2020-07-11,-41.25,5
2020-07-12,2020-07-18,-7.5,5
2020-07-19,2020-07-25,2.5,5
2020-07-26,2020-08-01,0.25,4
