first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,4.360000610351557,5
2019-09-15,2019-09-21,2.924999237060554,4
2019-09-22,2019-09-28,-0.7800018310546818,5
2019-09-29,2019-10-05,4.550003051757798,2
2019-10-06,2019-10-12,8.100001017252604,3
2019-10-13,2019-10-19,3.5,3
2019-10-20,2019-10-26,-0.7000020345052084,3
2019-10-27,2019-11-02,0.620001220703125,5
2019-11-03,2019-11-09,3.3800018310546873,5
2019-11-10,2019-11-16,0.23999633789063637,5
2019-11-17,2019-11-23,-1.7799987792968863,5
2019-11-24,2019-11-30,-2.2799987792968808,5
2019-12-01,2019-12-07,4.27999877929688,5
2019-12-08,2019-12-14,1.4799987792968863,5
2019-12-15,2019-12-21,0.3,5
2019-12-22,2019-12-28,4.640002441406239,5
2019-12-29,2020-01-04,6.439996337890625,5
2020-01-05,2020-01-11,1.4,5
2020-01-12,2020-01-18,0.14000244140625,5
2020-01-19,2020-01-25,-1.04000244140625,5
2020-01-26,2020-02-01,-4.2,5
2020-02-02,2020-02-08,-1.439996337890625,5
2020-02-09,2020-02-15,-3.920001220703125,5
2020-02-16,2020-02-22,8.120001220703125,5
2020-02-23,2020-02-29,-7.4,5
2020-03-01,2020-03-07,-5.000000000000014,4
2020-03-08,2020-03-14,-21.150001525878892,4
2020-03-15,2020-03-21,-9.520001220703126,5
2020-03-22,2020-03-28,9.460000610351562,5
2020-03-29,2020-04-04,5.820001220703125,5
2020-04-05,2020-04-11,1.1000010172525947,3
2020-04-12,2020-04-18,-3.033335367838532,3
2020-04-19,2020-04-25,1.5799987792968806,5
2020-04-26,2020-05-02,8.166666666666666,3
2020-05-03,2020-05-09,-0.7799987792968807,5
2020-05-10,2020-05-16,-0.5,5
2020-05-17,2020-05-23,2.5799987792968806,5
2020-05-24,2020-05-30,-1.549999237060554,4
2020-05-31,2020-06-06,0.9399993896484432,5
2020-06-07,2020-06-13,-2.099998474121101,4
2020-06-14,2020-06-20,-4.0200012207031195,5
2020-06-21,2020-06-27,-0.2,5
2020-06-28,2020-07-04,1.2400024414062387,5
2020-07-05,2020-07-11,-1.0,5
2020-07-12,2020-07-18,-1.3,5
2020-07-19,2020-07-25,3.339999389648443,5
2020-07-26,2020-08-01,-1.299999237060554,4
2020-08-02,2020-08-08,1.9799987792968807,5
2020-08-09,2020-08-15,1.1399993896484375,5
2020-08-16,2020-08-22,-5.6399993896484375,5
2020-08-23,2020-08-29,3.5600006103515627,5
2020-08-30,2020-09-05,-8.739999389648437,5
