first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,6.9199951171875,5
2019-09-15,2019-09-21,-5.5,4
2019-09-22,2019-09-28,1.64000244140625,5
2019-09-29,2019-10-05,-11.600006103515625,2
2019-10-06,2019-10-12,7.300008138020833,3
2019-10-13,2019-10-19,4.866658528645833,3
2019-10-20,2019-10-26,-1.6999918619791667,3
2019-10-27,2019-11-02,0.44000244140625,5
2019-11-03,2019-11-09,-1.7800048828125,5
2019-11-10,2019-11-16,-5.6199951171875,5
2019-11-17,2019-11-23,1.97999267578125,5
2019-11-24,2019-11-30,2.02000732421875,5
2019-12-01,2019-12-07,0.15999755859375,5
2019-12-08,2019-12-14,1.6,5
2019-12-15,2019-12-21,-0.7800048828125,5
2019-12-22,2019-12-28,-0.04000244140625,5
2019-12-29,2020-01-04,-1.35999755859375,5
2020-01-05,2020-01-11,-3.64000244140625,5
2020-01-12,2020-01-18,2.160009765625,5
2020-01-19,2020-01-25,17.1199951171875,5
2020-01-26,2020-02-01,-5.2,5
2020-02-02,2020-02-08,-3.85999755859375,5
2020-02-09,2020-02-15,3.0,5
2020-02-16,2020-02-22,5.3,5
2020-02-23,2020-02-29,-5.92000732421875,5
2020-03-01,2020-03-07,-19.774993896484375,4
2020-03-08,2020-03-14,-41.474998474121094,4
2020-03-15,2020-03-21,-18.760003662109362,5
2020-03-22,2020-03-28,3.6,5
2020-03-29,2020-04-04,6.7200012207031135,5
2020-04-05,2020-04-11,33.899993896484375,3
2020-04-12,2020-04-18,16.0,3
2020-04-19,2020-04-25,0.54000244140625,5
2020-04-26,2020-05-02,15.633341471354166,3
2020-05-03,2020-05-09,1.25999755859375,5
2020-05-10,2020-05-16,-4.5199951171875,5
2020-05-17,2020-05-23,0.57999267578125,5
2020-05-24,2020-05-30,-6.1999969482421875,4
2020-05-31,2020-06-06,1.45999755859375,5
2020-06-07,2020-06-13,-1.7249908447265625,4
2020-06-14,2020-06-20,-3.6,5
2020-06-21,2020-06-27,-4.14000244140625,5
2020-06-28,2020-07-04,-5.85999755859375,5
2020-07-05,2020-07-11,-6.260003662109375,5
2020-07-12,2020-07-18,13.979998779296874,5
2020-07-19,2020-07-25,3.8199951171875,5
2020-07-26,2020-08-01,1.20001220703125,4
2020-08-02,2020-08-08,-1.84000244140625,5
2020-08-09,2020-08-15,-7.04000244140625,5
2020-08-16,2020-08-22,-6.359997558593773,5
2020-08-23,2020-08-29,8.300000000000022,5
2020-08-30,2020-09-05,-1.9000000000000228,5
