first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,-3.0,5
2019-09-15,2019-09-21,-2.599998474121108,4
2019-09-22,2019-09-28,3.0799987792968864,5
2019-09-29,2019-10-05,0.0,2
2019-10-06,2019-10-12,4.73333740234375,3
2019-10-13,2019-10-19,-0.73333740234375,3
2019-10-20,2019-10-26,-3.0,3
2019-10-27,2019-11-02,0.05999755859375,5
2019-11-03,2019-11-09,-3.4,5
2019-11-10,2019-11-16,1.6800048828125,5
2019-11-17,2019-11-23,-0.7,5
2019-11-24,2019-11-30,0.9399963378906364,5
2019-12-01,2019-12-07,0.1,5
2019-12-08,2019-12-14,-4.079998779296886,5
2019-12-15,2019-12-21,0.8799987792968864,5
2019-12-22,2019-12-28,1.0200012207031137,5
2019-12-29,2020-01-04,2.8200012207031135,5
2020-01-05,2020-01-11,0.5399963378906364,5
2020-01-12,2020-01-18,0.560003662109375,5
2020-01-19,2020-01-25,-1.420001220703125,5
2020-01-26,2020-02-01,1.25999755859375,5
2020-02-02,2020-02-08,1.260003662109375,5
2020-02-09,2020-02-15,-1.24000244140625,5
2020-02-16,2020-02-22,-1.679998779296875,5
2020-02-23,2020-02-29,-2.4,5
2020-03-01,2020-03-07,1.4250030517578125,4
2020-03-08,2020-03-14,-9.425003051757812,4
2020-03-15,2020-03-21,-2.6799987792968807,5
2020-03-22,2020-03-28,6.239999389648443,5
2020-03-29,2020-04-04,3.8999969482421877,5
2020-04-05,2020-04-11,-6.1666615804036455,3
2020-04-12,2020-04-18,2.5666656494140625,3
2020-04-19,2020-04-25,2.34000244140625,5
2020-04-26,2020-05-02,-3.4333394368489394,3
2020-05-03,2020-05-09,3.9,5
2020-05-10,2020-05-16,-2.1200012207031365,5
2020-05-17,2020-05-23,-0.25999755859375,5
2020-05-24,2020-05-30,0.875,4
2020-05-31,2020-06-06,4.520001220703125,5
2020-06-07,2020-06-13,16.150001525878906,4
2020-06-14,2020-06-20,2.75999755859375,5
2020-06-21,2020-06-27,-7.679998779296875,5
2020-06-28,2020-07-04,30.5,5
2020-07-05,2020-07-11,-13.979998779296874,5
2020-07-12,2020-07-18,3.719995117187511,5
2020-07-19,2020-07-25,-0.9399963378906364,5
2020-07-26,2020-08-01,2.7750015258789062,4
2020-08-02,2020-08-08,8.919995117187511,5
2020-08-09,2020-08-15,-9.61999511718751,5
2020-08-16,2020-08-22,-6.980004882812489,5
2020-08-23,2020-08-29,5.480004882812489,5
2020-08-30,2020-09-05,-10.44000244140625,5
