first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-10,2019-03-16,0.75,5
2019-03-17,2019-03-23,0.0,5
2019-03-24,2019-03-30,-0.09999847412110086,5
2019-03-31,2019-04-06,1.8499984741211009,5
2019-04-07,2019-04-13,-2.625,5
2019-04-14,2019-04-20,0.125,5
2019-04-21,2019-04-27,0.0,5
2019-04-28,2019-05-04,-0.07499694824220171,5
2019-05-05,2019-05-11,0.0,5
2019-05-12,2019-05-18,-1.8666687011718655,3
2019-05-26,2019-06-01,4.5,2
2019-06-23,2019-06-29,0.125,5
2019-06-30,2019-07-06,1.3499984741210938,2
2019-07-28,2019-08-03,-4.900001525878892,2
2019-08-04,2019-08-10,-3.25,5
2019-08-11,2019-08-17,11.5250015258789,5
2019-08-18,2019-08-24,11.900001525878906,5
2019-08-25,2019-08-31,-2.4250030517578125,5
2019-09-01,2019-09-07,-0.0500030517578125,5
2019-09-08,2019-09-14,-3.8499984741210938,5
2019-09-15,2019-09-21,-3.466664632161477,4
2019-09-22,2019-09-28,2.474998474121108,5
2019-09-29,2019-10-05,0.0,2
2019-10-06,2019-10-12,7.150009155273409,3
2019-10-13,2019-10-19,-0.73333740234375,3
2019-10-20,2019-10-26,-3.0,3
2019-10-27,2019-11-02,-1.625,5
2019-11-03,2019-11-09,-4.475006103515625,5
2019-11-10,2019-11-16,2.100006103515625,5
2019-11-17,2019-11-23,-0.875,5
2019-11-24,2019-11-30,1.1749954223632955,5
2019-12-01,2019-12-07,0.125,5
2019-12-08,2019-12-14,-4.099998474121108,5
2019-12-15,2019-12-21,-1.375,5
2019-12-22,2019-12-28,-1.0,5
2019-12-29,2020-01-04,0.75,5
2020-01-05,2020-01-11,0.5,5
2020-01-12,2020-01-18,0.7000045776367188,5
2020-01-19,2020-01-25,-1.7750015258789062,5
2020-01-26,2020-02-01,1.5749969482421875,5
2020-02-02,2020-02-08,2.1500015258789062,5
2020-02-09,2020-02-15,-1.5500030517578125,5
2020-02-16,2020-02-22,-1.125,5
2020-02-23,2020-02-29,-1.25,5
2020-03-01,2020-03-07,2.366668701171894,4
2020-03-08,2020-03-14,-6.6000010172526045,4
2020-03-15,2020-03-21,-2.599998474121101,5
2020-03-22,2020-03-28,8.950000762939453,5
2020-03-29,2020-04-04,3.274993896484375,5
2020-04-05,2020-04-11,-6.1666615804036455,3
2020-04-12,2020-04-18,4.150001525878906,3
2020-04-19,2020-04-25,2.4500045776367045,5
2020-04-26,2020-05-02,-5.150009155273409,3
2020-05-03,2020-05-09,1.949996948242216,5
2020-05-10,2020-05-16,-2.6500015258789205,5
2020-05-17,2020-05-23,-0.3249969482421875,5
2020-05-24,2020-05-30,0.875,4
2020-05-31,2020-06-06,4.025001525878906,5
2020-06-07,2020-06-13,16.150001525878906,4
2020-06-14,2020-06-20,6.474998474121094,5
2020-06-21,2020-06-27,-11.449996948242188,5
2020-06-28,2020-07-04,38.07500457763672,5
2020-07-05,2020-07-11,-9.25,5
2020-07-12,2020-07-18,4.699996948242202,5
2020-07-19,2020-07-25,1.0250015258789062,5
2020-07-26,2020-08-01,2.7750015258789062,4
