first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,206.2,5
2019-09-15,2019-09-21,-12.0,4
2019-09-22,2019-09-28,306.0,5
2019-09-29,2019-10-05,34.5,2
2019-10-06,2019-10-12,76.33333333333333,3
2019-10-13,2019-10-19,123.33333333333333,3
2019-10-20,2019-10-26,40.666666666666664,3
2019-10-27,2019-11-02,-120.2,5
2019-11-03,2019-11-09,-40.8,5
2019-11-10,2019-11-16,-38.4,5
2019-11-17,2019-11-23,89.8,5
2019-11-24,2019-11-30,-45.2,5
2019-12-01,2019-12-07,-214.4,5
2019-12-08,2019-12-14,49.6,5
2019-12-15,2019-12-21,-75.0,5
2019-12-22,2019-12-28,-23.0,5
2019-12-29,2020-01-04,7.2,5
2020-01-05,2020-01-11,-4.6,5
2020-01-12,2020-01-18,29.6,5
2020-01-19,2020-01-25,253.4,5
2020-01-26,2020-02-01,-67.2,5
2020-02-02,2020-02-08,98.4,5
2020-02-09,2020-02-15,26.6,5
2020-02-16,2020-02-22,794.2,5
2020-02-23,2020-02-29,-158.0,5
2020-03-01,2020-03-07,322.5,4
2020-03-08,2020-03-14,-712.5,4
2020-03-15,2020-03-21,-330.0,5
2020-03-22,2020-03-28,0.0,5
2020-03-29,2020-04-04,-40.0,5
2020-04-05,2020-04-11,66.66666666666667,3
2020-04-12,2020-04-18,370.0,3
2020-04-19,2020-04-25,150.0,5
2020-04-26,2020-05-02,713.3333333333334,3
2020-05-03,2020-05-09,280.0,5
2020-05-10,2020-05-16,-26.0,5
2020-05-17,2020-05-23,226.0,5
2020-05-24,2020-05-30,522.5,4
2020-05-31,2020-06-06,-246.0,5
2020-06-07,2020-06-13,-147.5,4
2020-06-14,2020-06-20,52.0,5
2020-06-21,2020-06-27,454.0,5
2020-06-28,2020-07-04,-132.0,5
2020-07-05,2020-07-11,64.0,5
2020-07-12,2020-07-18,420.0,5
2020-07-19,2020-07-25,338.0,5
2020-07-26,2020-08-01,142.5,4
2020-08-02,2020-08-08,-244.0,5
2020-08-09,2020-08-15,-72.0,5
2020-08-16,2020-08-22,-38.0,5
2020-08-23,2020-08-29,960.0,5
2020-08-30,2020-09-05,-250.0,5
