first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-10,2019-03-16,-26.25,5
2019-03-17,2019-03-23,70.0,5
2019-03-24,2019-03-30,12.5,5
2019-03-31,2019-04-06,217.5,5
2019-04-07,2019-04-13,85.0,5
2019-04-14,2019-04-20,-120.0,5
2019-04-21,2019-04-27,-20.0,5
2019-04-28,2019-05-04,-150.0,5
2019-05-05,2019-05-11,-17.5,5
2019-05-12,2019-05-18,45.0,5
2019-05-19,2019-05-25,-27.5,5
2019-05-26,2019-06-01,170.0,5
2019-06-02,2019-06-08,-62.5,5
2019-06-09,2019-06-15,30.0,5
2019-06-16,2019-06-22,-35.0,5
2019-06-23,2019-06-29,20.0,5
2019-06-30,2019-07-06,-67.5,5
2019-07-07,2019-07-13,40.0,5
2019-07-14,2019-07-20,-42.5,5
2019-07-21,2019-07-27,52.5,5
2019-07-28,2019-08-03,-5.0,5
2019-08-04,2019-08-10,-90.0,5
2019-08-11,2019-08-17,-50.0,5
2019-08-18,2019-08-24,-5.0,5
2019-08-25,2019-08-31,22.5,5
2019-09-01,2019-09-07,-157.5,5
2019-09-08,2019-09-14,-10.0,5
2019-09-15,2019-09-21,-141.66666666666666,4
2019-09-22,2019-09-28,62.5,5
2019-09-29,2019-10-05,-85.0,2
2019-10-06,2019-10-12,195.0,3
2019-10-13,2019-10-19,-53.333333333333336,3
2019-10-20,2019-10-26,-76.66666666666667,3
2019-10-27,2019-11-02,-32.5,5
2019-11-03,2019-11-09,-67.5,5
2019-11-10,2019-11-16,-52.5,5
2019-11-17,2019-11-23,67.5,5
2019-11-24,2019-11-30,-15.0,5
2019-12-01,2019-12-07,-62.5,5
2019-12-08,2019-12-14,17.5,5
2019-12-15,2019-12-21,-60.0,5
2019-12-22,2019-12-28,-82.5,5
2019-12-29,2020-01-04,172.75,5
2020-01-05,2020-01-11,-156.0,5
2020-01-12,2020-01-18,82.25,5
2020-01-19,2020-01-25,-77.5,5
2020-01-26,2020-02-01,-98.75,5
2020-02-02,2020-02-08,37.75,5
2020-02-09,2020-02-15,32.75,5
2020-02-16,2020-02-22,74.5,5
2020-02-23,2020-02-29,-167.0,5
2020-03-01,2020-03-07,-189.0,4
2020-03-08,2020-03-14,-583.3333333333334,4
2020-03-15,2020-03-21,-91.25,5
2020-03-22,2020-03-28,352.0,5
2020-03-29,2020-04-04,155.25,5
2020-04-05,2020-04-11,360.0,3
2020-04-12,2020-04-18,41.5,3
2020-04-19,2020-04-25,-7.0,5
2020-04-26,2020-05-02,-61.0,3
2020-05-03,2020-05-09,44.75,5
2020-05-10,2020-05-16,-52.5,5
2020-05-17,2020-05-23,-114.0,5
2020-05-24,2020-05-30,-127.5,4
2020-05-31,2020-06-06,-94.25,5
2020-06-07,2020-06-13,35.5,4
2020-06-14,2020-06-20,71.5,5
2020-06-21,2020-06-27,-177.5,5
2020-06-28,2020-07-04,226.99994659423828,5
2020-07-05,2020-07-11,-159.25,5
2020-07-12,2020-07-18,-16.0,5
2020-07-19,2020-07-25,69.5,5
2020-07-26,2020-08-01,-103.25,4
