first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,-132.0,5
2019-09-15,2019-09-21,290.0,4
2019-09-22,2019-09-28,100.0,5
2019-09-29,2019-10-05,-625.0,2
2019-10-06,2019-10-12,366.6666666666667,3
2019-10-13,2019-10-19,190.0,3
2019-10-20,2019-10-26,-420.0,3
2019-10-27,2019-11-02,198.0,5
2019-11-03,2019-11-09,-110.0,5
2019-11-10,2019-11-16,-2.0,5
2019-11-17,2019-11-23,-266.0,5
2019-11-24,2019-11-30,344.0,5
2019-12-01,2019-12-07,-116.0,5
2019-12-08,2019-12-14,200.0,5
2019-12-15,2019-12-21,-494.0,5
2019-12-22,2019-12-28,-56.0,5
2019-12-29,2020-01-04,-192.0,5
2020-01-05,2020-01-11,134.0,5
2020-01-12,2020-01-18,-128.0,5
2020-01-19,2020-01-25,-254.0,5
2020-01-26,2020-02-01,-10.0,5
2020-02-02,2020-02-08,42.0,5
2020-02-09,2020-02-15,110.0,5
2020-02-16,2020-02-22,194.0,5
2020-02-23,2020-02-29,-546.0,5
2020-03-01,2020-03-07,-500.0,4
2020-03-08,2020-03-14,-1492.5,4
2020-03-15,2020-03-21,-16.0,5
2020-03-22,2020-03-28,6.0,5
2020-03-29,2020-04-04,-12.0,5
2020-04-05,2020-04-11,-73.33333333333333,3
2020-04-12,2020-04-18,-383.3333333333333,3
2020-04-19,2020-04-25,604.0,5
2020-04-26,2020-05-02,626.6666666666666,3
2020-05-03,2020-05-09,70.0,5
2020-05-10,2020-05-16,-258.0,5
2020-05-17,2020-05-23,384.0,5
2020-05-24,2020-05-30,92.5,4
2020-05-31,2020-06-06,600.0,5
2020-06-07,2020-06-13,-450.0,4
2020-06-14,2020-06-20,-96.0,5
2020-06-21,2020-06-27,-412.0,5
2020-06-28,2020-07-04,208.0,5
2020-07-05,2020-07-11,-560.0,5
2020-07-12,2020-07-18,-52.0,5
2020-07-19,2020-07-25,312.0,5
2020-07-26,2020-08-01,200.0,4
2020-08-02,2020-08-08,-222.0,5
2020-08-09,2020-08-15,0.0,5
2020-08-16,2020-08-22,-224.0,5
2020-08-23,2020-08-29,32.0,5
2020-08-30,2020-09-05,-566.0,5
