first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-03,2019-03-09,-1.0,5
2019-03-10,2019-03-16,1.8,5
2019-03-17,2019-03-23,-2.5199951171875,5
2019-03-24,2019-03-30,-7.6,5
2019-03-31,2019-04-06,-11.2800048828125,5
2019-04-07,2019-04-13,-5.05999755859375,5
2019-04-14,2019-04-20,-2.74000244140625,5
2019-04-21,2019-04-27,-4.54000244140625,5
2019-04-28,2019-05-04,-3.9199951171875,5
2019-05-05,2019-05-11,5.2,5
2019-05-12,2019-05-18,-3.0,5
2019-05-19,2019-05-25,1.9199951171875,5
2019-05-26,2019-06-01,-6.55999755859375,5
2019-06-02,2019-06-08,-7.640002441406227,5
2019-06-09,2019-06-15,-1.0400024414062727,5
2019-06-16,2019-06-22,-2.2199951171875,5
2019-06-23,2019-06-29,-8.75999755859375,5
2019-06-30,2019-07-06,-5.34000244140625,5
2019-07-07,2019-07-13,11.6,5
2019-07-14,2019-07-20,19.64000244140625,5
2019-07-21,2019-07-27,-13.05999755859375,5
2019-07-28,2019-08-03,-6.860003662109375,5
2019-08-04,2019-08-10,7.160003662109375,5
2019-08-11,2019-08-17,4.0199951171875,5
2019-08-18,2019-08-24,-29.0,5
2019-08-25,2019-08-31,-9.879998779296875,5
2019-09-01,2019-09-07,-2.360003662109375,5
2019-09-08,2019-09-14,-3.3,5
2019-09-15,2019-09-21,-5.774993896484375,4
2019-09-22,2019-09-28,-5.64000244140625,5
2019-09-29,2019-10-05,-10.5,2
2019-10-06,2019-10-12,-7.7666676839192705,3
2019-10-13,2019-10-19,-3.5,3
2019-10-20,2019-10-26,3.733332316080739,3
2019-10-27,2019-11-02,-5.459997558593761,5
2019-11-03,2019-11-09,10.299999999999994,5
2019-11-10,2019-11-16,-5.140002441406233,5
2019-11-17,2019-11-23,1.9600036621093693,5
2019-11-24,2019-11-30,-1.4600036621093693,5
2019-12-01,2019-12-07,-4.119998168945318,5
2019-12-08,2019-12-14,0.2600006103515568,5
2019-12-15,2019-12-21,3.8,5
2019-12-22,2019-12-28,3.5200012207031306,5
2019-12-29,2020-01-04,5.579998779296875,5
2020-01-05,2020-01-11,-4.0000000000000115,5
2020-01-12,2020-01-18,2.1200012207031365,5
2020-01-19,2020-01-25,15.0,5
2020-01-26,2020-02-01,-3.94000244140625,5
2020-02-02,2020-02-08,-5.9,5
2020-02-09,2020-02-15,9.1,5
2020-02-16,2020-02-22,45.54000244140625,5
2020-02-23,2020-02-29,-0.22000732421875,5
2020-03-01,2020-03-07,0.0250091552734375,4
2020-03-08,2020-03-14,-5.475006103515597,4
2020-03-15,2020-03-21,-4.619995117187545,5
2020-03-22,2020-03-28,-0.6400024414062273,5
2020-03-29,2020-04-04,3.3199951171875,5
2020-04-05,2020-04-11,8.633341471354166,3
2020-04-12,2020-04-18,0.8333333333333334,3
2020-04-19,2020-04-25,2.0199951171875,5
2020-04-26,2020-05-02,2.0333455403645835,3
2020-05-03,2020-05-09,0.0,1
