first_day_in_week,last_day_in_week,mean,days_in_week
2019-05-12,2019-05-18,-0.100006103515625,2
2019-05-19,2019-05-25,2.5500030517578125,5
2019-05-26,2019-06-01,-0.8000030517578125,5
2019-06-02,2019-06-08,4.0749969482421875,5
2019-06-09,2019-06-15,4.1750030517578125,5
2019-06-16,2019-06-22,-1.9499969482421875,5
2019-06-23,2019-06-29,0.25,5
2019-06-30,2019-07-06,-0.8499908447265625,5
2019-07-07,2019-07-13,-5.75,5
2019-07-14,2019-07-20,7.8499908447265625,5
2019-07-21,2019-07-27,-38.55000305175781,5
2019-07-28,2019-08-03,-1.399993896484375,5
2019-08-04,2019-08-10,7.9250030517578125,5
2019-08-11,2019-08-17,-12.550003051757812,5
2019-08-18,2019-08-24,0.225006103515625,5
2019-08-25,2019-08-31,4.8249969482421875,5
2019-09-01,2019-09-07,8.75,5
2019-09-08,2019-09-14,7.7249908447265625,5
2019-09-15,2019-09-21,-13.633341471354166,4
2019-09-22,2019-09-28,20.199996948242188,5
2019-09-29,2019-10-05,-12.29998779296875,2
2019-10-06,2019-10-12,6.199981689453125,3
2019-10-13,2019-10-19,-1.4666544596354167,3
2019-10-20,2019-10-26,5.699991861979167,3
2019-10-27,2019-11-02,-9.100006103515625,5
2019-11-03,2019-11-09,-1.524993896484375,5
2019-11-10,2019-11-16,-4.82501220703125,5
2019-11-17,2019-11-23,-0.1999969482421875,5
2019-11-24,2019-11-30,9.324996948242188,5
2019-12-01,2019-12-07,0.4499969482421875,5
2019-12-08,2019-12-14,2.524993896484375,5
2019-12-15,2019-12-21,1.0500030517578125,5
2019-12-22,2019-12-28,5.024993896484375,5
2019-12-29,2020-01-04,2.649993896484375,5
2020-01-05,2020-01-11,3.375,5
2020-01-12,2020-01-18,-8.399993896484375,5
2020-01-19,2020-01-25,-0.75,5
2020-01-26,2020-02-01,9.324996948242188,5
2020-02-02,2020-02-08,9.625,5
2020-02-09,2020-02-15,8.025009155273438,5
2020-02-16,2020-02-22,-5.274993896484375,5
2020-02-23,2020-02-29,-13.524993896484375,5
2020-03-01,2020-03-07,7.26666259765625,4
2020-03-08,2020-03-14,-19.433329264322918,4
2020-03-15,2020-03-21,23.949996948242188,5
2020-03-22,2020-03-28,8.975006103515625,5
2020-03-29,2020-04-04,1.0500030517578125,5
2020-04-05,2020-04-11,24.63334147135413,3
2020-04-12,2020-04-18,3.9000244140623863,3
2020-04-19,2020-04-25,-3.0749969482421875,5
2020-04-26,2020-05-02,-10.20001220703125,3
2020-05-03,2020-05-09,14.975006103515597,5
2020-05-10,2020-05-16,-10.574996948242188,5
2020-05-17,2020-05-23,5.375,5
2020-05-24,2020-05-30,28.5,4
2020-05-31,2020-06-06,11.25,5
2020-06-07,2020-06-13,-14.5,4
2020-06-14,2020-06-20,-5.25,5
2020-06-21,2020-06-27,-9.25,5
2020-06-28,2020-07-04,-4.7500104904174805,5
2020-07-05,2020-07-11,28.0,5
2020-07-12,2020-07-18,11.25,5
2020-07-19,2020-07-25,12.75,5
