first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,-0.5799987792968807,5
2019-09-15,2019-09-21,2.75,4
2019-09-22,2019-09-28,-1.140000915527341,5
2019-09-29,2019-10-05,-0.5,2
2019-10-06,2019-10-12,-2.0999984741210986,3
2019-10-13,2019-10-19,1.233332316080734,3
2019-10-20,2019-10-26,0.10000101725259943,3
2019-10-27,2019-11-02,-0.6200012207031194,5
2019-11-03,2019-11-09,-1.0399993896484403,5
2019-11-10,2019-11-16,-1.3199996948242188,5
2019-11-17,2019-11-23,-1.3199996948242188,5
2019-11-24,2019-11-30,-0.120001220703125,5
2019-12-01,2019-12-07,-0.9,5
2019-12-08,2019-12-14,0.24000091552734376,5
2019-12-15,2019-12-21,-0.34000091552734374,5
2019-12-22,2019-12-28,-0.9,5
2019-12-29,2020-01-04,1.5600006103515625,5
2020-01-05,2020-01-11,1.4800003051757813,5
2020-01-12,2020-01-18,-1.2,5
2020-01-19,2020-01-25,0.08000030517578124,5
2020-01-26,2020-02-01,1.4,5
2020-02-02,2020-02-08,-2.0600006103515627,5
2020-02-09,2020-02-15,-1.5199996948242216,5
2020-02-16,2020-02-22,0.3599990844726591,5
2020-02-23,2020-02-29,-1.1,5
2020-03-01,2020-03-07,-0.9249992370605469,4
2020-03-08,2020-03-14,-4.949999809265137,4
2020-03-15,2020-03-21,-0.9400001525878906,5
2020-03-22,2020-03-28,0.08000030517578124,5
2020-03-29,2020-04-04,3.2199996948242187,5
2020-04-05,2020-04-11,-0.5333328247070336,3
2020-04-12,2020-04-18,-0.23333358764648202,3
2020-04-19,2020-04-25,0.31999969482421875,5
2020-04-26,2020-05-02,-0.2666664123535156,3
2020-05-03,2020-05-09,2.5199996948242216,5
2020-05-10,2020-05-16,-0.43999938964844176,5
2020-05-17,2020-05-23,-1.3400001525878893,5
2020-05-24,2020-05-30,2.9999990463256836,4
2020-05-31,2020-06-06,-0.6399993896484375,5
2020-06-07,2020-06-13,3.0249996185302734,4
2020-06-14,2020-06-20,1.1400009155273438,5
2020-06-21,2020-06-27,3.8799987792968778,5
2020-06-28,2020-07-04,2.9600006103515595,5
2020-07-05,2020-07-11,-1.4399993896484404,5
2020-07-12,2020-07-18,-0.6600006103515597,5
2020-07-19,2020-07-25,-0.9399993896484403,5
2020-07-26,2020-08-01,0.4249992370605504,4
2020-08-02,2020-08-08,-1.7,5
2020-08-09,2020-08-15,-2.3199996948242188,5
2020-08-16,2020-08-22,-0.9800003051757813,5
2020-08-23,2020-08-29,-0.8199996948242188,5
2020-08-30,2020-09-05,-1.8600006103515596,5
