first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,-0.019998168945318185,5
2019-09-15,2019-09-21,-0.22500228881835227,4
2019-09-22,2019-09-28,-0.1399993896484432,5
2019-09-29,2019-10-05,-4.150001525878906,2
2019-10-06,2019-10-12,-0.8666636149088541,3
2019-10-13,2019-10-19,1.1000010172526042,3
2019-10-20,2019-10-26,1.633331298828125,3
2019-10-27,2019-11-02,-0.7600006103515625,5
2019-11-03,2019-11-09,0.3600006103515625,5
2019-11-10,2019-11-16,0.2600006103515625,5
2019-11-17,2019-11-23,-2.6399993896484375,5
2019-11-24,2019-11-30,0.2199981689453125,5
2019-12-01,2019-12-07,-1.0,5
2019-12-08,2019-12-14,-1.6,5
2019-12-15,2019-12-21,-1.8199981689453124,5
2019-12-22,2019-12-28,0.479998779296875,5
2019-12-29,2020-01-04,-0.3600006103515625,5
2020-01-05,2020-01-11,-0.6199981689453125,5
2020-01-12,2020-01-18,2.979998779296875,5
2020-01-19,2020-01-25,-1.3,5
2020-01-26,2020-02-01,-0.120001220703125,5
2020-02-02,2020-02-08,-1.2199981689453125,5
2020-02-09,2020-02-15,-0.620001220703125,5
2020-02-16,2020-02-22,0.6800018310546875,5
2020-02-23,2020-02-29,0.5399993896484375,5
2020-03-01,2020-03-07,-0.8500022888183594,4
2020-03-08,2020-03-14,-6.44999885559082,4
2020-03-15,2020-03-21,-8.4,5
2020-03-22,2020-03-28,-0.01999969482421875,5
2020-03-29,2020-04-04,1.9399993896484375,5
2020-04-05,2020-04-11,0.40000152587890625,3
2020-04-12,2020-04-18,2.0333328247070312,3
2020-04-19,2020-04-25,-3.4,5
2020-04-26,2020-05-02,1.3999989827473958,3
2020-05-03,2020-05-09,-0.6399993896484375,5
2020-05-10,2020-05-16,-0.8199996948242188,5
2020-05-17,2020-05-23,-0.4,5
2020-05-24,2020-05-30,-0.05000114440917969,4
2020-05-31,2020-06-06,0.5400009155273438,5
2020-06-07,2020-06-13,-0.5750007629394531,4
2020-06-14,2020-06-20,-0.6399993896484404,5
2020-06-21,2020-06-27,-1.8400001525878877,5
2020-06-28,2020-07-04,-1.4400001525878907,5
2020-07-05,2020-07-11,-0.7400001525878906,5
2020-07-12,2020-07-18,1.6800003051757812,5
2020-07-19,2020-07-25,0.15999984741210938,5
2020-07-26,2020-08-01,0.19999980926513672,4
2020-08-02,2020-08-08,0.28000030517578123,5
2020-08-09,2020-08-15,0.6200004577636719,5
2020-08-16,2020-08-22,-0.8000007629394531,5
2020-08-23,2020-08-29,-0.5,5
2020-08-30,2020-09-05,-0.04000015258789062,5
