first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,1.1200012207031194,5
2019-09-15,2019-09-21,-1.6500015258788991,4
2019-09-22,2019-09-28,0.16000061035155966,5
2019-09-29,2019-10-05,-0.5499992370605469,2
2019-10-06,2019-10-12,0.6666666666666666,3
2019-10-13,2019-10-19,0.0666656494140625,3
2019-10-20,2019-10-26,0.16666666666666666,3
2019-10-27,2019-11-02,-0.08000030517577841,5
2019-11-03,2019-11-09,-0.4399993896484403,5
2019-11-10,2019-11-16,-0.4,5
2019-11-17,2019-11-23,-0.08000030517578124,5
2019-11-24,2019-11-30,0.5800003051757813,5
2019-12-01,2019-12-07,-0.5,5
2019-12-08,2019-12-14,0.08000030517578124,5
2019-12-15,2019-12-21,-0.31999969482421875,5
2019-12-22,2019-12-28,0.379998779296875,5
2019-12-29,2020-01-04,-0.15999908447265626,5
2020-01-05,2020-01-11,0.1399993896484375,5
2020-01-12,2020-01-18,0.2,5
2020-01-19,2020-01-25,0.3400009155273409,5
2020-01-26,2020-02-01,0.7,5
2020-02-02,2020-02-08,0.059999084472659094,5
2020-02-09,2020-02-15,-0.3,5
2020-02-16,2020-02-22,0.0,5
2020-02-23,2020-02-29,-0.38000030517577843,5
2020-03-01,2020-03-07,-1.2500000000000036,4
2020-03-08,2020-03-14,-2.424999237060547,4
2020-03-15,2020-03-21,-1.0800003051757812,5
2020-03-22,2020-03-28,-0.7999999999999972,5
2020-03-29,2020-04-04,-0.7199996948242215,5
2020-04-05,2020-04-11,3.4333343505859375,3
2020-04-12,2020-04-18,0.26666514078776044,3
2020-04-19,2020-04-25,-0.38000030517578126,5
2020-04-26,2020-05-02,2.9666671752929688,3
2020-05-03,2020-05-09,0.7800003051757812,5
2020-05-10,2020-05-16,-1.5800003051757812,5
2020-05-17,2020-05-23,0.8,5
2020-05-24,2020-05-30,0.5750007629394531,4
2020-05-31,2020-06-06,-0.8400009155273438,5
2020-06-07,2020-06-13,0.47500038146972656,4
2020-06-14,2020-06-20,1.0800003051757812,5
2020-06-21,2020-06-27,-2.5,5
2020-06-28,2020-07-04,0.21999969482421874,5
2020-07-05,2020-07-11,-0.8800003051757812,5
2020-07-12,2020-07-18,0.120001220703125,5
2020-07-19,2020-07-25,2.1399993896484375,5
2020-07-26,2020-08-01,-0.6749992370605469,4
2020-08-02,2020-08-08,-0.08000030517578124,5
2020-08-09,2020-08-15,1.5800003051757812,5
2020-08-16,2020-08-22,0.2,5
2020-08-23,2020-08-29,0.9199996948242187,5
2020-08-30,2020-09-05,-1.0800003051757812,5
