first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,0.0006000041961669922,5
2019-09-15,2019-09-21,-0.0015000030398368835,4
2019-09-22,2019-09-28,0.0,5
2019-09-29,2019-10-05,-0.004999995231628418,2
2019-10-06,2019-10-12,0.005666663249333699,3
2019-10-13,2019-10-19,-0.0023333330949147544,3
2019-10-20,2019-10-26,-0.0009999970595042096,3
2019-10-27,2019-11-02,0.0005999982357025258,5
2019-11-03,2019-11-09,-0.004799997806549073,5
2019-11-10,2019-11-16,-0.0009999990463256947,5
2019-11-17,2019-11-23,-0.0041999995708465465,5
2019-11-24,2019-11-30,-0.002000004053115856,5
2019-12-01,2019-12-07,-0.0005999982357024925,5
2019-12-08,2019-12-14,-0.0008000016212463378,5
2019-12-15,2019-12-21,0.0006000041961669811,5
2019-12-22,2019-12-28,0.002799999713897705,5
2019-12-29,2020-01-04,-0.00020000338554382324,5
2020-01-05,2020-01-11,-0.0025999963283538817,5
2020-01-12,2020-01-18,0.0,5
2020-01-19,2020-01-25,0.0011999964714050292,5
2020-01-26,2020-02-01,-0.0011999964714050292,5
2020-02-02,2020-02-08,-0.004000002145767201,5
2020-02-09,2020-02-15,0.0,2
2020-02-16,2020-02-22,-0.0016000032424926757,5
2020-02-23,2020-02-29,0.0,2
2020-03-01,2020-03-07,-0.8666667938232399,4
2020-03-08,2020-03-14,-6.724250096827746,4
2020-03-15,2020-03-21,0.005400002002716076,5
2020-03-22,2020-03-28,0.0009999990463256726,5
2020-03-29,2020-04-04,0.0045999974012374874,5
2020-04-05,2020-04-11,-0.001666665077209491,3
2020-04-12,2020-04-18,0.001666665077209491,3
2020-04-19,2020-04-25,0.003200000524520863,5
2020-04-26,2020-05-02,0.004666666189829509,3
2020-05-03,2020-05-09,-0.002799999713897705,5
2020-05-10,2020-05-16,0.0012000024318695069,5
2020-05-17,2020-05-23,0.004000002145767212,5
2020-05-24,2020-05-30,0.002499997615814209,4
2020-05-31,2020-06-06,0.0,2
