first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,1.6200012207031194,5
2019-09-15,2019-09-21,0.8249969482422017,4
2019-09-22,2019-09-28,5.120001220703119,5
2019-09-29,2019-10-05,2.0,2
2019-10-06,2019-10-12,0.7000020345052084,3
2019-10-13,2019-10-19,-0.7999979654947916,3
2019-10-20,2019-10-26,-3.6666666666666665,3
2019-10-27,2019-11-02,-0.4,5
2019-11-03,2019-11-09,-0.34000244140625,5
2019-11-10,2019-11-16,-2.0,5
2019-11-17,2019-11-23,1.7200012207031137,5
2019-11-24,2019-11-30,-5.399999999999994,5
2019-12-01,2019-12-07,-2.8,5
2019-12-08,2019-12-14,-1.8400024414062386,5
2019-12-15,2019-12-21,-0.7599975585937614,5
2019-12-22,2019-12-28,0.4,5
2019-12-29,2020-01-04,-0.7,5
2020-01-05,2020-01-11,12.539996337890631,5
2020-01-12,2020-01-18,-1.0199951171875,5
2020-01-19,2020-01-25,0.6199951171875,5
2020-01-26,2020-02-01,0.7800048828125,5
2020-02-02,2020-02-08,-2.2200012207031365,5
2020-02-09,2020-02-15,-0.7200012207031137,5
2020-02-16,2020-02-22,-0.22000122070311362,5
2020-02-23,2020-02-29,-1.6799987792968865,5
2020-03-01,2020-03-07,-4.549999237060547,4
2020-03-08,2020-03-14,-11.075000762939453,4
2020-03-15,2020-03-21,-10.639999389648443,5
2020-03-22,2020-03-28,0.3399993896484432,5
2020-03-29,2020-04-04,1.179998779296875,5
2020-04-05,2020-04-11,7.2666676839192705,3
2020-04-12,2020-04-18,5.366668701171875,3
2020-04-19,2020-04-25,-9.700000000000006,5
2020-04-26,2020-05-02,5.399998982747405,3
2020-05-03,2020-05-09,-1.8,5
2020-05-10,2020-05-16,-0.620001220703125,5
2020-05-17,2020-05-23,2.020001220703125,5
2020-05-24,2020-05-30,6.674999237060547,4
2020-05-31,2020-06-06,-1.6600006103515625,5
2020-06-07,2020-06-13,-3.549999237060547,4
2020-06-14,2020-06-20,0.4,5
2020-06-21,2020-06-27,0.3600006103515625,5
2020-06-28,2020-07-04,-0.7,5
2020-07-05,2020-07-11,-1.6,5
2020-07-12,2020-07-18,2.9,5
2020-07-19,2020-07-25,0.720001220703125,5
2020-07-26,2020-08-01,-0.15000152587890625,4
2020-08-02,2020-08-08,-0.320001220703125,5
2020-08-09,2020-08-15,1.3600006103515625,5
2020-08-16,2020-08-22,4.2,5
2020-08-23,2020-08-29,7.839999389648443,5
2020-08-30,2020-09-05,10.960003662109369,5
