first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,-6.4,5
2019-09-15,2019-09-21,-12.25,4
2019-09-22,2019-09-28,-25.2,5
2019-09-29,2019-10-05,-5.0,2
2019-10-06,2019-10-12,-6.666666666666667,3
2019-10-13,2019-10-19,-7.666666666666667,3
2019-10-20,2019-10-26,32.333333333333336,3
2019-10-27,2019-11-02,-9.0,5
2019-11-03,2019-11-09,-6.6,5
2019-11-10,2019-11-16,5.2,5
2019-11-17,2019-11-23,-35.2,5
2019-11-24,2019-11-30,-8.4,5
2019-12-01,2019-12-07,-1.8,5
2019-12-08,2019-12-14,-3.0,5
2019-12-15,2019-12-21,-5.6,5
2019-12-22,2019-12-28,-32.0,5
2019-12-29,2020-01-04,13.2,5
2020-01-05,2020-01-11,-7.2,5
2020-01-12,2020-01-18,-1.0,5
2020-01-19,2020-01-25,-5.8,5
2020-01-26,2020-02-01,-10.4,5
2020-02-02,2020-02-08,-7.8,5
2020-02-09,2020-02-15,13.8,5
2020-02-16,2020-02-22,2.0,5
2020-02-23,2020-02-29,-22.0,5
2020-03-01,2020-03-07,-25.0,4
2020-03-08,2020-03-14,-126.75,4
2020-03-15,2020-03-21,-7.8,5
2020-03-22,2020-03-28,16.6,5
2020-03-29,2020-04-04,-19.4,5
2020-04-05,2020-04-11,57.333333333333336,3
2020-04-12,2020-04-18,29.0,3
2020-04-19,2020-04-25,19.6,5
2020-04-26,2020-05-02,11.666666666666666,3
2020-05-03,2020-05-09,-15.2,5
2020-05-10,2020-05-16,-7.4,5
2020-05-17,2020-05-23,3.0,5
2020-05-24,2020-05-30,-31.25,4
2020-05-31,2020-06-06,51.6,5
2020-06-07,2020-06-13,65.5,4
2020-06-14,2020-06-20,16.4,5
2020-06-21,2020-06-27,-39.0,5
2020-06-28,2020-07-04,-52.4,5
2020-07-05,2020-07-11,-40.8,5
2020-07-12,2020-07-18,7.0,5
2020-07-19,2020-07-25,-20.0,5
2020-07-26,2020-08-01,5.25,4
2020-08-02,2020-08-08,72.8,5
2020-08-09,2020-08-15,17.4,5
2020-08-16,2020-08-22,10.8,5
2020-08-23,2020-08-29,-2.4,5
2020-08-30,2020-09-05,33.8,5
