first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,7.159997558593773,5
2019-09-15,2019-09-21,3.725006103515625,4
2019-09-22,2019-09-28,-0.22000732421875,5
2019-09-29,2019-10-05,-36.699981689453125,2
2019-10-06,2019-10-12,-14.833343505859375,3
2019-10-13,2019-10-19,-14.899993896484375,3
2019-10-20,2019-10-26,-7.066670735677083,3
2019-10-27,2019-11-02,-2.45999755859375,5
2019-11-03,2019-11-09,2.1,5
2019-11-10,2019-11-16,1.179998779296875,5
2019-11-17,2019-11-23,6.35999755859375,5
2019-11-24,2019-11-30,-3.75999755859375,5
2019-12-01,2019-12-07,-1.84000244140625,5
2019-12-08,2019-12-14,-4.65999755859375,5
2019-12-15,2019-12-21,0.8399963378906363,5
2019-12-22,2019-12-28,-8.219995117187512,5
2019-12-29,2020-01-04,4.539996337890625,5
2020-01-05,2020-01-11,-7.2,5
2020-01-12,2020-01-18,-1.339996337890625,5
2020-01-19,2020-01-25,1.039996337890625,5
2020-01-26,2020-02-01,1.120001220703125,5
2020-02-02,2020-02-08,-3.74000244140625,5
2020-02-09,2020-02-15,0.9,5
2020-02-16,2020-02-22,2.220001220703125,5
2020-02-23,2020-02-29,1.34000244140625,5
2020-03-01,2020-03-07,-2.1750030517578125,4
2020-03-08,2020-03-14,-19.17499542236328,4
2020-03-15,2020-03-21,-5.04000244140625,5
2020-03-22,2020-03-28,4.6,5
2020-03-29,2020-04-04,3.6,5
2020-04-05,2020-04-11,-2.7000020345051894,3
2020-04-12,2020-04-18,3.533335367838523,3
2020-04-19,2020-04-25,0.1,5
2020-04-26,2020-05-02,7.033335367838542,3
2020-05-03,2020-05-09,-2.220001220703125,5
2020-05-10,2020-05-16,0.3,5
2020-05-17,2020-05-23,0.0,5
2020-05-24,2020-05-30,2.875,4
2020-05-31,2020-06-06,-2.04000244140625,5
2020-06-07,2020-06-13,-0.399993896484375,4
2020-06-14,2020-06-20,1.179998779296875,5
2020-06-21,2020-06-27,1.179998779296875,5
2020-06-28,2020-07-04,-1.5,5
2020-07-05,2020-07-11,1.5,5
2020-07-12,2020-07-18,-2.4,5
2020-07-19,2020-07-25,0.4,5
2020-07-26,2020-08-01,-0.0749969482421875,4
2020-08-02,2020-08-08,2.079998779296875,5
2020-08-09,2020-08-15,0.4,5
2020-08-16,2020-08-22,-2.220001220703125,5
2020-08-23,2020-08-29,1.3,5
2020-08-30,2020-09-05,-5.1,5
