first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,-162.0,5
2019-09-15,2019-09-21,425.0,4
2019-09-22,2019-09-28,40.0,5
2019-09-29,2019-10-05,300.0,2
2019-10-06,2019-10-12,66.66666666666667,3
2019-10-13,2019-10-19,250.0,3
2019-10-20,2019-10-26,96.66666666666667,3
2019-10-27,2019-11-02,-164.0,5
2019-11-03,2019-11-09,-24.0,5
2019-11-10,2019-11-16,-380.0,5
2019-11-17,2019-11-23,278.0,5
2019-11-24,2019-11-30,-164.0,5
2019-12-01,2019-12-07,-298.0,5
2019-12-08,2019-12-14,356.0,5
2019-12-15,2019-12-21,-32.0,5
2019-12-22,2019-12-28,-92.0,5
2019-12-29,2020-01-04,76.0,5
2020-01-05,2020-01-11,-234.0,5
2020-01-12,2020-01-18,86.0,5
2020-01-19,2020-01-25,-26.0,5
2020-01-26,2020-02-01,-486.0,5
2020-02-02,2020-02-08,-96.0,5
2020-02-09,2020-02-15,214.0,5
2020-02-16,2020-02-22,112.0,5
2020-02-23,2020-02-29,-616.0,5
2020-03-01,2020-03-07,-497.5,4
2020-03-08,2020-03-14,-1000.0,4
2020-03-15,2020-03-21,-340.0,5
2020-03-22,2020-03-28,434.0,5
2020-03-29,2020-04-04,546.0,5
2020-04-05,2020-04-11,476.6666666666667,3
2020-04-12,2020-04-18,-206.66666666666666,3
2020-04-19,2020-04-25,122.0,5
2020-04-26,2020-05-02,260.0,3
2020-05-03,2020-05-09,40.0,5
2020-05-10,2020-05-16,58.0,5
2020-05-17,2020-05-23,160.0,5
2020-05-24,2020-05-30,-270.0,4
2020-05-31,2020-06-06,-102.0,5
2020-06-07,2020-06-13,-85.0,4
2020-06-14,2020-06-20,-144.0,5
2020-06-21,2020-06-27,-220.0,5
2020-06-28,2020-07-04,36.0,5
2020-07-05,2020-07-11,-350.0,5
2020-07-12,2020-07-18,60.0,5
2020-07-19,2020-07-25,-16.0,5
2020-07-26,2020-08-01,-155.0,4
2020-08-02,2020-08-08,116.0,5
2020-08-09,2020-08-15,360.0,5
2020-08-16,2020-08-22,-10.0,5
2020-08-23,2020-08-29,116.0,5
2020-08-30,2020-09-05,-176.0,5
