first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,-134.6,5
2019-09-15,2019-09-21,2.25,4
2019-09-22,2019-09-28,-114.4,5
2019-09-29,2019-10-05,-64.0,2
2019-10-06,2019-10-12,-162.33333333333334,3
2019-10-13,2019-10-19,-287.3333333333333,3
2019-10-20,2019-10-26,-188.66666666666666,3
2019-10-27,2019-11-02,-181.6,5
2019-11-03,2019-11-09,41.6,5
2019-11-10,2019-11-16,-106.4,5
2019-11-17,2019-11-23,-10.0,5
2019-11-24,2019-11-30,238.4,5
2019-12-01,2019-12-07,-177.6,5
2019-12-08,2019-12-14,-134.2,5
2019-12-15,2019-12-21,-29.6,5
2019-12-22,2019-12-28,-100.2,5
2019-12-29,2020-01-04,-51.2,5
2020-01-05,2020-01-11,-103.6,5
2020-01-12,2020-01-18,-5.2,5
2020-01-19,2020-01-25,15.4,5
2020-01-26,2020-02-01,21.6,5
2020-02-02,2020-02-08,3.8,5
2020-02-09,2020-02-15,-125.2,5
2020-02-16,2020-02-22,-38.8,5
2020-02-23,2020-02-29,-56.6,5
2020-03-01,2020-03-07,45.25,4
2020-03-08,2020-03-14,-126.75,4
2020-03-15,2020-03-21,-34.8,5
2020-03-22,2020-03-28,-13.819995117187522,5
2020-03-29,2020-04-04,-2.6600097656249546,5
2020-04-05,2020-04-11,-3.1666666666666665,3
2020-04-12,2020-04-18,694.9666748046875,3
2020-04-19,2020-04-25,127.4,5
2020-04-26,2020-05-02,-62.333333333333336,3
2020-05-03,2020-05-09,-43.6,5
2020-05-10,2020-05-16,-22.4,5
2020-05-17,2020-05-23,-19.8,5
2020-05-24,2020-05-30,-30.25,4
2020-05-31,2020-06-06,-41.2,5
2020-06-07,2020-06-13,-52.75,4
2020-06-14,2020-06-20,29.4,5
2020-06-21,2020-06-27,-15.0,5
2020-06-28,2020-07-04,46.4,5
2020-07-05,2020-07-11,10.8,5
2020-07-12,2020-07-18,-44.8,5
2020-07-19,2020-07-25,-39.4,5
2020-07-26,2020-08-01,-14.25,4
2020-08-02,2020-08-08,45.2,5
2020-08-09,2020-08-15,-35.6,5
2020-08-16,2020-08-22,1.0,5
2020-08-23,2020-08-29,25.8,5
2020-08-30,2020-09-05,-51.2,5
