first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-03,2019-03-09,-937.5,5
2019-03-10,2019-03-16,-1272.5,5
2019-03-17,2019-03-23,-1422.5,5
2019-03-24,2019-03-30,-275.0,5
2019-03-31,2019-04-06,-755.0,5
2019-04-07,2019-04-13,295.0,5
2019-04-14,2019-04-20,1395.0,5
2019-04-21,2019-04-27,175.0,5
2019-04-28,2019-05-04,-2225.0,5
2019-05-05,2019-05-11,1017.5,5
2019-05-12,2019-05-18,-512.5,5
2019-05-19,2019-05-25,-475.0,5
2019-05-26,2019-06-01,-1447.5,5
2019-06-02,2019-06-08,37.5,5
2019-06-09,2019-06-15,607.5,5
2019-06-16,2019-06-22,532.5,5
2019-06-23,2019-06-29,395.0,5
2019-06-30,2019-07-06,-625.0,5
2019-07-07,2019-07-13,-800.0,5
2019-07-14,2019-07-20,-505.0,5
2019-07-21,2019-07-27,185.0,5
2019-07-28,2019-08-03,1002.5,5
2019-08-04,2019-08-10,-627.5,5
2019-08-11,2019-08-17,-2215.0,5
2019-08-18,2019-08-24,-547.5,5
2019-08-25,2019-08-31,25.0,5
2019-09-01,2019-09-07,305.0,5
2019-09-08,2019-09-14,517.5,5
2019-09-15,2019-09-21,846.6666666666666,4
2019-09-22,2019-09-28,250.0,5
2019-09-29,2019-10-05,-2175.0,2
2019-10-06,2019-10-12,-975.0,3
2019-10-13,2019-10-19,480.0,3
2019-10-20,2019-10-26,-560.0,3
2019-10-27,2019-11-02,-1087.5,5
2019-11-03,2019-11-09,555.0,5
2019-11-10,2019-11-16,-360.0,5
2019-11-17,2019-11-23,-270.0,5
2019-11-24,2019-11-30,620.0,5
2019-12-01,2019-12-07,370.0,5
2019-12-08,2019-12-14,-1037.5,5
2019-12-15,2019-12-21,482.5,5
2019-12-22,2019-12-28,370.0,5
2019-12-29,2020-01-04,482.5,5
2020-01-05,2020-01-11,-350.0,5
2020-01-12,2020-01-18,-832.5,5
2020-01-19,2020-01-25,-1337.5,5
2020-01-26,2020-02-01,-187.5,5
2020-02-02,2020-02-08,192.5,5
2020-02-09,2020-02-15,160.0,5
2020-02-16,2020-02-22,-1327.5,5
2020-02-23,2020-02-29,-20.0,5
2020-03-01,2020-03-07,-1400.0,4
2020-03-08,2020-03-14,-2643.3333333333335,4
2020-03-15,2020-03-21,1072.5,5
2020-03-22,2020-03-28,295.0,5
2020-03-29,2020-04-04,-310.0,5
2020-04-05,2020-04-11,1916.6666666666667,3
2020-04-12,2020-04-18,-1100.0,3
2020-04-19,2020-04-25,1247.5,5
2020-04-26,2020-05-02,-955.0,3
2020-05-03,2020-05-09,637.5,5
2020-05-10,2020-05-16,-2435.0,5
2020-05-17,2020-05-23,1070.0,5
2020-05-24,2020-05-30,-300.0,4
2020-05-31,2020-06-06,812.5,5
2020-06-07,2020-06-13,-220.0,4
2020-06-14,2020-06-20,-1380.0,5
2020-06-21,2020-06-27,-655.0,5
2020-06-28,2020-07-04,365.0001525878906,5
2020-07-05,2020-07-11,30.0,5
2020-07-12,2020-07-18,77.5,5
2020-07-19,2020-07-25,787.5,5
