first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,16.4,5
2019-09-15,2019-09-21,-14.25,4
2019-09-22,2019-09-28,-0.2,5
2019-09-29,2019-10-05,-18.0,2
2019-10-06,2019-10-12,81.0,3
2019-10-13,2019-10-19,29.666666666666668,3
2019-10-20,2019-10-26,-12.0,3
2019-10-27,2019-11-02,0.6,5
2019-11-03,2019-11-09,-13.4,5
2019-11-10,2019-11-16,-26.8,5
2019-11-17,2019-11-23,42.2,5
2019-11-24,2019-11-30,-1.8,5
2019-12-01,2019-12-07,7.6,5
2019-12-08,2019-12-14,60.8,5
2019-12-15,2019-12-21,60.4,5
2019-12-22,2019-12-28,42.6,5
2019-12-29,2020-01-04,2.8,5
2020-01-05,2020-01-11,66.0,5
2020-01-12,2020-01-18,-1.2,5
2020-01-19,2020-01-25,-46.0,5
2020-01-26,2020-02-01,11.2,5
2020-02-02,2020-02-08,136.4,5
2020-02-09,2020-02-15,52.4,5
2020-02-16,2020-02-22,2.6,5
2020-02-23,2020-02-29,-104.0,5
2020-03-01,2020-03-07,-97.0,4
2020-03-08,2020-03-14,-436.75,4
2020-03-15,2020-03-21,-144.2,5
2020-03-22,2020-03-28,152.4,5
2020-03-29,2020-04-04,94.8,5
2020-04-05,2020-04-11,155.0,3
2020-04-12,2020-04-18,-100.33333333333333,3
2020-04-19,2020-04-25,-63.6,5
2020-04-26,2020-05-02,-80.0,3
2020-05-03,2020-05-09,17.8,5
2020-05-10,2020-05-16,-77.8,5
2020-05-17,2020-05-23,17.8,5
2020-05-24,2020-05-30,-17.5,4
2020-05-31,2020-06-06,11.2,5
2020-06-07,2020-06-13,11.0,4
2020-06-14,2020-06-20,-26.0,5
2020-06-21,2020-06-27,-13.2,5
2020-06-28,2020-07-04,-58.0,5
2020-07-05,2020-07-11,-42.4,5
2020-07-12,2020-07-18,27.6,5
2020-07-19,2020-07-25,-28.6,5
2020-07-26,2020-08-01,-10.5,4
2020-08-02,2020-08-08,68.6,5
2020-08-09,2020-08-15,0.2,5
2020-08-16,2020-08-22,-10.4,5
2020-08-23,2020-08-29,30.0,5
2020-08-30,2020-09-05,-66.0,5
