first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-03,2019-03-09,0.0,1
2019-04-21,2019-04-27,2.6999969482421875,2
2019-04-28,2019-05-04,0.625,5
2019-05-05,2019-05-11,0.2999992370605469,5
2019-05-12,2019-05-18,-0.20000076293945312,5
2019-05-19,2019-05-25,-1.7999992370605469,5
2019-05-26,2019-06-01,-0.4500007629394531,5
2019-06-02,2019-06-08,-0.8250007629394531,5
2019-06-09,2019-06-15,0.3000030517578125,5
2019-06-16,2019-06-22,-0.325000762939446,5
2019-06-23,2019-06-29,0.8499984741210938,5
2019-06-30,2019-07-06,0.07500076293945312,5
2019-07-07,2019-07-13,-0.14999771118164062,5
2019-07-14,2019-07-20,-1.75,5
2019-07-21,2019-07-27,0.4499969482421875,5
2019-07-28,2019-08-03,-0.25,5
2019-08-04,2019-08-10,1.125,5
2019-08-11,2019-08-17,-0.375,5
2019-08-18,2019-08-24,-0.5250015258789062,5
2019-08-25,2019-08-31,-1.125,5
2019-09-01,2019-09-07,0.34999847412109375,5
2019-09-08,2019-09-14,0.07500076293944602,5
2019-09-15,2019-09-21,0.6666666666666666,4
2019-09-22,2019-09-28,0.8499984741210938,5
2019-09-29,2019-10-05,0.0500030517578125,2
2019-10-06,2019-10-12,-2.2999954223632812,3
2019-10-13,2019-10-19,0.8666636149088637,3
2019-10-20,2019-10-26,0.06666564941405302,3
2019-10-27,2019-11-02,0.09999847412109375,5
2019-11-03,2019-11-09,-0.4250030517578125,5
2019-11-10,2019-11-16,-2.6000003814697195,5
2019-11-17,2019-11-23,0.125,5
2019-11-24,2019-11-30,0.6500015258788991,5
2019-12-01,2019-12-07,0.39999771118164773,5
2019-12-08,2019-12-14,-0.04999923706055398,5
2019-12-15,2019-12-21,1.25,5
2019-12-22,2019-12-28,-0.625,5
2019-12-29,2020-01-04,-0.4499969482421875,5
2020-01-05,2020-01-11,-0.125,5
2020-01-12,2020-01-18,-0.4999980926513672,5
2020-01-19,2020-01-25,0.6499996185302734,5
2020-01-26,2020-02-01,1.1000003814697266,5
2020-02-02,2020-02-08,0.9749984741211044,5
2020-02-09,2020-02-15,0.5999984741210938,5
2020-02-16,2020-02-22,2.9000015258789062,5
2020-02-23,2020-02-29,-0.5749969482421875,5
2020-03-01,2020-03-07,-0.09999593098958333,4
2020-03-08,2020-03-14,-1.2666676839192803,4
2020-03-15,2020-03-21,-0.575000762939446,5
2020-03-22,2020-03-28,0.25,5
2020-03-29,2020-04-04,-1.4249992370605504,5
2020-04-05,2020-04-11,2.7999979654948057,3
2020-04-12,2020-04-18,-2.25,3
2020-04-19,2020-04-25,1.0250015258789062,5
2020-04-26,2020-05-02,0.4499969482421875,3
2020-05-03,2020-05-09,0.0,3
2020-05-17,2020-05-23,-5.899993896484375,2
2020-05-24,2020-05-30,1.9499969482421875,4
2020-05-31,2020-06-06,-0.9249992370605398,5
2020-06-07,2020-06-13,-0.599998474121108,4
2020-06-14,2020-06-20,0.7749977111816477,5
2020-06-21,2020-06-27,0.5,5
2020-06-28,2020-07-04,0.325000524520874,5
2020-07-05,2020-07-11,-0.09999823570252175,5
2020-07-12,2020-07-18,0.8499984741211009,5
2020-07-19,2020-07-25,1.7749977111816406,5
