first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-10,2019-03-16,0.0,5
2019-03-17,2019-03-23,-1.9250030517578125,4
2019-03-31,2019-04-06,-7.333333333333333,3
2019-04-07,2019-04-13,-0.100006103515625,5
2019-04-14,2019-04-20,0.0,5
2019-04-21,2019-04-27,5.17498779296875,5
2019-05-19,2019-05-25,5.0500030517578125,5
2019-05-26,2019-06-01,-5.3249969482421875,5
2019-06-02,2019-06-08,1.524993896484375,4
2019-06-23,2019-06-29,-1.6666666666666667,3
2019-06-30,2019-07-06,3.524993896484375,5
2019-07-21,2019-07-27,1.225006103515625,5
2019-07-28,2019-08-03,5.04998779296875,2
2019-08-11,2019-08-17,-8.899993896484375,5
2019-08-18,2019-08-24,-0.3249969482421875,5
2019-08-25,2019-08-31,17.324996948242188,5
2019-09-01,2019-09-07,-8.625,5
2019-09-08,2019-09-14,24.225006103515597,5
2019-09-15,2019-09-21,-2.6666666666666665,4
2019-09-22,2019-09-28,0.0,5
2019-09-29,2019-10-05,-15.0,2
2019-10-06,2019-10-12,10.0,3
2019-10-13,2019-10-19,-14.199991861979205,3
2019-10-20,2019-10-26,14.199991861979205,3
2019-10-27,2019-11-02,-5.75,5
2019-11-03,2019-11-09,10.225006103515597,5
2019-11-10,2019-11-16,5.0,5
2019-11-17,2019-11-23,-3.25,5
2019-11-24,2019-11-30,7.75,5
2019-12-01,2019-12-07,2.5,5
2019-12-08,2019-12-14,5.5,5
2019-12-15,2019-12-21,-3.0,5
2019-12-22,2019-12-28,1.75,5
2019-12-29,2020-01-04,121.0,5
2020-01-05,2020-01-11,-17.5,5
2020-01-12,2020-01-18,18.25,5
2020-01-19,2020-01-25,-1.75,5
2020-01-26,2020-02-01,-12.75,5
2020-02-02,2020-02-08,13.25,5
2020-02-09,2020-02-15,-17.5,5
2020-02-16,2020-02-22,3.5,5
2020-02-23,2020-02-29,-8.5,5
2020-03-01,2020-03-07,-17.0,4
2020-03-08,2020-03-14,-35.333333333333336,4
2020-03-15,2020-03-21,-16.5,5
2020-03-22,2020-03-28,41.25,5
2020-03-29,2020-04-04,1.75,5
2020-04-05,2020-04-11,23.0,3
2020-04-12,2020-04-18,-7.0,3
2020-04-19,2020-04-25,5.25,5
2020-04-26,2020-05-02,-52.5,3
2020-05-03,2020-05-09,-1.5,5
2020-05-10,2020-05-16,-19.5,5
2020-05-17,2020-05-23,8.25,5
2020-05-24,2020-05-30,-11.25,4
2020-05-31,2020-06-06,-14.25,5
2020-06-07,2020-06-13,21.75,4
2020-06-14,2020-06-20,51.75,5
2020-06-21,2020-06-27,-17.25,5
2020-06-28,2020-07-04,35.250000953674316,5
2020-07-05,2020-07-11,-14.0,5
2020-07-12,2020-07-18,25.0,5
2020-07-19,2020-07-25,20.75,5
2020-07-26,2020-08-01,-30.25,4
